x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
1.0,12739.50737099,9909.51203893,9698.91181475,10068.24245679,9825.37226692,11891.05463525,9610.54556386,10084.52615818,12875.97867599,9893.84280113
2.0,12050.4880427,9402.22515885,9216.15639309,9603.58915089,9228.85922393,11237.21786366,9140.40867654,9580.15155031,12176.00404752,9402.65839553
3.0,11588.94833023,9105.76272558,8929.13330547,9336.50893259,8890.70145407,10786.52778426,8872.21027335,9250.40802138,11679.5284268,9091.34500413
4.0,11325.30778044,8953.70287564,8785.82971464,9210.59852324,8680.01471008,10514.26648437,8729.57854271,9070.67588829,11392.54986254,8910.20926347
5.0,11318.03961013,8971.67640541,8803.22937895,9258.65742143,8620.5439985,10475.99943755,8732.4755519,9109.72522252,11360.46706613,8866.13764994
6.0,11696.91497283,9291.582034,9089.9791182,9606.94043329,8780.57949698,10810.31162307,8978.31693063,9546.76785313,11687.88789478,9040.40320892
7.0,12188.78019069,9935.7556082,9723.95244037,10321.82983789,9228.81752664,11293.30899074,9595.61757462,10272.94499847,12121.9788969,9510.67195074
8.0,12390.48607378,10428.48794826,10320.57367481,10949.7262039,9785.39651423,11495.31586323,10250.02913066,10522.88563797,12308.99559415,10021.15346537
9.0,13140.45711076,10647.5330376,10512.81155331,11161.37011781,10093.93945834,12210.95965868,10457.19385062,10794.85328907,13076.35962729,10229.78582326
10.0,14229.7399404,11012.89985473,10749.40768243,11451.82089859,10502.31662058,13198.88583706,10615.77104704,11329.36809336,14190.3534072,10559.11578637
11.0,15351.80753867,11426.46679533,11101.69810828,11835.36652604,10951.01815937,14204.40395856,10840.45631479,11896.75474673,15340.43189074,10990.75859013
12.0,16322.7766616,11795.09753171,11431.26171651,12150.4393691,11288.08475571,15053.65762598,10983.67148162,12376.78465944,16360.05278342,11353.79078732
13.0,17075.52355918,12085.29444756,11655.07346921,12364.61406967,11468.49034722,15745.69651365,11034.58431482,12784.0571839,17148.64078853,11616.90639171
14.0,17721.40877561,12346.92953235,11840.44616892,12539.06473987,11515.18341613,16330.75070249,11021.98758508,13215.81991951,17816.98358588,11786.09013242
15.0,18180.83446539,12586.83603425,11990.2583825,12650.53814626,11526.28471821,16727.38198052,11040.2843621,13563.13916678,18327.52838502,11922.14850791
16.0,18514.99530142,12760.36296599,12074.51583165,12685.95544979,11480.35241736,16965.57479872,11055.43037535,13844.21107047,18652.76223785,11983.96945302
17.0,18603.1793839,12814.96513015,12112.26576067,12644.28609066,11411.27416804,16954.55319647,11064.44251913,13980.94226007,18719.95092114,11988.69792281
18.0,18349.61844966,12675.45847402,12022.45105786,12462.56950332,11334.17744633,16652.86952856,11053.31608274,13840.33043993,18473.12894446,11882.80504578
19.0,17696.54410623,12544.40501762,11992.83913047,12428.80418308,11472.81069675,15975.4531322,11162.29944541,13398.27502317,17814.50588198,11880.64564595
20.0,17058.15755408,12628.89676834,12191.70832776,12604.48722074,11906.36367367,15332.58682367,11529.6947987,13138.33689533,17145.70240712,12125.29200588
21.0,16709.19848064,12501.23206162,12142.19376393,12452.62841845,11911.64848617,15140.67924468,11547.86914535,13138.86046845,16802.16219159,12041.62870287
22.0,16094.25542223,12105.63053529,11796.76974111,12077.31434048,11670.93960118,14633.82872615,11264.2056641,12640.53926591,16206.80734069,11709.22939457
23.0,15024.85605273,11450.61221355,11211.38927475,11459.18414636,11244.91506855,13704.4169696,10731.9727335,11788.38229729,15141.87630657,11173.69710651
24.0,13880.55731808,10658.62262617,10457.60352786,10687.53073765,10637.69752724,12669.58957506,10018.76962346,10824.98090626,13994.3568963,10448.21347444
