x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
1.0,16656.12156291,12654.42630804,12694.05236168,13250.78948973,12671.2504164,15421.37689319,12905.31116616,11965.27510486,17037.01215277,12252.3631941
2.0,15581.32617896,12002.17123167,12000.09721645,12613.32235717,12116.85472862,14402.36350348,12360.55465202,11287.83082637,15934.07098661,11532.49075915
3.0,14827.71396534,11658.06957658,11621.05356747,12293.77195393,11836.07962246,13689.3468022,12105.68980658,10867.097207,15149.29849674,11127.44560555
4.0,14348.44204984,11525.57882541,11458.5887896,12179.36715454,11754.49654314,13238.39581082,12043.85216084,10673.29912475,14631.66486277,10933.57893606
5.0,14207.56029951,11632.52557438,11526.09386849,12301.46326877,11872.52599695,13081.1314948,12208.25584699,10733.76372989,14449.83320108,10940.96371478
6.0,14595.62387632,12154.52053451,11974.74428834,12838.4995788,12291.4859754,13445.05573124,12747.13923623,11318.77296548,14777.80611289,11271.54634416
7.0,15414.28092991,13289.7565899,13058.18456501,14015.57347636,13230.8048034,14235.04706569,13911.22746901,12598.84140334,15484.08967404,12123.07096246
8.0,15959.61580743,14403.17426557,14282.49244247,15299.95735553,14506.42572047,14746.85568235,15383.57422213,13381.32801293,15943.56199968,13219.99984713
9.0,16907.92255758,14815.91998813,14746.77730767,15744.35014904,15244.63228586,15475.05024196,15942.08932527,13736.13147756,16888.02581288,13768.08005022
10.0,18289.72229409,14978.47862106,14832.21716988,15743.92325519,15569.22699239,16518.24718681,15823.68147791,14208.2783424,18282.13604708,14040.68764458
11.0,19891.34945639,15145.78899966,15001.18279748,15754.35309292,15793.95614386,17724.30235522,15629.77469618,14720.97090541,19881.3215917,14315.78547629
12.0,21443.09148721,15238.64119969,15104.12871045,15732.81847809,15863.37910454,18860.04693162,15349.46963352,15122.22360128,21422.90757183,14481.92048279
13.0,22859.02117841,15288.33958255,15116.15719337,15660.54969443,15736.02408389,19920.36778944,14981.75049246,15449.45737863,22809.00398433,14553.958823
14.0,24158.23426035,15380.68853784,15120.97011387,15625.09755832,15527.17251315,20933.49965532,14644.42353595,15800.77025329,24055.78845019,14588.54657801
15.0,25112.84083974,15501.97306913,15115.84727301,15606.03301168,15306.68688603,21788.41464475,14374.29448253,16070.51023769,24979.22533775,14612.88015865
16.0,25720.4051127,15594.19985941,15057.08710012,15557.63740882,15049.36650464,22474.69452221,14137.86040925,16297.14649606,25582.95756978,14575.28772211
17.0,25980.83679452,15666.04853575,15023.81907846,15537.89863639,14907.75402915,22888.27404959,14023.0930309,16496.02095189,25799.22383191,14567.04507687
18.0,25777.44996998,15668.84341223,15015.3183506,15513.12530753,14964.7411916,22823.33487976,14077.68519424,16488.6801951,25572.00084002,14612.50867583
19.0,25077.66232247,15782.72750732,15221.08757995,15765.80580824,15463.53033937,22195.72439672,14564.68084337,16233.99554216,24841.67212069,14913.45408078
20.0,23979.1468594,16051.706807,15659.31030373,16214.50655804,16335.36806901,21219.85640902,15442.06367219,15961.1093474,23756.12190498,15498.26018579
21.0,23105.08053315,15929.60789573,15705.27357607,16088.6738978,16484.88773546,20679.52818174,15662.23320587,16103.47323548,22897.43294276,15542.01407668
22.0,22179.7721146,15487.17728879,15326.5415989,15692.84429786,16305.70187677,19996.60921579,15467.17122485,15594.65254967,21975.10311501,15211.33114993
23.0,20430.22586275,14589.29851936,14522.49531519,14906.03805697,15802.13177786,18477.99909825,14811.6705673,14424.41895749,20239.23150577,14525.13820707
24.0,18557.49325983,13421.30803488,13388.43879885,13811.01749053,14901.12849357,16773.36624476,13777.17701749,13023.47172146,18371.63171979,13509.45947232
