x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1.0,0.50861077,0.2890242,0.15154843,0.53776571,0.22577127,0.18467282,0.45256028,0.27104444,0.36923413,0.78264762,0.16481716
2.0,0.51269949,0.27501877,0.16509745,0.58960603,0.20785709,0.17887436,0.45555972,0.25454365,0.33748429,0.79993476,0.15228988
3.0,0.55299128,0.25186321,0.15927725,0.61332952,0.17077309,0.16671897,0.41243528,0.23070444,0.35021952,0.8448519,0.15122444
4.0,0.55367744,0.28865062,0.15399118,0.59390571,0.14643309,0.15423282,0.38983639,0.20872889,0.31575857,0.86095238,0.13522296
5.0,0.56768077,0.28320617,0.13398039,0.55362889,0.14172558,0.11523205,0.35828611,0.19356317,0.29266667,0.86230333,0.11969852
6.0,0.60430308,0.29192,0.12683588,0.5305381,0.12527952,0.09984641,0.36022056,0.1588173,0.27673873,0.8723719,0.09460222
7.0,0.63453487,0.24929062,0.11142569,0.55976984,0.12739952,0.08196077,0.3273325,0.14683556,0.27420397,0.88179143,0.08670049
8.0,0.59448744,0.25512296,0.09710255,0.56423492,0.10711418,0.06780205,0.27661083,0.1366273,0.25916683,0.89508238,0.06806716
9.0,0.56364179,0.20783309,0.09193137,0.42629048,0.1212823,0.04308308,0.28309278,0.10439397,0.23211508,0.88988667,0.07121753
10.0,0.58233897,0.16814148,0.09739333,0.32001841,0.08216255,0.01239872,0.33504778,0.06467794,0.19840365,0.81895952,0.0728484
11.0,0.61152564,0.14393531,0.10699667,0.28053079,0.11276982,0.01737615,0.3470125,0.04992683,0.21375937,0.7570681,0.0680637
12.0,0.69001564,0.14128494,0.10912725,0.27249651,0.08631103,0.02280821,0.37342667,0.05739714,0.24345635,0.73461667,0.08515333
13.0,0.71771205,0.20560049,0.1507351,0.26246921,0.12263673,0.02046256,0.45387917,0.09417,0.29421651,0.76160476,0.10982728
14.0,0.77076128,0.25336963,0.16785647,0.2410346,0.10183212,0.05556308,0.47893083,0.10381048,0.39431667,0.77649238,0.1462537
15.0,0.74908641,0.30838173,0.17580941,0.24309905,0.17238473,0.06287179,0.54214528,0.12523508,0.43522952,0.72409714,0.19531519
16.0,0.75862846,0.34789926,0.26956392,0.24966603,0.23635479,0.09114154,0.66459778,0.1350927,0.52469778,0.72812905,0.23379383
17.0,0.76304051,0.35184099,0.25854843,0.22240063,0.31796509,0.11255154,0.68519056,0.14387825,0.56023746,0.73661524,0.29470309
18.0,0.73273692,0.40248765,0.28151941,0.21660889,0.35178267,0.09816,0.73432417,0.17642825,0.56109635,0.71591857,0.33945691
19.0,0.72657385,0.47142222,0.32876961,0.2542854,0.3980423,0.12603,0.72934222,0.16653,0.5192054,0.72122714,0.38871321
20.0,0.69676564,0.46176988,0.30902373,0.26721587,0.45137709,0.11971487,0.70152333,0.20615317,0.44179317,0.76232714,0.40375222
21.0,0.6968059,0.46359556,0.33505176,0.25273873,0.41474485,0.13131692,0.6821725,0.17014222,0.42468302,0.70201667,0.38290852
22.0,0.65944744,0.43496568,0.25531667,0.24066444,0.36939006,0.14229769,0.59588972,0.16809968,0.39923444,0.62201714,0.34725296
23.0,0.63479333,0.42037975,0.22182059,0.23288794,0.28250545,0.17719615,0.5892025,0.18197333,0.38372762,0.66198619,0.28099235
24.0,0.64952,0.42376469,0.22228353,0.2089327,0.24287261,0.1824459,0.48269889,0.19349413,0.39911333,0.60458,0.24234506
