x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
2.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
3.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
4.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
5.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
6.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
7.0,0.0,0.0,0.00362163,0.00014335,0.00819523,0.0,0.01119135,0.00091007,0.00010196,-0.0,0.00812433
8.0,0.00510018,0.0113377,0.05568764,0.0185084,0.09148288,0.00934364,0.09031915,0.02650394,0.01548355,0.00974512,0.08940178
9.0,0.05878702,0.12314084,0.19145454,0.14250575,0.24941871,0.14926648,0.25818174,0.17023478,0.11330787,0.13702413,0.25688803
10.0,0.15273204,0.29929334,0.34273314,0.32688206,0.4115954,0.30515516,0.43269515,0.34422321,0.26896784,0.32269558,0.42162032
11.0,0.25015099,0.41666166,0.47049067,0.4643832,0.54608519,0.43572786,0.59001202,0.47303576,0.38093734,0.46534265,0.56443958
12.0,0.33689253,0.52273054,0.53567217,0.58411626,0.64574612,0.56918932,0.71246067,0.57902001,0.4645893,0.59361163,0.64154285
13.0,0.37204999,0.5921734,0.56685846,0.65170055,0.69113752,0.58726264,0.75088225,0.62427094,0.5306842,0.6411319,0.71707297
14.0,0.37604658,0.58178618,0.5310489,0.65082556,0.70020853,0.62883129,0.76324109,0.67875753,0.5464806,0.64716108,0.69717158
15.0,0.38061812,0.51728619,0.53465778,0.60147598,0.66015408,0.57129243,0.70146149,0.61311699,0.53735966,0.552023,0.65047592
16.0,0.35478704,0.44674081,0.46740026,0.50782942,0.53399752,0.45218151,0.60911544,0.4879202,0.41987209,0.47931083,0.54241725
17.0,0.26061782,0.28925886,0.35800221,0.33971372,0.39435136,0.28558231,0.45654272,0.32945958,0.30007839,0.34587959,0.42026837
18.0,0.10649399,0.09754174,0.19404932,0.13406244,0.23335376,0.09375222,0.26665956,0.11969153,0.13132955,0.12966129,0.24752406
19.0,0.01537703,0.00475334,0.05273677,0.01439164,0.08646688,0.0066527,0.08661873,0.02011748,0.01687296,0.00965461,0.08768521
20.0,0.0,0.0,0.00144225,-0.0,0.00892642,0.0,0.00673474,0.00057598,0.0,-0.0,0.00834537
21.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
22.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
23.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
24.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
