x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1.0,0.86643872,0.75542025,0.3796198,0.56836921,0.627424,0.22747564,0.92736778,0.43146476,0.57793286,0.83800238,0.55843667
2.0,0.85387513,0.71646,0.34875431,0.56246952,0.595568,0.21534205,0.91078444,0.38460667,0.58328413,0.82771667,0.46389543
3.0,0.84080308,0.70371556,0.35884451,0.51329873,0.54951079,0.20526359,0.89996,0.3609781,0.58148286,0.8481,0.43671704
4.0,0.79410769,0.67825728,0.33375235,0.4446746,0.50758727,0.19163846,0.840545,0.30423365,0.55763286,0.83368714,0.42963519
5.0,0.76533026,0.64068938,0.31892549,0.36957905,0.44600291,0.17053179,0.81221139,0.2666173,0.56578143,0.8259419,0.35041654
6.0,0.72848308,0.64030247,0.28859373,0.27727302,0.38963697,0.14076359,0.69374667,0.21362,0.54631254,0.7658919,0.31235679
7.0,0.77607974,0.6528158,0.25199784,0.23212476,0.34895636,0.13249538,0.68560111,0.22028873,0.56228397,0.75053238,0.27844321
8.0,0.74197692,0.62498543,0.22825725,0.22261778,0.22359612,0.09891128,0.48619611,0.23092063,0.53013698,0.72080571,0.17848074
9.0,0.73909538,0.54576123,0.14338353,0.16151492,0.18883164,0.11704949,0.55283889,0.18868413,0.47679841,0.6657919,0.16069765
10.0,0.74779359,0.43154148,0.14567471,0.08972349,0.18203867,0.07973436,0.59069139,0.13114794,0.45862413,0.59680857,0.16889988
11.0,0.79019897,0.40966716,0.17751745,0.07541333,0.18670242,0.05900923,0.65904194,0.07758222,0.40666857,0.59257143,0.14585099
12.0,0.7452141,0.47198593,0.1543098,0.05586698,0.18664012,0.0527159,0.70734611,0.07778016,0.47468444,0.5625919,0.13533531
13.0,0.70321513,0.53773926,0.19200431,0.07037429,0.20801285,0.05634026,0.73031667,0.09932492,0.54070365,0.54756714,0.14060469
14.0,0.79821128,0.58823457,0.2211198,0.08111651,0.18868836,0.08485385,0.73708806,0.11309762,0.56941619,0.53731571,0.16286333
15.0,0.77161641,0.57446864,0.30636765,0.0693619,0.25963321,0.11456462,0.78410444,0.13408984,0.61069222,0.53309571,0.18101951
16.0,0.76537487,0.59015926,0.28321627,0.06953905,0.27263952,0.11687744,0.74246694,0.15594143,0.65662921,0.51041333,0.21181605
17.0,0.75262282,0.61827753,0.27427471,0.06548984,0.27894958,0.12782821,0.84063222,0.17665746,0.7324819,0.50087286,0.26767469
18.0,0.7736159,0.65213704,0.30887725,0.07489968,0.39328364,0.15515564,0.88865444,0.20827397,0.74115857,0.50577714,0.34267457
19.0,0.76119462,0.74039111,0.3828602,0.10845683,0.49025491,0.24726231,0.88973278,0.30884746,0.75820444,0.5189181,0.42567753
20.0,0.72622385,0.80257358,0.47986373,0.16454317,0.62510412,0.33610769,0.90918778,0.38771063,0.81436143,0.49038143,0.52854642
21.0,0.7391959,0.81484049,0.46463157,0.15059841,0.69939927,0.36248513,0.89904667,0.42603286,0.84027317,0.43300095,0.57646556
22.0,0.76084897,0.80290914,0.47513412,0.21415746,0.68170461,0.44461436,0.89735389,0.43564667,0.8431754,0.36255048,0.61809358
23.0,0.74219744,0.79456346,0.42327431,0.21399968,0.65549164,0.46223154,0.88298639,0.44856032,0.82569349,0.30935048,0.62459889
24.0,0.71671872,0.80904963,0.40996255,0.25119937,0.61609952,0.4771241,0.89928028,0.46896683,0.80149921,0.27353762,0.63287
