x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1.0,0.03846154,-0.0,0.26470588,0.0952381,0.83636364,-0.0,0.20833333,0.92857143,0.9047619,0.78571429,-0.0
2.0,0.03846154,-0.0,0.26470588,0.0952381,0.81818182,-0.0,0.20833333,0.92857143,0.9047619,0.85714286,-0.0
3.0,0.03846154,-0.0,0.29411765,0.0952381,0.83636364,-0.0,0.20833333,0.95238095,0.85714286,0.85714286,-0.0
4.0,0.03846154,-0.0,0.14705882,0.0952381,0.8,-0.0,0.20833333,0.92857143,0.85714286,0.85714286,-0.0
5.0,0.03846154,-0.0,0.17647059,0.0952381,0.8,-0.0,0.20833333,0.9047619,0.88095238,0.78571429,-0.0
6.0,0.03846154,-0.0,0.17647059,0.0952381,0.8,-0.0,0.25,0.9047619,0.9047619,0.85714286,-0.0
7.0,0.03846154,-0.0,0.17647059,0.0952381,0.78181818,-0.0,0.25,0.88095238,0.88095238,0.92857143,-0.0
8.0,0.03846154,-0.0,0.17647059,0.0952381,0.78181818,-0.0,0.25,0.88095238,0.9047619,0.92857143,-0.0
9.0,0.03846154,-0.0,0.23529412,0.0952381,0.72727273,-0.0,0.20833333,0.88095238,0.83333333,0.92857143,-0.0
10.0,0.03846154,-0.0,0.20588235,0.0952381,0.74545455,-0.0,0.20833333,0.85714286,0.83333333,0.92857143,-0.0
11.0,0.03846154,-0.0,0.20588235,0.0952381,0.8,-0.0,0.20833333,0.85714286,0.69047619,0.78571429,-0.0
12.0,-0.0,-0.0,0.20588235,-0.0,0.76363636,-0.0,0.20833333,0.69047619,0.45238095,0.5,-0.0
13.0,-0.0,-0.0,0.08823529,-0.0,0.65454545,-0.0,0.125,0.54761905,0.35714286,0.35714286,-0.0
14.0,-0.0,-0.0,0.02941176,-0.0,0.30909091,-0.0,0.08333333,0.42857143,0.30952381,0.28571429,-0.0
15.0,-0.0,0.22222222,-0.0,-0.0,-0.0,0.03846154,-0.0,0.16666667,0.16666667,0.14285714,-0.0
16.0,0.07692308,0.55555556,-0.0,0.14285714,-0.0,0.30769231,0.04166667,-0.0,-0.0,-0.0,0.25925926
17.0,0.11538462,0.55555556,-0.0,0.19047619,-0.0,0.30769231,0.08333333,-0.0,-0.0,-0.0,0.53703704
18.0,0.11538462,0.59259259,-0.0,0.19047619,-0.0,0.57692308,0.16666667,-0.0,-0.0,-0.0,0.74074074
19.0,0.23076923,0.59259259,0.05882353,0.33333333,-0.0,0.65384615,0.25,-0.0,-0.0,-0.0,0.7962963
20.0,0.30769231,0.7037037,0.23529412,0.42857143,-0.0,0.69230769,0.375,-0.0,-0.0,-0.0,0.7962963
21.0,0.57692308,0.88888889,0.23529412,0.61904762,-0.0,0.88461538,0.375,-0.0,-0.0,-0.0,0.7962963
22.0,0.69230769,0.88888889,0.29411765,0.66666667,-0.0,0.88461538,0.375,-0.0,-0.0,-0.0,0.81481481
23.0,0.76923077,0.92592593,0.29411765,0.66666667,-0.0,0.92307692,0.45833333,-0.0,-0.0,-0.0,0.83333333
24.0,0.76923077,0.92592593,0.32352941,0.71428571,-0.0,0.92307692,0.5,-0.0,-0.0,-0.0,0.83333333
