x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
3.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
4.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
5.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
6.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
7.0,-0.0,-0.0,0.00095386,-0.0,0.00321902,-0.0,0.0039945,0.00024972,-0.0,-0.0,0.00223672
8.0,0.00392418,0.00239547,0.02560109,0.00841113,0.05810611,0.00487195,0.06994888,0.00985068,0.00760881,0.00071085,0.05266249
9.0,0.08215833,0.05634699,0.14061554,0.07650649,0.21836536,0.09271231,0.24362456,0.11973085,0.08678498,0.06630751,0.21093992
10.0,0.25945964,0.23030507,0.30500771,0.26811978,0.39106789,0.28228057,0.44598959,0.29821243,0.27596452,0.28744063,0.4000723
11.0,0.45800323,0.42387372,0.42722205,0.45223844,0.55124869,0.4753768,0.61468481,0.47599775,0.46501359,0.49794598,0.55521813
12.0,0.63966992,0.58289946,0.54384627,0.59968497,0.6672598,0.60555893,0.7337769,0.59958769,0.62290691,0.6072755,0.65645906
13.0,0.74330566,0.60597295,0.59513664,0.67056918,0.73033776,0.68946049,0.76104198,0.65270198,0.68841728,0.66236372,0.73030301
14.0,0.73910079,0.64012019,0.6088402,0.68735951,0.73113387,0.65876264,0.79760921,0.66950174,0.69592638,0.69103659,0.7112326
15.0,0.69281819,0.58017487,0.61551507,0.65976114,0.67414117,0.63687254,0.76576737,0.62910485,0.65446538,0.63078899,0.67837628
16.0,0.57828009,0.50467071,0.53231614,0.56578445,0.58879553,0.52487607,0.67841271,0.54150406,0.56702096,0.56407269,0.60901237
17.0,0.42801488,0.36512218,0.43566399,0.41649352,0.49503953,0.36948658,0.52868352,0.38758091,0.4057287,0.41452629,0.49438792
18.0,0.24480097,0.16433671,0.28692362,0.21409356,0.32558648,0.16638118,0.33661991,0.19314638,0.21395935,0.22909062,0.33296526
19.0,0.05432047,0.01735644,0.11187316,0.0399375,0.15457666,0.02026857,0.15032036,0.04224703,0.04196198,0.03284761,0.14931585
20.0,0.00153275,0.00039313,0.00802252,0.00130169,0.02705829,1.242e-5,0.02384177,0.00322638,0.00171528,0.00046704,0.02527501
21.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
22.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
23.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
24.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
