x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1.0,0.03846154,0.0,0.11764706,0.0,0.87272727,0.0,0.20833333,0.95238095,1.0,1.0,0.0
2.0,0.03846154,0.0,0.14705882,0.0,0.90909091,0.0,0.20833333,0.97619048,1.0,1.0,0.0
3.0,0.07692308,0.0,0.11764706,0.0,0.85454545,0.0,0.16666667,1.0,0.97619048,1.0,0.0
4.0,0.11538462,0.0,0.14705882,0.0,0.89090909,0.0,0.16666667,0.97619048,0.97619048,1.0,0.0
5.0,0.11538462,0.0,0.14705882,0.0,0.90909091,0.0,0.20833333,0.97619048,0.97619048,1.0,0.0
6.0,0.11538462,0.0,0.14705882,0.0,0.87272727,0.0,0.20833333,0.97619048,0.97619048,1.0,0.0
7.0,0.11538462,0.0,0.08823529,0.0,0.90909091,0.0,0.20833333,0.97619048,0.97619048,1.0,0.0
8.0,0.11538462,0.0,0.14705882,0.0,0.90909091,0.0,0.25,1.0,1.0,1.0,0.0
9.0,0.11538462,0.0,0.23529412,0.0,0.85454545,0.0,0.20833333,1.0,0.97619048,1.0,0.0
10.0,0.03846154,0.0,0.14705882,0.0,0.81818182,0.0,0.16666667,0.97619048,0.92857143,1.0,0.0
11.0,0.03846154,0.0,0.14705882,0.0,0.8,0.0,0.16666667,0.95238095,0.9047619,1.0,0.0
12.0,0.03846154,0.0,0.14705882,0.0,0.8,0.0,0.20833333,0.80952381,0.69047619,0.64285714,0.0
13.0,0.0,0.0,0.11764706,0.0,0.72727273,0.0,0.125,0.5952381,0.42857143,0.35714286,0.0
14.0,0.0,0.0,0.0,0.0,0.21818182,0.0,0.0,0.5,0.33333333,0.35714286,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857,0.0952381,0.07142857,0.0
16.0,0.19230769,0.40740741,0.0,0.19047619,0.0,0.34615385,0.08333333,0.0,0.0,0.0,0.12962963
17.0,0.23076923,0.59259259,0.02941176,0.28571429,0.0,0.57692308,0.125,0.0,0.0,0.0,0.55555556
18.0,0.23076923,0.59259259,0.02941176,0.28571429,0.0,0.65384615,0.29166667,0.0,0.0,0.0,0.83333333
19.0,0.53846154,0.7037037,0.20588235,0.42857143,0.0,0.69230769,0.375,0.0,0.0,0.0,0.90740741
20.0,0.69230769,0.92592593,0.23529412,0.76190476,0.0,0.84615385,0.5,0.0,0.0,0.0,0.88888889
21.0,0.73076923,0.92592593,0.20588235,0.80952381,0.0,0.84615385,0.5,0.0,0.0,0.0,0.88888889
22.0,0.73076923,0.92592593,0.23529412,0.80952381,0.0,0.84615385,0.5,0.0,0.0,0.0,0.87037037
23.0,0.80769231,0.92592593,0.29411765,0.80952381,0.0,0.88461538,0.5,0.0,0.0,0.0,0.87037037
24.0,0.80769231,0.92592593,0.26470588,0.85714286,0.0,0.96153846,0.54166667,0.0,0.0,0.0,0.87037037
