x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1.0,0.85209103,0.91956346,0.61532863,0.68910476,0.75516861,0.59972923,0.95439556,0.57967905,0.7890081,0.91163238,0.80804827
2.0,0.85714667,0.93444938,0.59330275,0.63097937,0.74545636,0.54462385,0.95308889,0.60538317,0.80847714,0.88770905,0.76016753
3.0,0.88220359,0.96907704,0.57615725,0.64963238,0.76241006,0.54265333,0.95984111,0.59111762,0.81335,0.7812281,0.71938889
4.0,0.79456564,0.96057704,0.55316098,0.60649619,0.74501564,0.50472231,0.91567028,0.53950397,0.83924714,0.74505857,0.7051016
5.0,0.86155821,0.95999531,0.55929275,0.60106413,0.74615794,0.51278872,0.90685861,0.49137921,0.85087508,0.74891381,0.69703136
6.0,0.83341949,0.9398316,0.54658647,0.53636984,0.7372383,0.46423051,0.94967333,0.47997175,0.8764854,0.67944429,0.68125901
7.0,0.81943333,0.92143802,0.5249102,0.5287019,0.74228788,0.42225333,0.89553222,0.48129048,0.88571048,0.65681667,0.69807136
8.0,0.79143103,0.91241284,0.46913667,0.48072286,0.64072739,0.40604538,0.93521056,0.46370079,0.88014524,0.57440714,0.60532
9.0,0.8440759,0.90136543,0.33052667,0.39296381,0.44926267,0.40894846,0.723635,0.38346683,0.84947063,0.6026481,0.40216938
10.0,0.74530154,0.73555975,0.20656392,0.22815206,0.32841115,0.26848231,0.61831278,0.25672762,0.73475317,0.46190333,0.31376568
11.0,0.67703718,0.50232049,0.18739941,0.17959619,0.31209891,0.14572231,0.60695389,0.16250873,0.60573317,0.32758429,0.24075494
12.0,0.61531051,0.4411563,0.19997941,0.16314825,0.25914958,0.09923744,0.56240972,0.15540587,0.55928032,0.28234857,0.2189121
13.0,0.58334256,0.4640316,0.23424137,0.15109651,0.21547115,0.11206436,0.50659278,0.1562019,0.58622937,0.26038524,0.19520963
14.0,0.58516667,0.48280272,0.22858471,0.14827841,0.21237648,0.14393923,0.48627111,0.16691476,0.59324524,0.21283333,0.20651519
15.0,0.55197795,0.52598222,0.24383549,0.17465524,0.21870582,0.16434308,0.48018778,0.18888397,0.59286857,0.21426571,0.22011309
16.0,0.55228205,0.56282938,0.24288373,0.20830952,0.25433394,0.16156385,0.49103361,0.1950054,0.62116587,0.23843762,0.21525432
17.0,0.56209487,0.57985654,0.26832353,0.22675397,0.2862903,0.17209564,0.50101417,0.21306841,0.61843302,0.24958619,0.27080951
18.0,0.57520487,0.60378222,0.27783745,0.25326413,0.2856897,0.20003513,0.54358444,0.24063381,0.62273175,0.28528333,0.32929827
19.0,0.60943462,0.74288173,0.34215039,0.31832508,0.37417079,0.27286282,0.66443083,0.3812946,0.67379206,0.32481714,0.41847136
20.0,0.58305615,0.81961728,0.43961549,0.48536984,0.4801777,0.36378641,0.76062944,0.48424444,0.70265079,0.36084762,0.52379457
21.0,0.60664231,0.85284074,0.48290373,0.62070762,0.6569703,0.41367103,0.81798944,0.67283254,0.7670873,0.36649286,0.59806074
22.0,0.66446718,0.90947506,0.51665843,0.73717206,0.71551867,0.52165795,0.95132278,0.71134143,0.81654762,0.41071524,0.63820988
23.0,0.67979795,0.90766444,0.51298078,0.81677619,0.79863382,0.51954897,0.90308444,0.69679635,0.86721175,0.42209524,0.70038395
24.0,0.69081538,0.93218198,0.56242431,0.83900603,0.8301983,0.59186154,0.94361111,0.72479492,0.90225714,0.48712238,0.76163284
