x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1.0,11930.8404193,12793.51791686,11964.01968437,13010.75525357,17028.45724429,13061.74887166,15395.76499141,12636.34997926,12731.45931777,12711.86517665,16623.41851234
2.0,11216.83043526,12094.83163457,11280.9134918,12490.34345264,15926.01494112,12435.96074472,14386.70061637,11977.97105834,12029.84717205,12224.14222853,15551.70136414
3.0,10809.27937472,11723.8403239,10858.62577108,12249.9520793,15140.94532179,12125.63803712,13680.76951566,11629.57903847,11642.28056048,12007.78010481,14800.57415875
4.0,10606.64796864,11573.86101067,10660.04162825,12202.40957951,14625.15033943,12018.1054804,13234.19889373,11494.38113836,11469.69250424,11991.3781898,14319.38889198
5.0,10591.86349416,11645.73246323,10716.03040568,12378.89668299,14446.57733338,12133.00783306,13069.96250103,11594.26564763,11526.97793558,12180.08890589,14184.03875715
6.0,10898.35752926,12077.53580575,11287.97428667,12938.06250287,14779.56660532,12665.15347858,13418.92534827,12102.94740347,11964.74950816,12658.95426537,14566.82463218
7.0,11750.7155698,13088.25055793,12553.90535476,14113.58049256,15488.37187735,13861.36573999,14175.61768505,13231.33921889,13016.08887584,13662.92653044,15370.90092929
8.0,12972.53198651,14272.58585118,13362.76306785,15542.91340761,15953.09557603,15144.79344549,14689.03075754,14384.65632378,14182.06459708,14952.07702783,15906.51554143
9.0,13592.27468239,14749.60312788,13723.4970526,16083.39959313,16895.00668472,15548.68422361,15440.12601064,14804.32171068,14648.40235265,15721.53250833,16861.29823761
10.0,13860.78209131,14850.26570568,14183.16660264,15967.72804526,18282.54140387,15532.49567417,16492.28144135,14938.66580354,14793.61952741,16021.1068396,18246.07504475
11.0,14197.98002358,14927.1285258,14685.7930279,15756.99326419,19876.91067311,15510.38984188,17703.76086663,15082.41743541,15017.80197546,16161.84670465,19846.69485465
12.0,14432.6673723,14927.56920164,15077.9946968,15456.01178146,21412.73030802,15434.36036368,18852.11484068,15153.85041086,15166.71902431,16135.55624942,21399.91955232
13.0,14531.02067703,14884.32236435,15397.52850833,15062.26538416,22793.31402887,15280.83935355,19924.56750653,15177.41274528,15219.19056524,15902.56640523,22829.31165374
14.0,14548.02823535,14864.88466097,15737.11413832,14712.60052062,24035.23160443,15154.18255849,20945.59893194,15247.7456502,15247.50577704,15607.55759331,24143.89294028
15.0,14570.56488859,14835.63249537,15999.70226409,14424.16050552,24953.96025711,15058.76741847,21806.57300225,15344.94866236,15258.35476051,15313.73633816,25115.57658808
16.0,14505.41246148,14776.92795269,16215.56858768,14182.31833137,25556.72438302,14943.86736458,22491.5021935,15411.88639165,15209.86357071,15022.37901121,25737.48350698
17.0,14467.88912257,14762.08567469,16405.88567201,14069.4267401,25765.45602719,14881.5214654,22925.75388874,15465.40195397,15182.01382772,14884.02823836,26005.77650914
18.0,14540.10771732,14768.53061251,16393.16353192,14136.48078393,25527.40670285,14827.89168239,22900.85804019,15472.61618387,15162.7070924,14979.32847123,25811.04218771
19.0,14848.84573041,15109.99085474,16141.42124312,14625.18031369,24797.52462152,15090.96883805,22276.8634566,15623.16872293,15333.16332364,15610.85687865,25119.76258845
20.0,15431.21172539,15758.24651226,15886.18522021,15509.61590312,23714.32742995,15644.37254717,21305.47381456,15937.65895424,15746.2196779,16591.49840482,23994.59663431
21.0,15571.45646769,15687.15494769,16033.05180883,15732.75147297,22856.10221048,15595.8143062,20751.07927062,15850.22403223,15764.43096963,16805.50755825,23109.50885777
22.0,15306.83698795,15301.42365647,15530.78619925,15536.84508953,21945.32340355,15227.85364492,20077.25057234,15425.36062859,15372.22802132,16690.30164295,22166.18196907
23.0,14662.23040894,14586.59947322,14383.29834631,14856.71207318,20214.80894021,14508.80483345,18552.81657452,14549.87699919,14564.05417244,16224.5190873,20408.56362322
24.0,13648.7087157,13529.74072219,13003.88902593,13808.67518679,18348.99375332,13501.32094548,16845.48730498,13389.23660203,13438.22055896,15353.83001175,18527.18222506
