x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1.0,-0.0,0.59459459,0.04347826,0.74193548,0.72727273,0.0,0.63888889,-0.0,-0.0,0.42857143,0.03571429,0.93548387
2.0,-0.0,0.56756757,0.0,0.74193548,0.72727273,0.0,0.66666667,-0.0,-0.0,0.47619048,0.03571429,0.93548387
3.0,-0.0,0.62162162,0.0,0.70967742,0.81818182,0.0,0.66666667,-0.0,-0.0,0.52380952,0.03571429,0.93548387
4.0,-0.0,0.67567568,0.0,0.80645161,0.81818182,0.0,0.75,-0.0,-0.0,0.57142857,0.03571429,0.93548387
5.0,-0.0,0.7027027,0.0,0.77419355,0.81818182,0.0,0.66666667,-0.0,-0.0,0.57142857,0.07142857,0.96774194
6.0,-0.0,0.75675676,0.0,0.80645161,0.81818182,0.0,0.75,-0.0,-0.0,0.57142857,0.07142857,0.90322581
7.0,-0.0,0.72972973,0.0,0.90322581,0.81818182,0.0,0.66666667,-0.0,-0.0,0.61904762,0.07142857,0.83870968
8.0,-0.0,0.7027027,0.0,0.87096774,0.90909091,0.0,0.66666667,-0.0,-0.0,0.47619048,0.07142857,0.80645161
9.0,-0.0,0.64864865,0.0,0.87096774,0.81818182,0.0,0.72222222,-0.0,-0.0,0.47619048,0.07142857,0.80645161
10.0,-0.0,0.64864865,0.0,0.93548387,0.63636364,0.0,0.66666667,-0.0,-0.0,0.52380952,0.0,0.87096774
11.0,-0.0,0.64864865,0.0,0.93548387,0.63636364,0.0,0.69444444,-0.0,-0.0,0.52380952,0.07142857,0.77419355
12.0,-0.0,0.64864865,0.0,0.83870968,0.27272727,0.0,0.25,-0.0,-0.0,0.28571429,0.03571429,0.77419355
13.0,-0.0,0.48648649,0.0,0.61290323,0.27272727,0.0,0.19444444,-0.0,-0.0,0.19047619,0.0,0.48387097
14.0,-0.0,-0.0,0.0,0.16129032,0.0,0.0,0.02777778,-0.0,-0.0,0.04761905,0.0,0.12903226
15.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
16.0,0.15789474,-0.0,0.0,0.0,0.0,0.3125,-0.0,0.17073171,0.11111111,0.0,0.0,0.0
17.0,0.21052632,-0.0,0.0,0.0,0.0,0.46875,-0.0,0.34146341,0.19444444,0.0,0.03571429,0.0
18.0,0.23684211,-0.0,0.04347826,0.0,0.0,0.59375,-0.0,0.43902439,0.33333333,0.0,0.10714286,0.0
19.0,0.5,-0.0,0.30434783,0.0,0.0,0.6875,-0.0,0.48780488,0.38888889,0.0,0.17857143,0.0
20.0,0.60526316,-0.0,0.34782609,0.0,0.0,0.75,-0.0,0.58536585,0.36111111,0.0,0.14285714,0.0
21.0,0.65789474,-0.0,0.39130435,0.0,0.0,0.875,-0.0,0.65853659,0.38888889,0.0,0.17857143,0.0
22.0,0.65789474,-0.0,0.47826087,0.0,0.0,0.9375,-0.0,0.68292683,0.55555556,0.0,0.14285714,0.0
23.0,0.68421053,-0.0,0.43478261,0.0,0.0,0.9375,-0.0,0.70731707,0.55555556,0.0,0.17857143,0.0
24.0,0.65789474,-0.0,0.34782609,0.0,0.0,0.96875,-0.0,0.73170732,0.58333333,0.0,0.17857143,0.0
