x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1.0,12204.37465913,18092.60490163,12883.37562837,12554.72772866,12765.91133037,13096.21607881,12634.32101751,17387.46424239,14397.8210836,13361.08236607,12038.57379543,14208.39818116
2.0,11495.39422982,16944.06394835,12342.04521095,11925.78447244,12333.13704371,12459.83586073,11969.68935242,16255.08413811,13481.45917945,12541.4815395,11364.20745247,13286.4995155
3.0,11108.05308876,16109.52095636,12085.4028472,11608.87154414,12174.72988884,12143.71720399,11624.55082616,15444.40173448,12866.21787336,12012.97977727,10952.07838855,12671.12360289
4.0,10923.82303146,15549.62425682,12017.38077176,11501.28326063,12224.01783812,12045.19651708,11487.3325769,14916.11738334,12494.79197169,11724.08032198,10755.2376463,12306.13709052
5.0,10927.10411277,15333.87415898,12171.33294472,11633.69199472,12471.58524798,12169.00832109,11570.15633265,14732.59095322,12433.48629201,11698.40532464,10809.06539863,12229.80310616
6.0,11223.32297346,15628.9461118,12708.03179527,12156.5896236,12988.41416574,12704.31471816,11999.325779,15048.37290189,12928.05329291,12176.99249175,11341.60929508,12673.70868865
7.0,12018.26108216,16261.73808408,13862.45603256,13309.28962245,14025.07236895,13906.72049558,13023.77279344,15741.79371635,13963.85107531,13282.21054161,12515.90793538,13640.5914968
8.0,13187.6613649,16696.57976826,15266.27775319,14563.1391916,15489.06503773,15261.6852517,14327.69147457,16242.65008915,14566.29892776,14131.58314942,13291.20212272,14190.20814545
9.0,13787.88196759,17728.92533213,15807.6499663,14931.67525102,16350.00899104,15684.64493189,14855.65735494,17299.99217775,15179.409406,14577.60566197,13698.71402833,14815.70014884
10.0,14007.91993837,19245.37217168,15728.98485909,14945.49565174,16534.30745461,15603.50432379,14829.58885626,18795.63409852,16156.62459619,15183.13458642,14184.85913887,15794.63172279
11.0,14221.93810648,20997.38887221,15567.38615595,14942.96417482,16518.23325255,15521.31984563,14864.23073568,20521.43312851,17297.31713055,15929.33580828,14686.39357323,16904.82856932
12.0,14328.79074735,22672.82137283,15311.88209648,14853.28290054,16305.19439287,15398.22965887,14834.97755798,22181.19839256,18395.29087609,16627.83397379,15073.32694064,17962.99964997
13.0,14328.74238499,24153.85781802,14970.51824256,14697.35868425,15869.1789922,15211.54326342,14717.90602505,23698.24985773,19431.28282128,17223.56401746,15381.95745936,18963.30835001
14.0,14289.23234461,25463.66589655,14664.85477936,14586.26466038,15388.07094767,15062.94136513,14601.96374868,25052.1230656,20451.70464278,17771.87697351,15686.63700833,19933.7083718
15.0,14261.10739735,26419.71128569,14422.50816021,14527.72751126,14935.64388936,14949.41988418,14511.96025147,26014.1335695,21283.93344152,18221.51943616,15923.93294506,20698.83487744
16.0,14172.13421454,27034.18575199,14215.23006818,14464.13830933,14521.53599176,14831.21528949,14393.65165704,26592.12851065,21933.09363727,18542.93585024,16111.93085202,21239.58068559
17.0,14131.3746906,27259.62562189,14121.68299187,14438.60276791,14314.70144943,14767.49183486,14332.14980875,26823.46447224,22314.73632564,18719.76755058,16280.53491971,21486.50810765
18.0,14200.4952278,27054.07812346,14175.69479409,14448.85718172,14465.36803893,14732.52512878,14364.4363005,26635.01141944,22204.90586234,18603.46857676,16275.08960265,21300.90753931
19.0,14600.49149106,26344.53906716,14599.72209186,14767.48047578,15350.98091262,15064.63504474,14669.16465826,25964.29105248,21563.64853917,18253.37997174,16051.10751664,20654.36468638
20.0,15259.91592409,25196.21827416,15393.74003565,15282.8419329,16602.83407039,15681.80772007,15229.58957356,24797.29770735,20716.38684145,17999.91096229,15853.47003161,19888.77048988
21.0,15344.17180767,24245.92096106,15618.16959454,15241.72690268,16893.80029586,15613.67786982,15342.3463997,23849.77611325,20175.49774019,17845.3479089,15984.48191624,19334.57551638
22.0,15080.22257639,23259.32811893,15403.77830881,14914.42466768,16920.24749531,15255.41354547,15035.32399735,22891.10301991,19401.83403259,17266.5860885,15497.40474765,18547.49266771
23.0,14491.3135034,21441.0931863,14724.28716666,14187.24142952,16638.4578301,14546.781949,14351.2463429,21095.86999546,17841.18137113,16056.05239924,14383.25007125,17020.69104538
24.0,13540.01285344,19490.39326862,13687.55310918,13156.48694952,15880.8263475,13515.53072074,13307.42984991,19181.84573772,16129.60324836,14606.69981279,13026.60717115,15348.02246706
