x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
1.0,-0.0,0.5483871,0.67741935,0.73333333,-0.0,0.65853659,0.75,-0.0,-0.0,0.05882353,-0.0,0.06060606,0.09090909
2.0,-0.0,0.61290323,0.70967742,0.8,-0.0,0.6097561,0.75,-0.0,-0.0,0.11764706,-0.0,0.06060606,0.04545455
3.0,-0.0,0.48387097,0.61290323,0.76666667,-0.0,0.65853659,0.7,-0.0,-0.0,0.11764706,-0.0,0.03030303,0.04545455
4.0,-0.0,0.5483871,0.58064516,0.8,-0.0,0.68292683,0.75,-0.0,-0.0,0.11764706,-0.0,0.03030303,0.04545455
5.0,-0.0,0.5483871,0.67741935,0.76666667,-0.0,0.6097561,0.85,-0.0,-0.0,0.11764706,-0.0,-0.0,-0.0
6.0,-0.0,0.51612903,0.74193548,0.73333333,-0.0,0.6097561,0.75,-0.0,-0.0,0.11764706,-0.0,0.03030303,-0.0
7.0,-0.0,0.5483871,0.77419355,0.76666667,-0.0,0.6097561,0.7,-0.0,-0.0,0.05882353,-0.0,0.03030303,-0.0
8.0,-0.0,0.51612903,0.77419355,0.76666667,-0.0,0.58536585,0.65,-0.0,-0.0,0.0,-0.0,0.06060606,0.04545455
9.0,-0.0,0.48387097,0.74193548,0.76666667,-0.0,0.6097561,0.6,-0.0,-0.0,0.0,-0.0,0.06060606,0.04545455
10.0,-0.0,0.58064516,0.70967742,0.8,-0.0,0.6097561,0.65,-0.0,-0.0,0.0,-0.0,0.06060606,0.04545455
11.0,-0.0,0.5483871,0.41935484,0.8,-0.0,0.48780488,0.5,-0.0,-0.0,0.05882353,-0.0,0.03030303,-0.0
12.0,-0.0,0.48387097,0.22580645,0.66666667,-0.0,0.34146341,0.45,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
13.0,-0.0,0.32258065,0.12903226,0.2,-0.0,0.24390244,0.25,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
14.0,-0.0,-0.0,0.03225806,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
15.0,-0.0,-0.0,-0.0,-0.0,0.16129032,-0.0,-0.0,0.05,-0.0,0.0,0.125,-0.0,-0.0
16.0,0.16,-0.0,-0.0,-0.0,0.35483871,-0.0,-0.0,0.2,0.4,0.0,0.45833333,-0.0,0.27272727
17.0,0.2,-0.0,-0.0,-0.0,0.35483871,-0.0,-0.0,0.525,0.6,0.0,0.58333333,-0.0,0.31818182
18.0,0.28,-0.0,-0.0,-0.0,0.4516129,-0.0,-0.0,0.55,0.65,0.0,0.70833333,0.03030303,0.36363636
19.0,0.36,-0.0,-0.0,-0.0,0.58064516,-0.0,-0.0,0.65,0.65,0.0,0.91666667,0.06060606,0.45454545
20.0,0.4,-0.0,-0.0,-0.0,0.67741935,-0.0,-0.0,0.625,0.75,0.05882353,0.91666667,0.09090909,0.63636364
21.0,0.48,-0.0,-0.0,-0.0,0.74193548,-0.0,-0.0,0.65,0.7,0.05882353,0.875,0.06060606,0.63636364
22.0,0.48,-0.0,-0.0,-0.0,0.77419355,-0.0,-0.0,0.625,0.7,0.11764706,0.83333333,0.12121212,0.63636364
23.0,0.48,-0.0,-0.0,-0.0,0.70967742,-0.0,-0.0,0.55,0.7,0.11764706,0.83333333,0.09090909,0.59090909
24.0,0.48,-0.0,-0.0,-0.0,0.67741935,-0.0,-0.0,0.55,0.7,0.17647059,0.83333333,0.06060606,0.63636364
