x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
1.0,0.5623584,0.27065269,0.49532645,0.17210889,0.26968753,0.32171919,0.39221933,0.20233383,0.12059867,0.52295137,0.15780861,0.13472667,0.55958455
2.0,0.59940027,0.25825484,0.46831871,0.15850156,0.25128602,0.31026228,0.36522467,0.178184,0.134261,0.53111176,0.14704722,0.15821677,0.56292
3.0,0.62499973,0.21593376,0.50350366,0.124772,0.22820086,0.28540472,0.35440633,0.17891367,0.12047367,0.48566471,0.14030306,0.1522202,0.62474636
4.0,0.61557813,0.19641613,0.4836428,0.09794444,0.22218624,0.25261854,0.35001767,0.148673,0.12332867,0.46919451,0.13682389,0.14094586,0.66912758
5.0,0.57213813,0.18758774,0.50103011,0.09820556,0.21097742,0.2096135,0.32957267,0.13811067,0.09036467,0.45188275,0.09355528,0.12976141,0.68506242
6.0,0.55066667,0.17026366,0.51487032,0.08259044,0.20597591,0.16873366,0.29402233,0.11473383,0.06559067,0.45916745,0.08741389,0.11449879,0.75197606
7.0,0.56941093,0.16067763,0.50619677,0.08700422,0.17130473,0.18292179,0.271364,0.08967883,0.08138,0.42734588,0.07455361,0.09565838,0.78614636
8.0,0.56725413,0.12766602,0.53717054,0.07418022,0.17572624,0.15415577,0.251566,0.0657845,0.08341867,0.34855294,0.06077472,0.08949475,0.73478879
9.0,0.41457947,0.12243183,0.53412753,0.08879067,0.13889226,0.13061756,0.20444833,0.06975467,0.07872767,0.34510745,0.04777861,0.08643818,0.72746333
10.0,0.30879067,0.10484108,0.46750258,0.05761667,0.11089978,0.09379171,0.144589,0.08287683,0.068674,0.42173961,0.01931778,0.08846101,0.74711364
11.0,0.27833973,0.12973032,0.49514452,0.07206111,0.08577269,0.08031984,0.115787,0.06580067,0.08746633,0.44533451,0.02153806,0.09968869,0.77857515
12.0,0.2591424,0.09136559,0.54490903,0.05721356,0.11414129,0.07000228,0.13244667,0.05272017,0.13725233,0.50106902,0.02622167,0.10815354,0.83916697
13.0,0.24311467,0.11493441,0.61506022,0.13140333,0.17602516,0.07929008,0.158241,0.08115317,0.17421267,0.58292941,0.02710361,0.14875172,0.87283303
14.0,0.24737973,0.10832581,0.7028071,0.11698067,0.24725871,0.12468358,0.148434,0.1280525,0.17118633,0.6222298,0.03217444,0.16866242,0.90148909
15.0,0.23720213,0.1518671,0.70917484,0.23414111,0.30460925,0.13905171,0.16247167,0.1932305,0.18655233,0.69348157,0.054875,0.17285798,0.86025303
16.0,0.27118053,0.20250602,0.78431419,0.28736556,0.34135871,0.1954052,0.15153167,0.25366017,0.216725,0.81789333,0.06882083,0.26718222,0.85932333
17.0,0.22244853,0.25424946,0.8054071,0.38182244,0.36711677,0.2152148,0.19453867,0.31498817,0.280632,0.8006349,0.10262556,0.25904242,0.84833818
18.0,0.20189947,0.3764714,0.77595204,0.31511667,0.4491071,0.27594341,0.181956,0.39952683,0.29275467,0.78201255,0.09841833,0.28428909,0.76896061
19.0,0.22841973,0.4992157,0.72033978,0.29297667,0.51081054,0.28126276,0.14182167,0.455186,0.31504433,0.75518353,0.1201925,0.33045333,0.77518212
20.0,0.23447733,0.55889419,0.68142559,0.33029622,0.50190065,0.25673805,0.195017,0.45781933,0.32374267,0.75048196,0.10986889,0.31479838,0.74493606
21.0,0.2170392,0.49339247,0.63526366,0.28982667,0.50889484,0.26698488,0.15328367,0.44659767,0.28840833,0.7350898,0.11829472,0.34225657,0.73907061
22.0,0.20215813,0.42277591,0.58413548,0.27000978,0.47777613,0.25298911,0.155948,0.3994155,0.26036967,0.64826667,0.12822139,0.26277111,0.70934212
23.0,0.19525307,0.34461914,0.57353441,0.18292533,0.47821161,0.27582244,0.16903633,0.33405483,0.22323433,0.6313902,0.17404139,0.22854242,0.64312545
24.0,0.1874928,0.31383677,0.55096022,0.13296933,0.46756151,0.29371545,0.18027333,0.27919467,0.19822,0.53949882,0.17368444,0.21965414,0.68422848
