x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
1.0,0.6606352,0.71150839,0.7461557,0.54936933,0.7466557,0.45146341,0.42815267,0.7064415,0.35673733,0.95490196,0.16303111,0.36142646,0.85722364
2.0,0.65818267,0.70210602,0.74961914,0.49957133,0.72152086,0.46816081,0.302857,0.65932983,0.209858,0.91208784,0.14779722,0.3290196,0.82607939
3.0,0.60676667,0.68198387,0.75311849,0.43259267,0.72461914,0.43058341,0.33266567,0.63029867,0.18753867,0.89719843,0.13788083,0.34002162,0.81314364
4.0,0.54214533,0.62477634,0.72494473,0.40531178,0.66357097,0.39612715,0.28093633,0.61974783,0.17085267,0.83371059,0.15196389,0.31416909,0.7913203
5.0,0.457076,0.52615398,0.76347505,0.37402267,0.62820989,0.35319252,0.27036767,0.54812617,0.08651033,0.81962627,0.12298083,0.29848889,0.78754121
6.0,0.3849344,0.43984645,0.71721871,0.33167089,0.60469247,0.35066553,0.195996,0.461625,0.07078533,0.76083922,0.09953056,0.27451071,0.74375606
7.0,0.3290856,0.37083957,0.74653075,0.29931933,0.63657398,0.34500033,0.21565967,0.39768183,0.07677233,0.7919502,0.11044889,0.22933111,0.79946455
8.0,0.30609787,0.25627935,0.71637183,0.19030222,0.64126237,0.32413545,0.24815467,0.25632967,0.06831733,0.53104314,0.07996972,0.20487111,0.72094576
9.0,0.25013227,0.22448903,0.68753398,0.15651556,0.59526538,0.2699226,0.18110433,0.24282167,0.054085,0.61544157,0.08686778,0.12126384,0.68899273
10.0,0.140348,0.22314237,0.67522989,0.15145022,0.52018538,0.21190846,0.112688,0.25145967,0.062671,0.66307176,0.05125333,0.12584667,0.70468152
11.0,0.11690533,0.21425699,0.66222624,0.16048911,0.50861269,0.13116439,0.090432,0.22848633,0.048096,0.75218667,0.03056528,0.16518505,0.74640667
12.0,0.0907088,0.18594258,0.71358108,0.19242556,0.56331591,0.16453496,0.06424333,0.20790333,0.056116,0.80509412,0.02585139,0.15070687,0.70003788
13.0,0.1019816,0.20026323,0.72912065,0.21807333,0.61414323,0.22956748,0.07831367,0.20644217,0.079407,0.83814118,0.03684,0.18845737,0.64838212
14.0,0.10670347,0.20804774,0.74677075,0.17867889,0.68412086,0.27061301,0.049909,0.213209,0.12414933,0.83850549,0.06277278,0.21954141,0.73492727
15.0,0.09298667,0.24620172,0.7541686,0.27916778,0.69026667,0.32103366,0.051537,0.258128,0.114723,0.86379294,0.08683694,0.30376788,0.69668091
16.0,0.09613547,0.26450538,0.77513032,0.29124533,0.71406925,0.35367789,0.067803,0.24680417,0.18208767,0.85419137,0.09205639,0.27848263,0.6678103
17.0,0.0815904,0.30548688,0.7849243,0.29898978,0.74883849,0.42526033,0.05998467,0.34194833,0.22965733,0.88605961,0.10197528,0.27070242,0.63988697
18.0,0.092184,0.39013355,0.78726667,0.42943778,0.77384215,0.44688894,0.08399333,0.42883583,0.25718767,0.95176471,0.13737028,0.30635354,0.66763455
19.0,0.12684533,0.52793634,0.77304086,0.48762067,0.82978065,0.56376732,0.08518767,0.5075265,0.320987,0.95882353,0.23175056,0.3767503,0.69106697
20.0,0.20046533,0.64339054,0.78202925,0.61744733,0.88294301,0.65795902,0.146344,0.65382333,0.32678733,0.97098039,0.30446056,0.47970646,0.62844424
21.0,0.20245573,0.70849097,0.75674194,0.67549978,0.84891613,0.73086667,0.14552267,0.74685983,0.28503567,0.94379333,0.34099944,0.45446889,0.69465818
22.0,0.25163387,0.74249656,0.72338989,0.610988,0.90330086,0.74888553,0.138712,0.77691933,0.3578,0.91965333,0.41647861,0.46225939,0.64569212
23.0,0.25275653,0.72368043,0.72178301,0.57957556,0.85491742,0.73751577,0.123008,0.79057967,0.343483,0.90787255,0.4410525,0.4059998,0.67495818
24.0,0.28519547,0.65059355,0.69240043,0.57509267,0.86145785,0.72871496,0.16391667,0.76928283,0.41084367,0.92212863,0.4509825,0.39268869,0.66397485
