x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
1.0,0.0,0.93548387,1.0,0.8,0.0,0.97560976,1.0,0.0,0.0,0.23529412,0.0,0.12121212,0.09090909
2.0,0.0,0.96774194,1.0,0.83333333,0.0,1.0,1.0,0.0,0.0,0.23529412,0.0,0.15151515,0.09090909
3.0,0.0,0.90322581,0.96774194,0.83333333,0.0,1.0,1.0,0.0,0.0,0.17647059,0.0,0.12121212,0.13636364
4.0,0.0,0.93548387,0.96774194,0.86666667,0.0,0.97560976,1.0,0.0,0.0,0.17647059,0.0,0.15151515,0.18181818
5.0,0.0,0.93548387,0.96774194,0.9,0.0,0.97560976,1.0,0.0,0.0,0.23529412,0.0,0.15151515,0.18181818
6.0,0.0,0.96774194,0.96774194,0.8,0.0,0.97560976,1.0,0.0,0.0,0.23529412,0.0,0.15151515,0.18181818
7.0,0.0,0.96774194,0.96774194,0.86666667,0.0,0.97560976,1.0,0.0,0.0,0.23529412,0.0,0.09090909,0.18181818
8.0,0.0,0.93548387,1.0,0.9,0.0,1.0,1.0,0.0,0.0,0.29411765,0.0,0.15151515,0.18181818
9.0,0.0,0.87096774,1.0,0.86666667,0.0,0.97560976,1.0,0.0,0.0,0.23529412,0.0,0.24242424,0.18181818
10.0,0.0,0.77419355,0.96774194,0.86666667,0.0,0.92682927,1.0,0.0,0.0,0.23529412,0.0,0.15151515,0.09090909
11.0,0.0,0.77419355,0.93548387,0.83333333,0.0,0.90243902,1.0,0.0,0.0,0.23529412,0.0,0.15151515,0.09090909
12.0,0.0,0.87096774,0.64516129,0.76666667,0.0,0.70731707,0.85,0.0,0.0,0.23529412,0.0,0.15151515,0.09090909
13.0,0.0,0.80645161,0.25806452,0.7,0.0,0.48780488,0.7,0.0,0.0,0.11764706,0.0,0.12121212,0.04545455
14.0,0.0,0.29032258,0.22580645,0.2,0.0,0.3902439,0.65,0.0,0.0,0.0,0.0,0.0,0.04545455
15.0,0.0,0.0,0.06451613,0.0,0.0,0.12195122,0.05,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.24,0.0,0.0,0.0,0.29032258,0.0,0.0,0.1,0.15,0.11764706,0.375,0.0,0.22727273
17.0,0.36,0.0,0.0,0.0,0.38709677,0.0,0.0,0.55,0.5,0.11764706,0.58333333,0.03030303,0.31818182
18.0,0.36,0.0,0.0,0.0,0.38709677,0.0,0.0,0.8,0.85,0.23529412,0.66666667,0.03030303,0.31818182
19.0,0.52,0.0,0.0,0.0,0.61290323,0.0,0.0,0.9,0.85,0.29411765,0.70833333,0.18181818,0.54545455
20.0,0.8,0.0,0.0,0.0,0.87096774,0.0,0.0,0.9,0.85,0.41176471,0.83333333,0.21212121,0.68181818
21.0,0.8,0.0,0.0,0.0,0.87096774,0.0,0.0,0.9,0.85,0.41176471,0.875,0.18181818,0.72727273
22.0,0.8,0.0,0.0,0.0,0.87096774,0.0,0.0,0.875,0.85,0.41176471,0.875,0.21212121,0.72727273
23.0,0.84,0.0,0.0,0.0,0.93548387,0.0,0.0,0.875,0.85,0.41176471,0.875,0.27272727,0.72727273
24.0,0.88,0.0,0.0,0.0,0.93548387,0.0,0.0,0.85,0.9,0.47058824,0.95833333,0.24242424,0.72727273
