x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
1.0,0.76289493,0.82419032,0.8736628,0.66416889,0.91335527,0.72658455,0.47167533,0.95468233,0.567699,0.95836235,0.54938,0.60387394,0.82614697
2.0,0.71696107,0.80662645,0.8970572,0.67021867,0.91684817,0.7307213,0.49649167,0.93562817,0.47852933,0.9369098,0.50171944,0.58259475,0.84026424
3.0,0.72784747,0.82964495,0.86633828,0.68449222,0.94226323,0.74205154,0.41615133,0.9136275,0.41342833,0.94526588,0.49680556,0.56331354,0.88745273
4.0,0.68290347,0.81332882,0.87188516,0.64723911,0.93175978,0.73766,0.370568,0.89356117,0.372715,0.93263686,0.45141139,0.5507796,0.78610091
5.0,0.6705376,0.80431505,0.88406731,0.64437244,0.94451204,0.7177348,0.34000033,0.87315833,0.38847433,0.92285176,0.45013056,0.56154242,0.86062939
6.0,0.61772773,0.81245828,0.8756157,0.62850844,0.94434925,0.72966309,0.331037,0.891298,0.35180333,0.93287216,0.39291639,0.54983374,0.77326909
7.0,0.6329096,0.80089935,0.89077032,0.62799756,0.92027075,0.73732927,0.33249567,0.9038355,0.36912167,0.86192784,0.34771889,0.51536202,0.75828364
8.0,0.5599656,0.68557097,0.85166903,0.56718467,0.91335914,0.71586585,0.32432867,0.82791417,0.25753567,0.92735608,0.33828194,0.48040465,0.7202797
9.0,0.46533493,0.44271226,0.87084301,0.42704844,0.89674452,0.6556174,0.25956867,0.580283,0.11760433,0.72741529,0.35997722,0.33626202,0.80538879
10.0,0.28057787,0.31457355,0.7870357,0.32116911,0.71437075,0.50338407,0.12291133,0.45930283,0.09243467,0.62168078,0.25045917,0.21189939,0.73419152
11.0,0.18982027,0.29828194,0.64761333,0.31144444,0.53451118,0.36073496,0.070078,0.3817695,0.052958,0.63013098,0.14460028,0.19077131,0.62280818
12.0,0.173248,0.23056516,0.58320387,0.29202756,0.47647269,0.33088764,0.07344333,0.33832083,0.066374,0.58940863,0.09066361,0.20373253,0.56148879
13.0,0.15695333,0.16586946,0.57255419,0.26515,0.44659849,0.36043447,0.084336,0.303582,0.067473,0.53099412,0.1141775,0.24105717,0.58324061
14.0,0.15703307,0.17750817,0.53230817,0.22778756,0.46290602,0.40277268,0.088472,0.31469083,0.090066,0.48313647,0.15093056,0.23551152,0.58609636
15.0,0.1881832,0.18168645,0.52011333,0.24810622,0.49375656,0.43024667,0.07076067,0.29993033,0.167405,0.46701059,0.16643167,0.25122444,0.55555424
16.0,0.22470747,0.21262323,0.53521247,0.28688067,0.52209355,0.46201886,0.06565067,0.30012017,0.156484,0.47589059,0.16253861,0.25024384,0.55326636
17.0,0.25168667,0.23092151,0.50804645,0.34058,0.52640473,0.48620374,0.07478167,0.37476917,0.17264533,0.4709149,0.16457694,0.27645455,0.57968273
18.0,0.255888,0.23111312,0.52903419,0.34657956,0.56836301,0.50677967,0.08102467,0.4377635,0.20691633,0.52551608,0.21005361,0.28625677,0.57147727
19.0,0.3200112,0.30889892,0.57697161,0.48547933,0.69482129,0.63128211,0.10663967,0.51159933,0.31573833,0.67189137,0.28956167,0.3495703,0.59236758
20.0,0.47828347,0.39679505,0.58929333,0.571792,0.73087785,0.73140358,0.20827367,0.6272665,0.405633,0.7634298,0.38909667,0.44238687,0.59681758
21.0,0.61626427,0.62814796,0.65902151,0.67574067,0.77799376,0.82830667,0.41068467,0.71382783,0.46044167,0.79167137,0.41675472,0.47026444,0.63918212
22.0,0.72389467,0.75110108,0.72829462,0.65440911,0.85575183,0.85964748,0.45315167,0.78520083,0.44443167,0.94304392,0.53565944,0.50302182,0.6727403
23.0,0.78812187,0.82550258,0.73594516,0.74912356,0.86923849,0.85905724,0.48954267,0.7924805,0.59474233,0.87651137,0.5311925,0.50307111,0.67799758
24.0,0.80591653,0.8590914,0.77551591,0.79296911,0.90952258,0.8813361,0.52333967,0.883095,0.58988533,0.92078431,0.59091083,0.54977051,0.69754545
