x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
1.0,0.52680187,0.26460384,0.31889333,0.18176795,0.52447014,0.14330721,0.24465744,0.61778909,0.25673654,0.78694909,0.14977238,0.25479763,0.16075425,0.55980353
2.0,0.5294472,0.25414384,0.28894229,0.17302513,0.5796658,0.15558252,0.22421128,0.63036606,0.21921975,0.80597758,0.16930349,0.24010108,0.14313655,0.53641804
3.0,0.5632056,0.20791717,0.3065099,0.15906949,0.59771072,0.1471173,0.21615692,0.57418485,0.20854,0.86253879,0.16816349,0.22008538,0.12493471,0.50907922
4.0,0.5900064,0.18948364,0.25252457,0.14363897,0.61752261,0.13361495,0.2005188,0.58927152,0.17260642,0.86121212,0.1689654,0.19996688,0.09712667,0.52811647
5.0,0.59870667,0.17916707,0.22386457,0.10669205,0.57526812,0.11235351,0.18333333,0.57016303,0.16356765,0.86772303,0.14859587,0.19593914,0.10419402,0.49754275
6.0,0.6463888,0.16455838,0.2147419,0.09013359,0.55693855,0.08246505,0.1873465,0.57031879,0.1532921,0.86483697,0.12032286,0.16044387,0.0808069,0.49457412
7.0,0.66826613,0.15283798,0.20421238,0.06506,0.58467855,0.08966414,0.17033368,0.55816848,0.10422716,0.87939394,0.10745238,0.14378516,0.09273264,0.49699961
8.0,0.61802587,0.11795495,0.19273086,0.05439077,0.58355072,0.07172811,0.17246103,0.44208364,0.08936,0.89010485,0.10407429,0.12494839,0.0771308,0.52654745
9.0,0.5972048,0.14291859,0.18382343,0.05020974,0.44231565,0.06640685,0.12779795,0.41458788,0.10917654,0.87379515,0.11923905,0.09581806,0.05747126,0.47677843
10.0,0.61275813,0.10153434,0.16060571,0.02578949,0.32877536,0.0728245,0.10558718,0.50087455,0.12062889,0.7757,0.13203714,0.04902495,0.05388989,0.38548863
11.0,0.64304293,0.12491495,0.15996552,0.03692846,0.29010174,0.06285658,0.09339248,0.53382788,0.11649358,0.67836909,0.13452,0.03030237,0.06160161,0.48345961
12.0,0.70629653,0.08656848,0.18157295,0.04967538,0.28007188,0.08321261,0.10035983,0.53981091,0.1349237,0.65364545,0.14885206,0.03606,0.05336069,0.52067412
13.0,0.74808907,0.10963313,0.18559448,0.07515103,0.26966,0.09103694,0.13863744,0.61488242,0.19044519,0.69214182,0.20388476,0.05500624,0.1306292,0.64014863
14.0,0.78403867,0.10125333,0.29454286,0.0586941,0.26543855,0.1002555,0.20831812,0.68875394,0.25607407,0.68294424,0.20372317,0.06411161,0.11283011,0.68368118
15.0,0.75769147,0.15897778,0.32972286,0.06849462,0.26243652,0.1419827,0.25469812,0.77117455,0.33047136,0.62777152,0.18365111,0.08461527,0.21504069,0.67511529
16.0,0.75750693,0.21600949,0.41312,0.09937077,0.26755681,0.15834234,0.3048335,0.81102485,0.46155012,0.60933818,0.31635619,0.10102,0.2647269,0.75455059
17.0,0.7634288,0.24923071,0.44781695,0.11083872,0.23529449,0.23463315,0.33272308,0.85136848,0.48678099,0.61170909,0.25701238,0.12333011,0.37416023,0.77735529
18.0,0.73377973,0.36162505,0.43962762,0.12753538,0.22166609,0.30000324,0.38576017,0.85616545,0.50776395,0.57936182,0.25472698,0.15451376,0.32628,0.79802902
19.0,0.74594453,0.4494901,0.41311371,0.14069564,0.26512725,0.35707964,0.44660359,0.87985576,0.51968025,0.59414909,0.26628984,0.13916323,0.31656437,0.76712824
20.0,0.72829707,0.50947354,0.34790305,0.12052897,0.2492258,0.37600108,0.42656188,0.85910545,0.54062395,0.66287333,0.25804032,0.17961957,0.35271517,0.70593529
21.0,0.73726853,0.43933212,0.36897733,0.12567487,0.25600667,0.37394865,0.41420598,0.84254364,0.49576173,0.5859,0.29696349,0.14820839,0.32811954,0.64613451
22.0,0.70242133,0.38163556,0.32996438,0.11621026,0.21737855,0.33370018,0.38711453,0.80202788,0.41901037,0.4944703,0.23801079,0.17340172,0.29342138,0.62373176
23.0,0.66345467,0.30352545,0.33885486,0.15189795,0.20879043,0.2702373,0.38300701,0.76459818,0.36675728,0.53782364,0.20959429,0.19449226,0.21535816,0.57168235
24.0,0.67654213,0.27863576,0.35535162,0.14209846,0.18438667,0.22363838,0.39878479,0.62358061,0.32763086,0.48349212,0.19284635,0.21843075,0.16049701,0.56430157
