x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
1.0,9794.75181114,13511.78712751,9525.31594397,10125.35646318,9693.8970723,13060.01355804,9820.56581673,11549.9918931,12100.72352546,9602.4623472,10353.89221815,9752.91477229,11558.01017693,10411.31350711
2.0,9295.19712491,12758.90982753,9045.16121505,9658.81382457,9218.59567732,12343.21562516,9340.54204228,10909.34677088,11449.12468823,9029.68046982,9830.69651825,9249.78247326,10959.5917786,9884.75326719
3.0,8979.65637149,12222.94844347,8759.26746893,9384.96629321,8942.17137018,11860.32873774,9053.09091398,10488.64842065,11005.44443998,8727.86003366,9473.85212166,8961.98340225,10547.1320989,9559.47411199
4.0,8779.89627897,11907.24539593,8612.9587337,9252.49299585,8792.98221962,11576.93542737,8910.15408423,10243.39176175,10752.11654667,8561.16269536,9273.24343271,8813.80327277,10319.28666428,9373.82189472
5.0,8698.81724512,11850.57661923,8610.79124627,9298.02605674,8788.95811234,11549.22045673,8935.84272767,10244.98801984,10744.02866255,8546.72763901,9293.37503757,8822.48286489,10329.2373327,9409.08177902
6.0,8816.97450256,12152.86831884,8854.4774739,9651.61134323,9019.37298641,11893.95383172,9251.34783134,10677.62145325,11118.9471015,8707.20670272,9699.76988652,9109.71386964,10708.41641716,9806.43633184
7.0,9241.78347338,12546.51097214,9451.57728623,10349.57751993,9596.32886969,12343.03000883,9910.97910945,11295.25683707,11617.20672936,9165.19935552,10369.5361935,9734.62737078,11242.0944301,10510.48303537
8.0,9800.83251336,12724.95563627,10107.60708522,10907.4730154,10216.56371669,12521.72911966,10422.23775235,11504.13738097,11851.66212448,9773.20639518,10628.87165909,10262.99095768,11431.11991657,10922.35411373
9.0,10009.22602366,13562.48484116,10313.08396421,11124.79632599,10435.91915017,13302.24651304,10605.28652682,12162.96575732,12598.53782249,10091.48993802,10973.96164681,10440.22849741,12006.65186408,11146.95469093
10.0,10328.17294758,14788.62477435,10509.78367181,11454.4780453,10596.77628311,14434.17598828,10954.86627123,13104.53510238,13622.32707104,10382.38916937,11528.41860995,10743.33692199,12867.30485485,11657.53605212
11.0,10775.14690318,16040.15924256,10818.98913316,11876.35674845,10812.67881004,15587.49305654,11391.34133869,14060.16368374,14692.03907087,10652.14885905,12105.91870717,11081.44144266,13789.95504074,12268.70408797
12.0,11152.54276354,17142.15004764,11094.50475979,12223.98488618,10945.7296003,16591.32541316,11753.18296222,14886.68408813,15619.90266791,10783.83720864,12621.00221788,11380.60840265,14627.93359424,12775.98263892
13.0,11381.48182249,17990.14360348,11249.02413599,12469.24241439,10986.84953512,17373.37467969,12052.7358451,15575.71613858,16335.26519432,10773.88712194,13049.34742858,11617.40217792,15298.52014604,13188.77690687
14.0,11491.27288442,18711.69990613,11342.749575,12690.48161839,10970.26303213,18027.58070155,12310.65182628,16193.49095134,16947.06058801,10631.8908953,13460.69159509,11819.47295397,15903.18823869,13590.65703562
15.0,11569.38680639,19254.88364517,11415.64808687,12852.97519823,10979.4827755,18492.22335299,12503.60137074,16653.75708128,17356.72187795,10493.52311706,13812.51869806,12013.13314216,16381.08620801,13910.7642718
16.0,11566.2671813,19579.66593564,11438.4938683,12943.9928989,10980.66245921,18825.55573403,12628.73555803,16989.25987121,17642.25670862,10365.52517109,14073.30780974,12158.25550217,16723.92026209,14086.15499392
17.0,11535.61717815,19622.31557272,11437.11629952,12928.81892758,10979.92109594,18900.04898219,12672.03647564,17077.84582996,17704.13492214,10302.42644942,14186.76113853,12205.68153914,16847.65926361,14090.68035635
18.0,11446.59048423,19345.44884798,11375.62571658,12730.54762633,10975.72420259,18647.85451883,12548.94405974,16794.62844057,17436.92331313,10319.57945361,14031.51353943,12093.82416359,16639.46012298,13833.33430651
19.0,11490.33812288,18660.94809458,11438.03679515,12628.26564648,11112.09912418,18009.2419926,12427.67371272,16041.1555011,16776.56532784,10674.97485345,13602.74201935,12053.39200869,16018.18942186,13505.34186857
20.0,11755.40890373,17925.39843706,11707.18029115,12742.10572924,11473.47505677,17340.7078949,12567.79065598,15327.66483953,16162.44969154,11311.42590619,13349.85586169,12197.30165591,15510.8070053,13540.0983919
21.0,11753.91954517,17527.04909491,11709.12023331,12580.34536068,11471.76742904,16984.05052887,12477.81688452,15138.34332885,15863.19342339,11359.61148705,13321.53219469,12081.45960036,15270.56739533,13418.51373834
22.0,11501.45834275,16895.9157885,11416.58835734,12180.08885829,11186.23476933,16354.9948817,12066.54864347,14610.26707594,15292.9507068,11196.77319648,12847.38000033,11721.49055559,14710.1286306,12964.59080599
23.0,11040.22999977,15775.66295631,10901.80120698,11536.2649714,10671.46911925,15287.72173678,11408.89516897,13649.26729151,14252.16177969,10862.09227936,12009.7872226,11119.09343696,13736.14453957,12227.50138956
24.0,10347.62787143,14594.49948135,10208.85344269,10756.12872162,9985.2756183,14155.82245095,10594.314728,12592.94473932,13120.05926395,10355.3372,11040.84343244,10366.62245501,12657.0654687,11350.3121026
