x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
1.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
2.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
3.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
4.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
5.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
6.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
7.0,0.00469579,0.00744043,0.00047306,0.00527376,0.00098201,0.0,-0.0,0.01017715,0.00235757,0.01009839,0.00719431,-0.0,0.00092212,0.0002041,0.01103117
8.0,0.0666871,0.08911674,0.01011514,0.09992148,0.04745301,0.01536653,0.02326097,0.11345525,0.0583046,0.09904039,0.10600634,0.00611471,0.03131431,0.01563049,0.09813645
9.0,0.21749994,0.21870007,0.11150183,0.28857319,0.21216622,0.10883234,0.20014208,0.2916592,0.19784246,0.26401696,0.2771827,0.14947526,0.15838944,0.10683949,0.26570251
10.0,0.38391958,0.36875927,0.22029908,0.4597841,0.39871469,0.25696939,0.3732316,0.44293702,0.36787304,0.44451198,0.45197177,0.3316542,0.30712494,0.22032743,0.39038751
11.0,0.47331646,0.48087171,0.31792102,0.57876343,0.57643064,0.36689251,0.51912905,0.59603589,0.49403681,0.54848992,0.59144865,0.52629888,0.41827416,0.35134708,0.55069352
12.0,0.48235981,0.56366797,0.40985002,0.64032995,0.62904514,0.3990119,0.60243207,0.65282597,0.59743238,0.63769939,0.65298615,0.65257346,0.47723099,0.39660265,0.59399306
13.0,0.55892929,0.61693508,0.45538431,0.6948346,0.64428114,0.42369157,0.62156466,0.71964552,0.6338851,0.64905988,0.61963179,0.74369877,0.55990426,0.48834111,0.61374317
14.0,0.6100929,0.53411579,0.45930036,0.67140797,0.64552296,0.42197048,0.60087368,0.700114,0.62312036,0.61660182,0.69190923,0.72258221,0.47815839,0.44490945,0.59019375
15.0,0.53440958,0.56288998,0.44855848,0.59324142,0.58885056,0.3654957,0.52899403,0.64247785,0.60651034,0.5507313,0.64948508,0.66088802,0.45978186,0.43568525,0.56979644
16.0,0.44730046,0.47880699,0.37387864,0.49493185,0.43776258,0.29473243,0.43861747,0.52864266,0.51239781,0.46438888,0.52360988,0.52742222,0.3826298,0.34128174,0.46733944
17.0,0.31794466,0.39378514,0.24678297,0.35722782,0.2889347,0.19313812,0.26605883,0.37237848,0.33940167,0.3703067,0.40624736,0.34277221,0.25487191,0.2291767,0.35394526
18.0,0.1633661,0.22396101,0.0981488,0.21476244,0.10986792,0.07289772,0.0874937,0.20328392,0.18337743,0.19644607,0.23068328,0.12719893,0.10731988,0.10538936,0.21267152
19.0,0.04507336,0.06607832,0.00505118,0.07114079,0.01518238,0.00758386,0.00353972,0.05964055,0.03685421,0.05156537,0.07328689,0.00208811,0.02087017,0.00745126,0.06567804
20.0,0.00041913,0.00256285,0.0,0.00231275,9.07e-6,0.0,-0.0,0.00075628,7.316e-5,0.00247777,0.0030405,-0.0,0.00031212,0.0,0.00334607
21.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
22.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
23.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
24.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
