x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7.0,0.00093635,0.00188274,0.00017257,0.00156162,0.00018754,-0.0,-0.0,0.00330487,0.00089607,0.00315412,0.00214063,-0.0,0.00041741,-0.0,0.00414833
8.0,0.03276753,0.05406712,0.00439755,0.05422489,0.01222297,0.00351823,0.00278184,0.06452912,0.02108501,0.04931623,0.05822511,0.0001682,0.01274216,0.00463941,0.05953538
9.0,0.16522744,0.17847137,0.04410757,0.21678476,0.14817602,0.08033043,0.08109332,0.2366345,0.13510245,0.19818112,0.23454486,0.041475,0.12681629,0.05490555,0.21799369
10.0,0.33072107,0.37346587,0.21648512,0.40736966,0.34501278,0.26085871,0.26299458,0.42931752,0.33730833,0.3907419,0.42789924,0.25410887,0.30449896,0.21762898,0.38069115
11.0,0.43785772,0.50993821,0.40281072,0.57361261,0.52275663,0.4517829,0.47177768,0.60398968,0.5138243,0.55191652,0.5946612,0.45061034,0.50236015,0.37772614,0.53682662
12.0,0.55181947,0.6148449,0.55283088,0.69268161,0.64766547,0.63448881,0.60515205,0.72556726,0.64668945,0.65352843,0.70712487,0.58792416,0.63621608,0.52790823,0.65046847
13.0,0.6225776,0.70296129,0.62322882,0.7472502,0.69736507,0.72974643,0.68598764,0.7636661,0.68032108,0.69552336,0.77113275,0.66642588,0.68176899,0.58872378,0.70692854
14.0,0.65323308,0.62448735,0.64892009,0.74772231,0.71771191,0.72387775,0.66777547,0.80355423,0.67075625,0.70838879,0.79030364,0.66835297,0.69544658,0.61348482,0.70584741
15.0,0.66503281,0.57477113,0.60055956,0.66471489,0.65594162,0.68291792,0.64108839,0.75658443,0.62667731,0.67026992,0.75893011,0.59276188,0.68437005,0.6016678,0.68600386
16.0,0.55763806,0.60720798,0.4901436,0.58741995,0.58254135,0.56333475,0.52305323,0.66038218,0.58022679,0.57175202,0.6623583,0.53340727,0.59798113,0.52864192,0.59394871
17.0,0.49022049,0.47122516,0.35246038,0.48719559,0.42301621,0.41294387,0.37394882,0.50567977,0.44081337,0.47099487,0.53733678,0.38543851,0.41891152,0.37441103,0.50254944
18.0,0.31241865,0.32316055,0.18440268,0.32515545,0.2114207,0.21585001,0.16511427,0.32089872,0.28183689,0.29874487,0.37348114,0.19635526,0.22975256,0.20320821,0.31923528
19.0,0.12772768,0.16501288,0.03544363,0.15110496,0.04391104,0.04681166,0.0159628,0.1484409,0.09801605,0.11047735,0.17042219,0.0167197,0.05512809,0.03514992,0.15100699
20.0,0.01295771,0.02355316,0.00090303,0.02527449,0.00273415,0.00137419,9.23e-6,0.02007734,0.00521847,0.01980873,0.0304234,-0.0,0.00453064,0.00071471,0.02830915
21.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
22.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
23.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
