x1,x2,x3,x4,x5
1.0,0.02985075,-0.0,0.609375,0.84158416
2.0,0.03731343,-0.0,0.65625,0.84158416
3.0,0.02238806,-0.0,0.578125,0.86138614
4.0,0.02238806,-0.0,0.625,0.85148515
5.0,0.01492537,-0.0,0.625,0.86138614
6.0,-0.0,-0.0,0.671875,0.84158416
7.0,-0.0,-0.0,0.671875,0.86138614
8.0,0.01492537,-0.0,0.65625,0.85148515
9.0,0.02985075,-0.0,0.625,0.85148515
10.0,0.02985075,-0.0,0.609375,0.78217822
11.0,0.01492537,-0.0,0.546875,0.64356436
12.0,-0.0,-0.0,0.5625,0.47524752
13.0,-0.0,-0.0,0.296875,0.36633663
14.0,-0.0,-0.0,-0.0,0.14851485
15.0,0.05223881,-0.0,-0.0,0.0
16.0,0.17910448,0.20920764,-0.0,0.0
17.0,0.2066152,0.39393939,-0.0,0.0
18.0,0.29104478,0.45454545,-0.0,0.0
19.0,0.49253731,0.45454545,-0.0,0.0
20.0,0.52238806,0.48484848,-0.0,0.0
21.0,0.54477612,0.5,-0.0,0.0
22.0,0.58955224,0.56060606,-0.0,0.0
23.0,0.59701493,0.59090909,-0.0,0.0
24.0,0.59701493,0.59090909,-0.0,0.0
