x1,x2,x3,x4,x5,x6
1.0,0.37846875,0.24923869,0.19373913,0.42012667,0.274569
2.0,0.3651071,0.23751505,0.18313781,0.42573516,0.2753857
3.0,0.36801183,0.19411869,0.17712142,0.44450849,0.26615751
4.0,0.34585892,0.17314485,0.15598339,0.4467072,0.26382434
5.0,0.33111455,0.1610999,0.13748437,0.44961312,0.23188466
6.0,0.31158423,0.14426879,0.11157574,0.46836742,0.22229181
7.0,0.3118443,0.14233384,0.0969835,0.44587022,0.22314932
8.0,0.30342409,0.12044596,0.08314022,0.41392839,0.21343799
9.0,0.27628416,0.1288804,0.08652907,0.38756527,0.16697044
10.0,0.22973642,0.09955333,0.09445508,0.40089817,0.12638635
11.0,0.21968789,0.12561384,0.09056077,0.4088886,0.12108193
12.0,0.23346774,0.10082495,0.10989115,0.4543257,0.11771655
13.0,0.26654251,0.15273152,0.13953967,0.51688505,0.12646466
14.0,0.31309333,0.15087333,0.16097585,0.5683286,0.14154313
15.0,0.33220846,0.21433495,0.2004977,0.60414591,0.15069229
16.0,0.37269785,0.29343374,0.26731661,0.6341414,0.18945285
17.0,0.40552444,0.34732263,0.32290525,0.64967086,0.17884787
18.0,0.42111434,0.38135828,0.37535781,0.6515971,0.18389398
19.0,0.40082351,0.41465828,0.41982481,0.67717484,0.22242402
20.0,0.38503254,0.46054919,0.42629202,0.65222409,0.22313116
21.0,0.36606014,0.4199603,0.41120973,0.62806387,0.23655277
22.0,0.34173835,0.37355141,0.35696536,0.59815796,0.20401406
23.0,0.34742516,0.29449162,0.3038188,0.56424989,0.210971
24.0,0.35222229,0.2474197,0.25956383,0.55507978,0.20561815
