x1,x2,x3,x4,x5,x6
1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0
7.0,5.381e-5,0.00320488,0.00263443,0.00051553,0.00033044
8.0,0.00690629,0.05694689,0.05462842,0.01640882,0.01267014
9.0,0.09538122,0.21481777,0.21082659,0.11274903,0.10127821
10.0,0.28253279,0.38964551,0.40018294,0.30203197,0.2786862
11.0,0.47315721,0.54282433,0.55657728,0.49659606,0.44230656
12.0,0.61208465,0.65687354,0.66223108,0.65361745,0.57356438
13.0,0.67261285,0.71024459,0.72490595,0.72031083,0.63966462
14.0,0.69034678,0.71133899,0.72079933,0.72886509,0.64141964
15.0,0.64040849,0.66794045,0.67780312,0.69181814,0.62611927
16.0,0.55027531,0.59237678,0.61573971,0.59139707,0.52766959
17.0,0.39256415,0.49559524,0.49574628,0.44087617,0.39872984
18.0,0.20128099,0.32030784,0.33399938,0.24406431,0.2203104
19.0,0.03645656,0.15007487,0.14819344,0.06880977,0.0556387
20.0,0.0013286,0.02708658,0.02500907,0.00439435,0.00338506
21.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0
