x1,x2,x3,x4,x5,x6
1.0,0.74880358,0.72173061,0.73554962,0.89908763,0.72319092
2.0,0.74396918,0.74470414,0.72610984,0.90266344,0.6944751
3.0,0.72755663,0.74876374,0.75099115,0.87290333,0.68338988
4.0,0.73114287,0.73599061,0.69800601,0.8659729,0.67292273
5.0,0.74650552,0.72973495,0.68803749,0.85198817,0.63928297
6.0,0.73136165,0.71770939,0.67289366,0.85851462,0.61849759
7.0,0.72956545,0.70773253,0.65764776,0.83400559,0.60069422
8.0,0.70482301,0.64783394,0.56142842,0.85002602,0.58531992
9.0,0.67419032,0.49015152,0.4306635,0.77027441,0.55812859
10.0,0.61403484,0.44931283,0.38214022,0.68041376,0.47694137
11.0,0.50631362,0.42426667,0.35847104,0.61238075,0.39072498
12.0,0.48845728,0.38928051,0.33818885,0.58123118,0.34036964
13.0,0.50913821,0.3854601,0.33436492,0.57589204,0.35339622
14.0,0.51964523,0.40760859,0.37188109,0.59827118,0.34906546
15.0,0.53044151,0.45306323,0.41198721,0.59371462,0.38627149
16.0,0.52825656,0.46177303,0.45622995,0.59624774,0.40299912
17.0,0.54384688,0.53209545,0.52747158,0.60385011,0.40797309
18.0,0.56953333,0.54731879,0.61551213,0.58157817,0.43085478
19.0,0.6321481,0.57132636,0.57283104,0.59039097,0.52462369
20.0,0.69742853,0.61207152,0.71862525,0.63914194,0.63071189
21.0,0.75463491,0.68100798,0.73147443,0.68159269,0.67897502
22.0,0.76057986,0.71032263,0.69578033,0.70685161,0.71122803
23.0,0.77574953,0.75427222,0.68869497,0.73035366,0.7198441
24.0,0.80575685,0.7638096,0.70182656,0.72369172,0.73411181
