x1,x2,x3,x4,x5,x6
1.0,0.74193548,0.6969697,-0.0,-0.0,0.01204819
2.0,0.76344086,0.68181818,-0.0,-0.0,-0.0
3.0,0.77419355,0.71212121,-0.0,-0.0,-0.0
4.0,0.83870968,0.75757576,-0.0,-0.0,-0.0
5.0,0.79569892,0.78787879,-0.0,-0.0,0.01204819
6.0,0.82795699,0.78787879,-0.0,-0.0,0.02409639
7.0,0.8172043,0.75757576,-0.0,0.01612903,0.02409639
8.0,0.8172043,0.6969697,-0.0,-0.0,0.02409639
9.0,0.8172043,0.66666667,-0.0,0.01612903,0.02409639
10.0,0.8172043,0.6969697,-0.0,-0.0,-0.0
11.0,0.80645161,0.66666667,-0.0,0.01612903,0.02409639
12.0,0.52688172,0.65151515,-0.0,-0.0,0.01204819
13.0,0.40860215,0.42424242,-0.0,-0.0,-0.0
14.0,0.10752688,0.01515152,-0.0,-0.0,-0.0
15.0,-0.0,-0.0,-0.0,-0.0,-0.0
16.0,-0.0,-0.0,0.14754098,0.12903226,0.12048193
17.0,-0.0,-0.0,0.31147541,0.16129032,0.19277108
18.0,-0.0,-0.0,0.44262295,0.19354839,0.27710843
19.0,-0.0,-0.0,0.47540984,0.37096774,0.42168675
20.0,-0.0,-0.0,0.52459016,0.41935484,0.45783133
21.0,-0.0,-0.0,0.57377049,0.48387097,0.51807229
22.0,-0.0,-0.0,0.63934426,0.53225806,0.55421687
23.0,-0.0,-0.0,0.6557377,0.5483871,0.55421687
24.0,-0.0,-0.0,0.68852459,0.53225806,0.54216867
