x1,x2,x3,x4,x5,x6
1.0,0.97849462,0.86363636,0.0,0.06451613,0.02409639
2.0,0.98924731,0.90909091,0.0,0.06451613,0.02409639
3.0,0.98924731,0.83333333,0.0,0.08064516,0.02409639
4.0,0.97849462,0.86363636,0.0,0.11290323,0.02409639
5.0,0.97849462,0.90909091,0.0,0.09677419,0.02409639
6.0,0.97849462,0.87878788,0.0,0.09677419,0.02409639
7.0,0.97849462,0.87878788,0.0,0.09677419,0.02409639
8.0,0.98924731,0.90909091,0.0,0.09677419,0.04819277
9.0,0.97849462,0.84848485,0.0,0.11290323,0.07228916
10.0,0.95698925,0.78787879,0.0,0.06451613,0.04819277
11.0,0.93548387,0.77272727,0.0,0.06451613,0.04819277
12.0,0.72043011,0.78787879,0.0,0.06451613,0.04819277
13.0,0.47311828,0.71212121,0.0,0.03225806,0.02409639
14.0,0.40860215,0.1969697,0.0,0.01612903,0.0
15.0,0.08602151,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.13114754,0.19354839,0.21686747
17.0,0.0,0.0,0.54098361,0.27419355,0.3253012
18.0,0.0,0.0,0.81967213,0.30645161,0.34939759
19.0,0.0,0.0,0.8852459,0.53225806,0.45783133
20.0,0.0,0.0,0.8852459,0.69354839,0.62650602
21.0,0.0,0.0,0.8852459,0.70967742,0.62650602
22.0,0.0,0.0,0.86885246,0.70967742,0.63855422
23.0,0.0,0.0,0.86885246,0.74193548,0.6746988
24.0,0.0,0.0,0.85245902,0.75806452,0.71084337
