x1,x2,x3,x4,x5,x6
1.0,12623.23500992,16726.56876972,16555.09372143,12509.89614252,12758.89606253
2.0,11981.36492613,15646.52573927,15491.80310358,11761.26972872,12129.09414111
3.0,11648.66987779,14879.22501343,14746.6177283,11314.38210736,11792.19012051
4.0,11526.84882253,14379.83904124,14271.53796444,11085.44438581,11664.13974043
5.0,11636.90897146,14204.97335996,14130.67485173,11076.08991743,11770.19517633
6.0,12132.6648491,14532.73691173,14506.38475617,11465.58124962,12296.2499797
7.0,13252.45100895,15230.12217815,15295.21764805,12425.4571338,13460.71210108
8.0,14457.17569127,15694.64298196,15825.60475766,13452.04604361,14643.7719907
9.0,14920.18885954,16612.38499433,16768.71409709,13966.91509374,15118.47711419
10.0,15041.86335761,17947.2001465,18134.00533094,14336.32006694,15228.81616877
11.0,15178.16714346,19472.95673338,19716.27516113,14747.11802577,15327.49465201
12.0,15228.72520428,20939.67392876,21248.48808052,15052.75001202,15351.87039084
13.0,15187.61760299,22264.17561077,22658.85870782,15266.4163879,15302.58279674
14.0,15150.28945919,23470.18801745,23953.44440396,15461.1632911,15272.08426761
15.0,15119.69125566,24378.92923623,24914.47105849,15630.58552539,15248.19356494
16.0,15055.38688828,24995.01908971,25542.55126831,15726.81300566,15210.87807897
17.0,15028.72578961,25241.09207917,25825.87079251,15804.74999366,15220.01004545
18.0,15028.04458193,25046.89757274,25647.09049961,15827.86532369,15227.31116831
19.0,15276.29899969,24346.62337536,24954.54652842,15928.45926057,15405.67443076
20.0,15772.46713291,23296.65669551,23850.30341407,16200.29728388,15781.87749294
21.0,15797.13828348,22484.88294745,22979.16537578,16237.26530359,15830.7917203
22.0,15446.86954951,21605.02565744,22051.62718834,15860.83625756,15461.8407041
23.0,14688.13308066,19895.55904538,20316.93191759,15006.70656476,14620.83341554
24.0,13611.28784947,18034.29767009,18460.75698743,13844.6267877,13474.61127746
