x1,x2,x3,x4,x5,x6,x7
1.0,0.01587302,-0.0,0.78378378,0.08571429,0.94202899,0.80645161
2.0,0.01587302,-0.0,0.81081081,0.08571429,0.92753623,0.80645161
3.0,0.01587302,-0.0,0.75675676,0.1,0.94202899,0.82258065
4.0,-0.0,-0.0,0.75675676,0.07142857,0.89855072,0.79032258
5.0,-0.0,-0.0,0.75675676,0.07142857,0.92753623,0.75806452
6.0,-0.0,-0.0,0.72972973,0.08571429,0.94202899,0.79032258
7.0,0.01587302,-0.0,0.75675676,0.07142857,0.89855072,0.79032258
8.0,0.01587302,-0.0,0.78378378,0.05714286,0.91304348,0.79032258
9.0,0.01587302,-0.0,0.75675676,0.07142857,0.88405797,0.74193548
10.0,0.01587302,-0.0,0.78378378,0.07142857,0.86956522,0.72580645
11.0,0.01587302,-0.0,0.64864865,0.07142857,0.82608696,0.77419355
12.0,0.01587302,-0.0,0.37837838,0.04285714,0.63768116,0.75806452
13.0,-0.0,-0.0,0.21621622,0.01428571,0.52173913,0.64516129
14.0,-0.0,-0.0,0.16216216,-0.0,0.42028986,0.32258065
15.0,0.0952381,-0.0,0.08108108,0.01428571,0.1884058,-0.0
16.0,0.25396825,0.25,-0.0,0.15714286,-0.0,-0.0
17.0,0.26984127,0.5,-0.0,0.17142857,-0.0,-0.0
18.0,0.3015873,0.703125,-0.0,0.25714286,-0.0,-0.0
19.0,0.38095238,0.765625,-0.0,0.34285714,-0.0,-0.0
20.0,0.52380952,0.78125,-0.0,0.44285714,-0.0,-0.0
21.0,0.71428571,0.78125,-0.0,0.57142857,-0.0,-0.0
22.0,0.76190476,0.796875,-0.0,0.61428571,-0.0,-0.0
23.0,0.80952381,0.84375,-0.0,0.62857143,-0.0,-0.0
24.0,0.82539683,0.84375,-0.0,0.65714286,-0.0,-0.0
