x1,x2,x3,x4,x5,x6,x7
1.0,-0.0,-0.0,0.54054054,0.01428571,0.75362319,0.69354839
2.0,-0.0,-0.0,0.62162162,-0.0,0.73913043,0.67741935
3.0,-0.0,-0.0,0.64864865,-0.0,0.73913043,0.70967742
4.0,-0.0,-0.0,0.67567568,-0.0,0.8115942,0.75806452
5.0,-0.0,-0.0,0.64864865,-0.0,0.79710145,0.77419355
6.0,-0.0,-0.0,0.64864865,0.01428571,0.84057971,0.77419355
7.0,-0.0,-0.0,0.64864865,0.01428571,0.84057971,0.74193548
8.0,-0.0,-0.0,0.62162162,0.01428571,0.82608696,0.69354839
9.0,0.01587302,-0.0,0.62162162,0.01428571,0.82608696,0.66129032
10.0,-0.0,-0.0,0.62162162,-0.0,0.8115942,0.69354839
11.0,-0.0,-0.0,0.62162162,0.02857143,0.8115942,0.66129032
12.0,-0.0,-0.0,0.24324324,0.01428571,0.60869565,0.66129032
13.0,-0.0,-0.0,0.18918919,-0.0,0.46376812,0.43548387
14.0,-0.0,-0.0,0.02702703,-0.0,0.13043478,0.01612903
15.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
16.0,0.15873016,0.140625,-0.0,0.11428571,-0.0,-0.0
17.0,0.20634921,0.296875,-0.0,0.18571429,-0.0,-0.0
18.0,0.25396825,0.421875,-0.0,0.27142857,-0.0,-0.0
19.0,0.47619048,0.453125,-0.0,0.4,-0.0,-0.0
20.0,0.53968254,0.5,-0.0,0.42857143,-0.0,-0.0
21.0,0.61904762,0.546875,-0.0,0.48571429,-0.0,-0.0
22.0,0.66666667,0.625,-0.0,0.51428571,-0.0,-0.0
23.0,0.68253968,0.640625,-0.0,0.51428571,-0.0,-0.0
24.0,0.66666667,0.671875,-0.0,0.5,-0.0,-0.0
