x1,x2,x3,x4,x5,x6,x7
1.0,0.0,0.0,0.91891892,0.0,0.97101449,0.85483871
2.0,0.0,0.0,0.91891892,0.0,0.98550725,0.90322581
3.0,0.0,0.0,0.91891892,0.0,1.0,0.82258065
4.0,0.01587302,0.0,0.94594595,0.0,0.98550725,0.85483871
5.0,0.0,0.0,0.94594595,0.0,0.98550725,0.90322581
6.0,0.0,0.0,0.94594595,0.0,0.98550725,0.87096774
7.0,0.0,0.0,0.94594595,0.0,0.98550725,0.87096774
8.0,0.0,0.0,0.97297297,0.02857143,0.98550725,0.90322581
9.0,0.01587302,0.0,0.97297297,0.05714286,0.97101449,0.83870968
10.0,0.0,0.0,0.89189189,0.02857143,0.95652174,0.77419355
11.0,0.0,0.0,0.86486486,0.02857143,0.94202899,0.75806452
12.0,0.0,0.0,0.64864865,0.04285714,0.75362319,0.77419355
13.0,0.01587302,0.0,0.27027027,0.01428571,0.56521739,0.70967742
14.0,0.0,0.0,0.21621622,0.0,0.46376812,0.19354839
15.0,0.0,0.0,0.05405405,0.0,0.08695652,0.0
16.0,0.26984127,0.125,0.0,0.18571429,0.0,0.0
17.0,0.36507937,0.515625,0.0,0.3,0.0,0.0
18.0,0.38095238,0.796875,0.0,0.32857143,0.0,0.0
19.0,0.61904762,0.859375,0.0,0.44285714,0.0,0.0
20.0,0.80952381,0.875,0.0,0.6,0.0,0.0
21.0,0.82539683,0.875,0.0,0.6,0.0,0.0
22.0,0.82539683,0.859375,0.0,0.61428571,0.0,0.0
23.0,0.85714286,0.859375,0.0,0.65714286,0.0,0.0
24.0,0.85714286,0.859375,0.0,0.7,0.0,0.0
