x1,x2,x3,x4,x5,x6,x7
1.0,0.89538487,0.83280427,0.92702883,0.59365648,0.63317565,0.75864742
2.0,0.89907048,0.79395385,0.90668072,0.55474314,0.6523857,0.75780742
3.0,0.92594497,0.75612552,0.88513027,0.55926219,0.63386676,0.7713228
4.0,0.87164011,0.73744917,0.89049838,0.531802,0.60196551,0.75494333
5.0,0.90684974,0.72899719,0.89309459,0.52475267,0.58183285,0.75617172
6.0,0.89064212,0.729965,0.87026505,0.49249124,0.58345845,0.73891441
7.0,0.87344434,0.74460635,0.87622757,0.458652,0.5831315,0.73052204
8.0,0.8626691,0.6655475,0.82556991,0.41964657,0.57118522,0.65152602
9.0,0.85948159,0.44581844,0.81433063,0.33935429,0.50561546,0.46722108
10.0,0.71925397,0.35724719,0.72758559,0.20492362,0.37068908,0.33818516
11.0,0.56578116,0.29149531,0.60288703,0.14726857,0.27685874,0.3332928
12.0,0.50588328,0.26322219,0.55326631,0.13328857,0.2578999,0.28941742
13.0,0.50671376,0.23777417,0.52630577,0.14254267,0.27843449,0.24711032
14.0,0.51433841,0.24859917,0.50082829,0.1563921,0.28733411,0.23660903
15.0,0.50959894,0.26939771,0.49649081,0.18752352,0.29593208,0.23862075
16.0,0.52579354,0.2734125,0.50525171,0.19568762,0.31408203,0.26960742
17.0,0.54459259,0.31443948,0.49528775,0.21609171,0.32937923,0.30368559
18.0,0.56581915,0.36451292,0.5403955,0.237918,0.33642512,0.30938882
19.0,0.66072762,0.45893552,0.59713189,0.30267914,0.44198686,0.39554065
20.0,0.68455926,0.57576708,0.62660198,0.42270362,0.53173807,0.48868935
21.0,0.74287206,0.63693062,0.66796793,0.481538,0.66270966,0.66068419
22.0,0.80992466,0.69622271,0.74777964,0.55728952,0.70145082,0.71532763
23.0,0.80449471,0.74691125,0.75698234,0.58212486,0.70976039,0.79169129
24.0,0.83514265,0.79585687,0.78681189,0.63353905,0.74679527,0.82764903
