x1,x2,x3,x4,x5,x6,x7,x8
1.0,0.41226579,0.63573424,0.38378213,0.82379013,0.61157549,0.77906126,0.47912637
2.0,0.37855193,0.60694192,0.3755339,0.79458667,0.53275662,0.77894306,0.44933164
3.0,0.38566614,0.56378124,0.35710014,0.77071987,0.50969251,0.78908486,0.43185005
4.0,0.35078737,0.52311808,0.32972809,0.72688077,0.49515056,0.7524036,0.39218149
5.0,0.33188053,0.45619051,0.27875745,0.69857897,0.42841538,0.76883117,0.36503214
6.0,0.30082263,0.39744147,0.23227858,0.66352128,0.36337108,0.7646182,0.31193841
7.0,0.26228175,0.34200102,0.21618965,0.71393692,0.32985446,0.7591218,0.32524697
8.0,0.23179175,0.21560068,0.18674837,0.65926846,0.21683323,0.72535081,0.31811602
9.0,0.14754684,0.18132452,0.16476426,0.64709859,0.20691733,0.71216901,0.25921224
10.0,0.15222439,0.18835458,0.0998678,0.60137474,0.220612,0.67195477,0.21454796
11.0,0.18264596,0.18986746,0.07680156,0.63193436,0.20929703,0.67685261,0.15067144
12.0,0.16235228,0.19386373,0.0746834,0.64803218,0.20324944,0.70468775,0.17073373
13.0,0.19539298,0.21649367,0.08044156,0.66528333,0.21267149,0.72439045,0.21166965
14.0,0.22335772,0.20381977,0.09755915,0.73189064,0.22811621,0.75659063,0.22591313
15.0,0.29541632,0.27745785,0.1138766,0.71687551,0.25925077,0.75176631,0.25596746
16.0,0.27445667,0.29013412,0.12307106,0.71857359,0.26751549,0.76162595,0.28690498
17.0,0.26887667,0.31359706,0.12460156,0.72557603,0.33939631,0.78561171,0.32865065
18.0,0.30782982,0.41801288,0.15631816,0.73540269,0.41534133,0.79811459,0.35484547
19.0,0.38079509,0.51340147,0.22826383,0.76924974,0.48606359,0.79419153,0.42419403
20.0,0.46853404,0.63820226,0.30194411,0.78254718,0.5751079,0.80590667,0.50169214
21.0,0.46133719,0.70321616,0.31321163,0.77896179,0.617976,0.77105568,0.55342537
22.0,0.47339333,0.68739672,0.37680227,0.78529936,0.65606913,0.73912811,0.56392736
23.0,0.43651088,0.66156,0.38346851,0.76265526,0.6595919,0.74663514,0.5473998
24.0,0.43606088,0.62314362,0.40019589,0.75954705,0.67089518,0.73812883,0.54283662
