x1,x2,x3,x4,x5,x6,x7,x8
1.0,0.48428456,0.49972859,0.52228496,0.65496564,0.51214882,0.63165369,0.45708199
2.0,0.40432088,0.43882395,0.51073064,0.617125,0.41896615,0.62822144,0.43727682
3.0,0.38077614,0.34503876,0.48814851,0.60136218,0.37183733,0.63149099,0.39317323
4.0,0.32447439,0.29448814,0.45968213,0.5648509,0.32082338,0.59308541,0.34119781
5.0,0.29212053,0.25939684,0.44268,0.47974487,0.26368841,0.57042757,0.32687841
6.0,0.27939596,0.19848599,0.44087631,0.4771809,0.24142287,0.58874288,0.29831731
7.0,0.26278263,0.19248215,0.43478113,0.45271885,0.20476554,0.53976847,0.27200706
8.0,0.21505561,0.12238576,0.40654326,0.42864308,0.11061436,0.53451099,0.2708995
9.0,0.18069825,0.11056192,0.32059064,0.41814821,0.11277231,0.53963748,0.22637035
10.0,0.12712544,0.11918542,0.24804326,0.393345,0.12721959,0.57598342,0.15970806
11.0,0.13370491,0.13217842,0.20498284,0.41249756,0.13209303,0.56623532,0.11836438
12.0,0.1362086,0.13503435,0.17287333,0.45149436,0.15812738,0.61538595,0.12444846
13.0,0.15518789,0.12911085,0.14566071,0.49786731,0.16131333,0.63325622,0.13547841
14.0,0.18783351,0.16478983,0.1337627,0.55808026,0.16062821,0.66079459,0.16363274
15.0,0.22394421,0.16463446,0.12905518,0.54184705,0.19254605,0.67128198,0.15912458
16.0,0.27736456,0.21992814,0.12216312,0.55362064,0.23117282,0.71115964,0.18962905
17.0,0.27074632,0.29094452,0.13426879,0.55617564,0.30597087,0.7199773,0.18566647
18.0,0.27827351,0.31308814,0.14749957,0.57655359,0.35577456,0.69927838,0.21484597
19.0,0.32599228,0.40318147,0.20360879,0.62940295,0.40965241,0.70598793,0.26517473
20.0,0.37852544,0.47175853,0.30144596,0.6923841,0.52047508,0.7633982,0.36860955
21.0,0.54313509,0.58994768,0.31739518,0.72468115,0.61359569,0.77594649,0.48222318
22.0,0.62397386,0.65250407,0.32533191,0.71009038,0.69607703,0.77241315,0.49947741
23.0,0.61020439,0.66648689,0.37216411,0.74535923,0.65020277,0.78108559,0.54043821
24.0,0.59040579,0.57990881,0.35381688,0.68294885,0.59872831,0.71397982,0.52028866
