x1,x2,x3,x4,x5,x6,x7,x8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.00024747,0.00120155,0.0,2.835e-5,0.00121893,0.00025397,3.095e-5
8.0,0.02367108,0.04899524,0.00510256,0.00927753,0.0508066,0.01366651,0.00712661
9.0,0.16341258,0.21596243,0.0966077,0.096237,0.20418971,0.1146776,0.11262218
10.0,0.34945862,0.40060772,0.3103031,0.29212986,0.39121556,0.33417142,0.33402621
11.0,0.50345155,0.55953765,0.4941683,0.47373038,0.53248246,0.5179353,0.50539751
12.0,0.59539739,0.67295182,0.64239827,0.62297009,0.63834209,0.65221114,0.63002244
13.0,0.65765511,0.72967142,0.70547254,0.69456371,0.71934088,0.7162347,0.67865429
14.0,0.65476723,0.75238574,0.70671878,0.69056366,0.73835008,0.708679,0.70006161
15.0,0.67254063,0.71195942,0.66404689,0.66900244,0.70185846,0.68803605,0.67282326
16.0,0.60296434,0.62542111,0.56208067,0.58107419,0.60960052,0.62386654,0.57785156
17.0,0.48049514,0.49260133,0.41358881,0.43292794,0.48723911,0.44300919,0.43220594
18.0,0.29342148,0.32557976,0.21017121,0.24035019,0.31824096,0.24045727,0.22864287
19.0,0.10467233,0.14425039,0.0333166,0.05268017,0.13454177,0.05430993,0.04532123
20.0,0.0057939,0.02309768,0.00058324,0.00176294,0.02177816,0.00336531,0.00131919
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
