x1,x2,x3,x4,x5,x6,x7,x8
1.0,10036.9892904,12809.54119474,9865.75377765,9956.82589413,12690.8545199,10079.5691242,9723.35895339
2.0,9525.04036366,12113.85408588,9404.71999124,9457.53470843,12008.31269733,9511.79503838,9234.25042687
3.0,9198.28237199,11621.41502225,9138.77537352,9139.56656913,11548.6148525,9172.48011683,8950.20681721
4.0,9020.74161358,11336.50548967,9008.35836987,8954.97134562,11282.19564369,8980.88322908,8805.14745803
5.0,9052.69681456,11303.04895786,9039.95256912,8920.53185896,11266.76157824,8962.83587125,8820.84223051
6.0,9460.48701313,11628.37577234,9345.9609451,9135.28880696,11628.42717509,9211.56049081,9117.8084815
7.0,10170.90861484,12061.22877763,10021.07938305,9652.94578039,12099.87829465,9777.3360592,9739.81085555
8.0,10494.87645199,12250.0796198,10655.0791454,10135.69009412,12299.86644702,10359.20075206,10260.56622469
9.0,10774.52871146,13006.53983302,10860.94540098,10369.21991313,13046.22131566,10689.79340146,10456.01676616
10.0,11278.72731391,14101.21923507,11093.52426585,10734.64538965,14118.78116142,11087.1539357,10767.77450593
11.0,11823.441868,15228.87660859,11398.21549516,11199.40921436,15225.97945685,11585.21619155,11139.84395041
12.0,12281.63985057,16227.87691642,11629.51129331,11593.6561486,16185.27630466,11997.87512723,11469.05971569
13.0,12659.17823129,17004.90471513,11772.26708134,11879.5108434,16932.5498307,12282.21929379,11704.62333102
14.0,13041.07939285,17663.55321833,11858.4431128,12088.64717398,17571.67424841,12488.97784479,11898.68866212
15.0,13349.57124071,18165.14844753,11907.25013177,12251.99410036,18028.42988307,12643.80110398,12068.16831935
16.0,13600.64640732,18486.45042712,11913.54823336,12332.40885117,18357.08705163,12715.28343434,12171.97319386
17.0,13719.9998305,18560.65016908,11895.9173491,12340.13088109,18423.68184665,12702.40793421,12198.19958195
18.0,13586.83678456,18321.5394762,11797.2922758,12217.24515197,18153.10317689,12571.3272847,12085.52915375
19.0,13184.37947583,17669.26421767,11861.93800045,12144.37918794,17499.21427956,12488.17516979,12038.62624577
20.0,12984.28546958,17014.73775232,12149.41999587,12291.7005636,16860.97697006,12643.51604621,12220.10124147
21.0,12981.31380013,16686.45711385,12047.67970132,12220.60506802,16527.28066671,12618.51083605,12125.44872341
22.0,12514.02487906,16101.65972827,11702.74712039,11863.27151766,15932.38536648,12310.66578572,11757.7384669
23.0,11704.84878458,15044.91687613,11119.3147817,11279.58561627,14890.69213699,11769.15878836,11145.62643437
24.0,10773.75999902,13902.99669974,10375.944641,10517.82562239,13767.12442848,11054.74224245,10382.45953203
