x1,x2,x3,x4,x5,x6,x7,x8,x9
1.0,-0.0,-0.0,0.81081081,-0.0,0.17391304,0.28205128,0.82142857,0.9375
2.0,-0.0,-0.0,0.83783784,-0.0,0.17391304,0.28205128,0.82142857,0.921875
3.0,-0.0,-0.0,0.78378378,-0.0,0.17391304,0.30769231,0.83928571,0.9375
4.0,-0.0,-0.0,0.78378378,-0.0,0.17391304,0.17948718,0.80357143,0.921875
5.0,-0.0,-0.0,0.78378378,-0.0,0.17391304,0.20512821,0.78571429,0.921875
6.0,-0.0,-0.0,0.75675676,-0.0,0.2173913,0.20512821,0.80357143,0.953125
7.0,-0.0,-0.0,0.78378378,-0.0,0.2173913,0.20512821,0.80357143,0.90625
8.0,-0.0,-0.0,0.81081081,-0.0,0.2173913,0.20512821,0.80357143,0.90625
9.0,-0.0,-0.0,0.78378378,-0.0,0.17391304,0.25641026,0.75,0.875
10.0,-0.0,-0.0,0.81081081,-0.0,0.17391304,0.23076923,0.75,0.859375
11.0,-0.0,-0.0,0.67567568,-0.0,0.17391304,0.23076923,0.80357143,0.8125
12.0,-0.0,-0.0,0.37837838,-0.0,0.17391304,0.17948718,0.76785714,0.640625
13.0,-0.0,-0.0,0.18918919,-0.0,0.13043478,0.07692308,0.66071429,0.546875
14.0,-0.0,-0.0,0.16216216,-0.0,0.08695652,0.02564103,0.30357143,0.453125
15.0,0.06382979,0.09090909,0.08108108,-0.0,-0.0,-0.0,-0.0,0.203125
16.0,0.29787234,0.29545455,-0.0,0.27272727,0.04347826,-0.0,-0.0,-0.0
17.0,0.31914894,0.31818182,-0.0,0.54545455,0.08695652,-0.0,-0.0,-0.0
18.0,0.44680851,0.34090909,-0.0,0.74545455,0.17391304,0.02564103,-0.0,-0.0
19.0,0.5106383,0.45454545,-0.0,0.8,0.26086957,0.07692308,-0.0,-0.0
20.0,0.57446809,0.56818182,-0.0,0.8,0.39130435,0.23076923,-0.0,-0.0
21.0,0.82978723,0.77272727,-0.0,0.8,0.39130435,0.23076923,-0.0,-0.0
22.0,0.85106383,0.84090909,-0.0,0.81818182,0.39130435,0.28205128,-0.0,-0.0
23.0,0.87234043,0.88636364,-0.0,0.83636364,0.47826087,0.30769231,-0.0,-0.0
24.0,0.89361702,0.88636364,-0.0,0.83636364,0.52173913,0.33333333,-0.0,-0.0
