x1,x2,x3,x4,x5,x6,x7,x8,x9
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7.0,-0.0,-0.0,0.00025033,0.00207101,0.00281077,0.00076314,0.0024188,-0.0
8.0,0.00903072,0.01319775,0.01094222,0.07052799,0.07087547,0.03507995,0.06662152,0.01614289
9.0,0.10699856,0.10559114,0.09171335,0.21876247,0.21746922,0.15452623,0.22658577,0.14000814
10.0,0.27203361,0.25190206,0.23319892,0.39013845,0.40847923,0.2971452,0.39146088,0.29893627
11.0,0.41773915,0.33437982,0.34509568,0.53784339,0.55648487,0.45981818,0.54539429,0.43756967
12.0,0.54294075,0.43660993,0.44744028,0.64297405,0.67773001,0.5611561,0.64707558,0.56159219
13.0,0.58631072,0.51057844,0.46914704,0.71002855,0.72172088,0.59107208,0.69961158,0.59378928
14.0,0.60333294,0.56071928,0.50477554,0.70938442,0.71673732,0.60444731,0.72020448,0.60806861
15.0,0.55135902,0.50411232,0.52648068,0.67407312,0.68103077,0.56745783,0.6747518,0.58747555
16.0,0.4617057,0.43467848,0.43047667,0.58286921,0.58248066,0.49385469,0.57901491,0.49314047
17.0,0.28185394,0.30720755,0.33593375,0.44177819,0.43008693,0.37255082,0.42569225,0.34470933
18.0,0.13182955,0.14460709,0.1489577,0.26468986,0.27465796,0.22761456,0.26006763,0.15536393
19.0,0.01108787,0.01960012,0.02662886,0.09502971,0.09477379,0.06054329,0.09174095,0.02215771
20.0,-0.0,-0.0,0.00057156,0.00880087,0.00709253,0.00125281,0.00859643,8.315e-5
21.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
22.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
23.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
