x1,x2,x3,x4,x5,x6,x7,x8,x9
1.0,0.48874766,0.69028394,0.61872036,0.46833673,0.77677391,0.46103333,0.48295667,0.45142625
2.0,0.48155929,0.65595576,0.61419279,0.36637236,0.71546957,0.37659094,0.42427607,0.43517073
3.0,0.46789858,0.6482503,0.61122234,0.31445273,0.62339217,0.35364991,0.33829417,0.39716531
4.0,0.43362255,0.62858242,0.57334162,0.26352582,0.55421362,0.30185419,0.28576298,0.34488542
5.0,0.40892482,0.52749091,0.55483946,0.20684448,0.52588812,0.27343368,0.25039238,0.33106594
6.0,0.40396695,0.53656955,0.5618164,0.19692873,0.4610858,0.26278923,0.19125298,0.3054349
7.0,0.4042139,0.50233167,0.51293027,0.16713733,0.41476841,0.25153248,0.18251179,0.28097229
8.0,0.37426652,0.47423864,0.50702847,0.08312194,0.34587623,0.20911197,0.11244298,0.27673187
9.0,0.30044652,0.45755636,0.53086018,0.0713017,0.33375768,0.17968701,0.10051036,0.22711042
10.0,0.22142681,0.43814515,0.57068306,0.08961285,0.34697681,0.12519145,0.10426976,0.1535049
11.0,0.18117915,0.45560303,0.54305459,0.08973164,0.39046116,0.12843915,0.11356452,0.11704667
12.0,0.1538139,0.49767455,0.59888595,0.11343261,0.39478493,0.12766274,0.11872786,0.12342417
13.0,0.13964227,0.53336333,0.61647982,0.11031697,0.43974319,0.14639436,0.10602655,0.13395958
14.0,0.13141915,0.58466576,0.65630811,0.11050339,0.50434754,0.17679385,0.13634476,0.15043094
15.0,0.13808369,0.54550439,0.63116577,0.14640352,0.52887159,0.21472427,0.13657821,0.16242344
16.0,0.14053418,0.55974606,0.6690764,0.19708497,0.48956464,0.26715128,0.20397833,0.18998021
17.0,0.15152823,0.55318561,0.65806234,0.26048558,0.61887333,0.25837436,0.27002214,0.18881
18.0,0.16845348,0.561315,0.64447874,0.29218073,0.73179478,0.26106906,0.28822238,0.21357708
19.0,0.23841674,0.59419136,0.65773369,0.33911224,0.80672609,0.3119094,0.37823286,0.26175177
20.0,0.3418078,0.64582712,0.71173081,0.46111527,0.88788203,0.35460154,0.44631702,0.37096667
21.0,0.33935546,0.69453591,0.72787261,0.5644417,0.93359826,0.51173094,0.56857583,0.48741177
22.0,0.34133305,0.68327333,0.72688991,0.67166376,0.88501072,0.60156957,0.63626917,0.50504188
23.0,0.38908823,0.72811197,0.75329135,0.63923527,0.81066261,0.58736974,0.65278679,0.54173563
24.0,0.34903291,0.67417242,0.69602,0.59120073,0.74903797,0.57465658,0.56430869,0.52201604
