x1,x2,x3,x4,x5,x6,x7,x8,x9
1.0,9771.55427381,9857.25060401,9909.63846784,12732.06793133,11917.15752237,10062.4041938,12827.01480462,9737.26400352
2.0,9311.80513161,9365.7897804,9356.42677379,12048.26904448,11261.52106253,9561.35930094,12131.63035145,9246.60333133
3.0,9052.83429923,9051.7662556,9031.68018777,11592.0989956,10806.06308761,9240.70853826,11639.26033455,8960.30477076
4.0,8931.30351757,8866.94782509,8849.39087145,11329.8758009,10531.76521313,9066.10989732,11355.63264758,8813.46436689
5.0,8972.36590121,8824.6636761,8834.70424459,11320.4638806,10494.00237187,9094.07452465,11323.04320827,8827.67662315
6.0,9294.94778263,9012.3164179,9081.24031678,11698.02027778,10822.57035204,9480.64068533,11647.46164554,9120.51718914
7.0,10015.91729275,9487.05778956,9663.95223576,12192.82540828,11292.43393537,10162.91821903,12078.86328365,9734.77135739
8.0,10733.47002394,9942.36049921,10295.103429,12383.9566491,11505.24330753,10477.04957924,12265.73010306,10243.19500484
9.0,10930.83007221,10137.69806534,10600.41891246,13108.72041219,12237.9710318,10750.65208654,13021.30800956,10431.51266993
10.0,11107.23440362,10496.46490672,10933.93665653,14176.44967448,13237.02478583,11246.43181331,14110.04562324,10752.77046275
11.0,11366.87555003,10959.60591764,11370.35885289,15276.48488315,14268.50114284,11780.35584315,15235.56169497,11131.47672384
12.0,11562.06144006,11346.80422259,11731.91684912,16228.94283318,15170.48895692,12227.66155535,16232.7051264,11465.85870155
13.0,11665.95819388,11631.20335877,11964.2963968,16973.97040382,15889.56534876,12593.17095847,17005.2488807,11709.8274093
14.0,11720.97290779,11831.72491679,12118.59664434,17622.40650946,16480.83419148,12954.70231569,17666.97960838,11912.26236364
15.0,11757.50925335,11992.26066244,12234.5805418,18087.87983912,16885.16532979,13243.69075034,18172.16310165,12089.5097627
16.0,11749.40088851,12074.03227153,12260.57034951,18424.31443616,17166.16898114,13476.23025253,18496.95092657,12207.24591236
17.0,11718.78791327,12091.87356171,12225.05648216,18508.90218401,17201.2003692,13582.41772752,18570.48322927,12243.9050163
18.0,11622.07466655,11983.96324134,12106.8939189,18248.73422232,16915.73926333,13447.29408697,18333.14621343,12133.3026802
19.0,11715.97271519,11950.67573476,12078.72042055,17597.15947736,16233.23463029,13073.55350601,17686.46223639,12089.05367828
20.0,12034.93651866,12158.27057255,12319.97159924,16962.94296254,15579.00331479,12913.44185953,17029.31408162,12265.5358324
21.0,11937.10602489,12082.87457891,12312.50796788,16623.33914714,15356.21695795,12913.06624819,16700.55711233,12163.99730953
22.0,11611.7224299,11732.97357232,12021.15725456,16011.20620683,14833.94997834,12446.94871062,16116.67458108,11793.30759665
23.0,11055.01195566,11168.48737541,11515.58706791,14951.8545909,13874.8725832,11652.30586496,15060.58700847,11176.70047501
24.0,10332.11603547,10420.06711034,10834.43096032,13818.99970169,12808.91743674,10733.42002784,13918.43186154,10408.39614349
