x1,x2,x3,x4,x5,x6,x7,x8,x9
1.0,4217.38701804,4046.97754045,4167.51026664,4777.12127163,4605.26690718,3973.08342683,4793.68138432,4128.69294474
2.0,4114.83220358,3928.63308291,4053.31775434,4574.61084478,4414.02348348,3855.26039837,4590.54123005,4024.97444753
3.0,4076.438128,3859.52115231,3996.53656892,4433.34815235,4281.53496175,3795.2549531,4445.68309144,3972.3056576
4.0,4072.80893848,3827.6087806,3974.51552822,4337.70442264,4191.30302944,3772.13725743,4348.62264949,3954.33763823
5.0,4106.91515991,3833.25049467,3990.00808596,4290.91225834,4148.77013354,3784.02805141,4296.70422773,3972.27500836
6.0,4193.45524207,3888.5724942,4054.70776283,4325.06382933,4178.38581068,3865.39448921,4320.41808407,4046.75572318
7.0,4398.73195939,4037.14440547,4224.61035461,4454.35175415,4294.78698327,4064.43674181,4428.0521251,4231.59158387
8.0,4662.34412935,4220.5099681,4451.04208565,4535.25615845,4352.66192628,4217.21038244,4495.83802344,4436.30180309
9.0,4771.12257214,4314.58680488,4577.97112037,4715.33616808,4503.93368952,4279.60762694,4683.09115017,4523.89251032
10.0,4744.27297176,4362.37743899,4616.57209739,4978.02213109,4721.66997657,4343.67682673,4956.33129319,4545.64363245
11.0,4700.28409592,4413.47052952,4658.35635707,5266.8876587,4955.56604038,4404.66287295,5256.81695683,4553.1656121
12.0,4646.73141113,4441.46416383,4677.54649361,5555.33580763,5191.76273229,4447.4985903,5559.88059623,4544.01012707
13.0,4575.19769137,4450.81119492,4672.82725116,5809.61241195,5410.73775144,4473.65795903,5824.9354216,4522.34720989
14.0,4518.23896063,4462.2388556,4671.25947886,6065.21499568,5651.24827233,4530.24953072,6085.91874094,4520.87448813
15.0,4491.4119377,4487.36894132,4683.0736913,6260.76944599,5857.28770662,4591.92231846,6288.96684405,4533.38245363
16.0,4473.19892599,4505.95696876,4687.49841641,6398.1759298,6029.31841082,4654.67016742,6442.39048326,4552.07870649
17.0,4473.98607213,4530.19473267,4699.23433136,6468.24301907,6140.8315808,4710.3904823,6524.32535326,4581.21847308
18.0,4472.17095107,4539.94666432,4697.13739839,6402.95950204,6120.3245205,4702.21885342,6469.22189352,4583.97092409
19.0,4492.35133357,4547.01188235,4696.66788997,6275.53995475,5996.62594593,4663.69099507,6340.85671635,4582.10086211
20.0,4647.01520437,4641.18247754,4779.58143088,6094.10090295,5804.51120428,4622.61150717,6153.50245551,4666.39065766
21.0,4687.93465128,4680.73806328,4811.21111656,5904.76790223,5628.12493667,4654.80932717,5950.57398248,4684.03355603
22.0,4643.59159196,4615.48484162,4757.61278399,5746.10935355,5498.79316113,4581.89042189,5790.87822678,4617.03718584
23.0,4524.54353335,4479.94003757,4627.97588066,5423.78411074,5203.7850121,4383.23775126,5466.2539747,4469.82554073
24.0,4341.85559609,4280.33379675,4428.99059972,5066.32645273,4870.8214038,4132.46155549,5102.90884719,4265.86345989
