x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,-0.0,-0.0,0.83636364,-0.0,0.92,0.30769231,0.90625,0.17391304,0.73684211
2.0,-0.0,-0.0,0.81818182,-0.0,0.92,0.30769231,0.90625,0.17391304,0.78947368
3.0,-0.0,-0.0,0.83636364,-0.0,0.9,0.33333333,0.9375,0.17391304,0.73684211
4.0,-0.0,-0.0,0.8,-0.0,0.9,0.20512821,0.90625,0.17391304,0.73684211
5.0,-0.0,-0.0,0.8,-0.0,0.92,0.23076923,0.875,0.17391304,0.68421053
6.0,-0.0,-0.0,0.8,-0.0,0.92,0.23076923,0.875,0.2173913,0.78947368
7.0,-0.0,-0.0,0.78181818,-0.0,0.9,0.23076923,0.84375,0.2173913,0.84210526
8.0,-0.0,-0.0,0.78181818,-0.0,0.92,0.23076923,0.84375,0.2173913,0.84210526
9.0,-0.0,-0.0,0.70909091,-0.0,0.88,0.25641026,0.84375,0.2173913,0.84210526
10.0,-0.0,-0.0,0.74545455,-0.0,0.86,0.23076923,0.84375,0.17391304,0.84210526
11.0,-0.0,-0.0,0.8,-0.0,0.74,0.23076923,0.84375,0.17391304,0.73684211
12.0,-0.0,-0.0,0.74545455,-0.0,0.48,0.17948718,0.71875,0.2173913,0.47368421
13.0,-0.0,-0.0,0.63636364,-0.0,0.38,0.07692308,0.5625,0.13043478,0.36842105
14.0,-0.0,-0.0,0.30909091,-0.0,0.36,0.02564103,0.40625,0.04347826,0.26315789
15.0,-0.0,0.06521739,-0.0,0.08888889,0.22,-0.0,0.09375,-0.0,0.10526316
16.0,0.26785714,0.30434783,-0.0,0.28888889,-0.0,-0.0,-0.0,0.04347826,-0.0
17.0,0.53571429,0.32608696,-0.0,0.31111111,-0.0,-0.0,-0.0,0.08695652,-0.0
18.0,0.73214286,0.5,-0.0,0.31111111,-0.0,-0.0,-0.0,0.17391304,-0.0
19.0,0.78571429,0.58695652,-0.0,0.37777778,-0.0,0.05128205,-0.0,0.30434783,-0.0
20.0,0.78571429,0.65217391,-0.0,0.48888889,-0.0,0.20512821,-0.0,0.43478261,-0.0
21.0,0.78571429,0.84782609,-0.0,0.75555556,-0.0,0.20512821,-0.0,0.43478261,-0.0
22.0,0.80357143,0.84782609,-0.0,0.82222222,-0.0,0.28205128,-0.0,0.43478261,-0.0
23.0,0.82142857,0.86956522,-0.0,0.88888889,-0.0,0.28205128,-0.0,0.52173913,-0.0
24.0,0.82142857,0.89130435,-0.0,0.88888889,-0.0,0.30769231,-0.0,0.56521739,-0.0
