x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,0.47652119,0.51233464,0.49076048,0.62400874,0.43999253,0.47887556,0.41325292,0.78321971,0.87047579
2.0,0.37542524,0.50081899,0.42860509,0.59853007,0.4109156,0.39634684,0.40300083,0.71759333,0.90271509
3.0,0.32312321,0.47774594,0.35383661,0.60406593,0.35666493,0.37340581,0.36029646,0.62564116,0.94143649
4.0,0.27382,0.44837087,0.29095867,0.57500252,0.308422,0.32316308,0.31906021,0.55436841,0.92202035
5.0,0.21268583,0.43128899,0.25251515,0.46593481,0.27733533,0.2957253,0.32990562,0.54307826,0.90795649
6.0,0.19680714,0.43031565,0.19952824,0.47573926,0.24813573,0.28230137,0.31810375,0.48751391,0.91151719
7.0,0.1711556,0.42365319,0.19230873,0.4446397,0.20257147,0.27275744,0.29842083,0.44766435,0.87124
8.0,0.0854981,0.39523623,0.10998424,0.41768,0.20652707,0.2277588,0.31419771,0.37907681,0.84796947
9.0,0.07255095,0.30857449,0.10832194,0.41782948,0.18226987,0.19900103,0.25769646,0.36436551,0.8498007
10.0,0.09140762,0.23445,0.11666303,0.39194415,0.1544116,0.1413841,0.17023896,0.39793797,0.86650105
11.0,0.09065179,0.19204768,0.13116073,0.40458267,0.1244432,0.1461535,0.13033562,0.45012203,0.8239
12.0,0.11436583,0.16126913,0.13575309,0.44973363,0.1563352,0.14632513,0.11763729,0.44925507,0.8938586
13.0,0.11322571,0.13509362,0.1266863,0.49845704,0.1911092,0.16235402,0.12051688,0.48377942,0.86414421
14.0,0.10853012,0.12506275,0.15993685,0.54931052,0.24610467,0.19274068,0.14352167,0.56461014,0.80389474
15.0,0.14514857,0.12230797,0.158704,0.52666563,0.26382547,0.22516701,0.13420646,0.57432754,0.77995474
16.0,0.19530298,0.11211261,0.22659527,0.54839674,0.3166832,0.28127162,0.13850917,0.54656406,0.79200421
17.0,0.25922905,0.12961899,0.26385794,0.5395997,0.32281547,0.26730154,0.18202042,0.66452029,0.77395509
18.0,0.29082369,0.14543986,0.30250945,0.55238415,0.36501947,0.26615316,0.14729062,0.78014551,0.71546982
19.0,0.34349393,0.20131652,0.39958327,0.60110919,0.4402776,0.31791265,0.17247292,0.82942957,0.6556814
20.0,0.46154274,0.30128058,0.4696817,0.66234578,0.5461612,0.3549653,0.27223542,0.90563333,0.69089193
21.0,0.57043381,0.3183558,0.59050655,0.68763156,0.64207987,0.51252479,0.36063271,0.92722145,0.73584175
22.0,0.67574119,0.3282713,0.65534145,0.68960726,0.67379573,0.59083043,0.36247917,0.85540377,0.72049684
23.0,0.6404394,0.37498841,0.67752182,0.72293363,0.72173307,0.57813607,0.38813292,0.82486551,0.69461509
24.0,0.59409595,0.35624232,0.58169321,0.66003541,0.6557656,0.55796051,0.39276562,0.75396551,0.69352737
