x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,0.0,0.0,0.87272727,0.0,0.98,0.12820513,0.96875,0.17391304,0.89473684
2.0,0.0,0.0,0.90909091,0.0,0.98,0.15384615,1.0,0.17391304,0.89473684
3.0,0.0,0.0,0.85454545,0.0,0.98,0.12820513,1.0,0.13043478,0.94736842
4.0,0.0,0.0,0.89090909,0.0,0.98,0.15384615,0.96875,0.13043478,1.0
5.0,0.0,0.0,0.90909091,0.0,0.98,0.15384615,0.96875,0.17391304,1.0
6.0,0.0,0.0,0.87272727,0.0,0.98,0.15384615,0.96875,0.17391304,1.0
7.0,0.0,0.0,0.90909091,0.0,0.98,0.1025641,0.96875,0.17391304,1.0
8.0,0.0,0.0,0.90909091,0.0,1.0,0.15384615,1.0,0.2173913,1.0
9.0,0.0,0.0,0.85454545,0.0,1.0,0.20512821,1.0,0.17391304,1.0
10.0,0.0,0.0,0.8,0.0,0.96,0.12820513,0.96875,0.17391304,0.89473684
11.0,0.0,0.0,0.78181818,0.0,0.94,0.12820513,0.9375,0.17391304,0.89473684
12.0,0.0,0.0,0.8,0.0,0.74,0.12820513,0.78125,0.17391304,0.63157895
13.0,0.0,0.0,0.72727273,0.0,0.46,0.1025641,0.59375,0.08695652,0.36842105
14.0,0.0,0.0,0.2,0.0,0.38,0.0,0.46875,0.0,0.36842105
15.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0625,0.0,0.05263158
16.0,0.125,0.36956522,0.0,0.26666667,0.0,0.0,0.0,0.08695652,0.0
17.0,0.55357143,0.54347826,0.0,0.37777778,0.0,0.02564103,0.0,0.13043478,0.0
18.0,0.82142857,0.58695652,0.0,0.37777778,0.0,0.02564103,0.0,0.30434783,0.0
19.0,0.89285714,0.65217391,0.0,0.62222222,0.0,0.17948718,0.0,0.43478261,0.0
20.0,0.875,0.86956522,0.0,0.84444444,0.0,0.23076923,0.0,0.56521739,0.0
21.0,0.875,0.89130435,0.0,0.86666667,0.0,0.20512821,0.0,0.56521739,0.0
22.0,0.85714286,0.89130435,0.0,0.86666667,0.0,0.23076923,0.0,0.56521739,0.0
23.0,0.85714286,0.91304348,0.0,0.91111111,0.0,0.28205128,0.0,0.56521739,0.0
24.0,0.85714286,0.97826087,0.0,0.91111111,0.0,0.25641026,0.0,0.60869565,0.0
