x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,0.81490369,0.65422319,0.76186412,0.87651452,0.81387987,0.60078188,0.48195667,0.95241275,0.93488702
2.0,0.76873298,0.61647855,0.75564861,0.872808,0.8454,0.57601675,0.48598625,0.95104928,0.9172593
3.0,0.72941071,0.62927551,0.77757927,0.90432296,0.85134733,0.55902,0.45581146,0.95809507,0.83879965
4.0,0.70029905,0.58776942,0.76181333,0.84907215,0.85730053,0.53953812,0.41224938,0.94905043,0.80723614
5.0,0.69099679,0.58453826,0.75720958,0.8997123,0.84044787,0.54364222,0.39826396,0.93428174,0.81148035
6.0,0.69145214,0.52829565,0.75365115,0.88028089,0.84637493,0.53323333,0.39842958,0.92654551,0.75327474
7.0,0.707545,0.50258565,0.75248012,0.87260681,0.85220493,0.51313145,0.41251333,0.85896638,0.72432105
8.0,0.61322524,0.47298986,0.65177903,0.86975704,0.8315468,0.46650342,0.40338104,0.90479043,0.6366593
9.0,0.40044679,0.43979928,0.46014461,0.884896,0.79697453,0.34359487,0.31045771,0.71783217,0.68116596
10.0,0.3098444,0.29817696,0.33727006,0.75015081,0.6891752,0.20748017,0.17053646,0.60958058,0.55711018
11.0,0.24863607,0.16537754,0.31855248,0.59728696,0.54186213,0.18791761,0.10841229,0.6085113,0.46667404
12.0,0.22840667,0.12433522,0.26976436,0.54487778,0.49725053,0.19868769,0.09723917,0.55455884,0.41643719
13.0,0.20740226,0.13111319,0.212412,0.54805067,0.5012164,0.23841795,0.13504042,0.49980522,0.36621193
14.0,0.22212702,0.14341478,0.20753939,0.56505926,0.502112,0.23604769,0.15232667,0.47038145,0.33707158
15.0,0.23781881,0.17444087,0.21056327,0.56047081,0.51763147,0.25097316,0.15745937,0.46708029,0.34007474
16.0,0.23300393,0.18177493,0.24777806,0.57858281,0.539314,0.27168752,0.16167167,0.47726435,0.34827298
17.0,0.28849036,0.1950887,0.2862903,0.58803807,0.5307996,0.30069043,0.18151792,0.48881217,0.35714842
18.0,0.34789476,0.21992275,0.28785248,0.60227393,0.53893027,0.31459333,0.20712646,0.53085159,0.39124807
19.0,0.43174024,0.30413362,0.37852691,0.68076089,0.62638613,0.37496752,0.33082792,0.65423275,0.42642316
20.0,0.53723048,0.42755565,0.49259976,0.69364963,0.68237493,0.47139333,0.40878042,0.74635913,0.46992175
21.0,0.60884429,0.51493217,0.6729983,0.71643822,0.77605613,0.52586786,0.60335104,0.81326435,0.43766351
22.0,0.65053571,0.61635986,0.73309442,0.78786785,0.82712507,0.55414137,0.63378521,0.94891652,0.49375088
23.0,0.70882262,0.6443858,0.81681564,0.80024178,0.8461256,0.55160308,0.64693938,0.90437797,0.51093649
24.0,0.77014595,0.68618899,0.84838012,0.82411274,0.88406893,0.60720103,0.67791604,0.94028986,0.53729474
