x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,12730.73655905,9850.28403013,12894.09984356,9783.77805986,9711.50962241,10002.26997207,10017.26649485,11719.57048329,9825.37226692
2.0,12048.13294147,9382.98196617,12193.98253178,9299.31390695,9224.17605395,9504.26010445,9508.51332513,11074.24395667,9228.85922393
3.0,11591.77934742,9115.76560243,11698.12026999,8996.28007935,8937.08513028,9185.21679033,9205.46657162,10626.68079316,8890.70145407
4.0,11330.04346439,8984.69207278,11411.64761179,8823.99220546,8798.99809996,9012.095197,9041.37897531,10352.56838855,8680.01471008
5.0,11321.97751606,9016.1201605,11380.60813269,8793.46142695,8826.92064769,9041.88968408,9047.53712604,10299.38783851,8620.5439985
6.0,11699.52497057,9326.02116067,11706.52860602,8996.32364794,9140.24749592,9430.12199098,9348.82031448,10599.65782906,8780.57949698
7.0,12194.65741006,10008.37670503,12131.88803357,9516.22072785,9814.32700653,10116.23550267,9957.23932812,11037.96274178,9228.81752664
8.0,12389.90402705,10646.76054148,12326.80039591,10053.62750986,10429.45387476,10439.80241475,10402.2003357,11228.41255832,9785.39651423
9.0,13118.09874769,10850.70962974,13106.88648436,10238.40139829,10618.87550885,10702.61847194,10636.9742804,11943.25044723,10093.93945834
10.0,14185.69233612,11080.4717983,14224.75755653,10539.09160319,10860.5570675,11189.27929331,11028.79745564,12910.89543833,10502.31662058
11.0,15286.84494279,11384.80676901,15371.25656758,10951.17715608,11219.23310292,11715.23488601,11457.74631626,13914.41619609,10951.01815937
12.0,16241.22974857,11622.35046866,16375.55024381,11294.69428293,11561.3122054,12147.67639745,11829.85932845,14786.43265676,11288.08475571
13.0,16989.02002161,11772.07471836,17152.74230687,11529.6961685,11803.86288249,12496.19382436,12118.81149312,15489.18188434,11468.49034722
14.0,17639.99459226,11864.53842449,17805.22787818,11688.50968725,12014.73150736,12844.62557549,12373.99376474,16079.04742675,11515.18341613
15.0,18107.21012962,11916.351643,18304.94954503,11825.23415575,12191.60053089,13127.5350119,12603.53162878,16481.64160909,11526.28471821
16.0,18445.69136349,11927.66643397,18613.32512677,11881.59697807,12294.91307329,13353.8620352,12775.86458048,16756.90267282,11480.35241736
17.0,18529.92952847,11910.65527104,18664.77689597,11876.1715848,12333.43415285,13463.20976461,12836.81321787,16789.36056801,11411.27416804
18.0,18267.23953758,11805.58855614,18422.78400545,11763.60870725,12222.10265133,13345.51326536,12708.86171279,16504.79500386,11334.17744633
19.0,17613.69189037,11861.78988793,17772.31322634,11767.37421601,12161.77611735,12988.46586275,12584.55547824,15837.60346551,11472.81069675
20.0,16976.82338049,12140.28228476,17101.03402508,12020.01672682,12352.50787586,12844.71338507,12651.03905095,15206.42741534,11906.36367367
21.0,16636.9076906,12033.9832855,16767.04164554,11935.43392049,12278.24320702,12864.40106876,12530.82305642,15027.09445872,11911.64848617
22.0,16025.85517607,11685.77964491,16189.50884646,11600.11610235,11914.61766396,12413.19528161,12136.21308032,14519.30992449,11670.93960118
23.0,14962.90195026,11098.64596738,15133.7339694,11064.66061809,11310.40808369,11630.34591574,11478.25403447,13604.55223128,11244.91506855
24.0,13826.19948984,10353.95648501,13988.5781899,10342.87074749,10541.07043834,10717.575322,10690.06005323,12574.00292122,10637.69752724
