Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,737407,-,-,-,29.73,-95.22,-6,6,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2017,1,1,0,0,0,0,0,0,0,0,8,15,171.31,0,0.148,1.1,3.65,214.8,100.0,15,1010.0
2017,1,1,0,30,0,0,0,0,0,0,8,15,173.13,0,0.148,1.0,3.6310000000000002,214.8,100.0,15,1010.0
2017,1,1,1,0,0,0,0,0,0,0,8,15,169.56,0,0.148,1.0,3.612,218.20000000000002,100.0,15,1010.0
2017,1,1,1,30,0,0,0,0,0,0,1,15,163.86,0,0.148,0.9,3.596,218.20000000000002,100.0,15,1010.0
2017,1,1,2,0,0,0,0,0,0,0,3,15,157.61,0,0.148,0.9,3.58,222.9,100.0,15,1010.0
2017,1,1,2,30,0,0,0,0,0,0,8,15,151.17000000000002,0,0.148,0.8,3.5580000000000003,222.9,100.0,15,1010.0
2017,1,1,3,0,0,0,0,0,0,0,8,15,144.68,0,0.148,0.8,3.536,227.20000000000002,100.0,15,1010.0
2017,1,1,3,30,0,0,0,0,0,0,8,15,138.17000000000002,0,0.148,0.7000000000000001,3.501,227.20000000000002,100.0,15,1010.0
2017,1,1,4,0,0,0,0,0,0,0,8,15,131.67000000000002,0,0.148,0.6000000000000001,3.466,220.20000000000002,100.0,16,1000.0
2017,1,1,4,30,0,0,0,0,0,0,8,15,125.21000000000001,0,0.148,0.5,3.423,220.20000000000002,100.0,16,1000.0
2017,1,1,5,0,0,0,0,0,0,0,8,15,118.8,0,0.148,0.4,3.38,187.8,99.67,16,1010.0
2017,1,1,5,30,0,0,0,0,0,0,8,15,112.45,0,0.148,0.4,3.345,187.8,99.69,16,1010.0
2017,1,1,6,0,0,0,0,0,0,0,8,15,106.19,0,0.148,0.5,3.311,124.5,99.68,16,1010.0
2017,1,1,6,30,0,0,0,0,0,0,8,15,100.04,0,0.148,0.6000000000000001,3.3000000000000003,124.5,99.71000000000001,16,1010.0
2017,1,1,7,0,0,0,0,0,0,0,8,15,94.03,0,0.148,0.7000000000000001,3.289,108.0,99.7,16,1010.0
2017,1,1,7,30,0,0,0,14,43,15,8,15,88.17,4,0.148,0.7000000000000001,3.31,108.0,99.73,16,1010.0
2017,1,1,8,0,1,0,1,50,245,82,8,16,82.53,4,0.148,0.7000000000000001,3.331,108.7,99.84,17,1010.0
2017,1,1,8,30,3,0,3,75,411,167,8,16,77.13,4,0.148,0.9,3.354,108.7,99.87,17,1010.0
2017,1,1,9,0,5,0,5,97,505,252,6,17,72.04,0,0.148,1.1,3.3770000000000002,104.5,98.67,18,1010.0
2017,1,1,9,30,76,0,76,110,585,336,6,17,67.34,0,0.148,1.1,3.376,104.5,98.67,19,1010.0
2017,1,1,10,0,90,0,90,122,637,411,6,18,63.1,0,0.148,1.1,3.375,122.7,97.83,20,1010.0
2017,1,1,10,30,222,71,258,130,679,475,6,18,59.44,0,0.148,1.2000000000000002,3.365,122.7,97.81,20,1010.0
2017,1,1,11,0,256,170,351,134,711,527,8,18,56.46,0,0.148,1.4000000000000001,3.356,141.8,93.65,20,1010.0
2017,1,1,11,30,239,393,469,138,730,564,8,18,54.28,0,0.148,1.6,3.344,141.8,93.60000000000001,20,1010.0
2017,1,1,12,0,246,404,490,149,719,582,8,19,53.0,0,0.148,1.8,3.333,159.5,90.51,21,1010.0
2017,1,1,12,30,260,358,477,150,722,588,8,19,52.68,0,0.148,1.9000000000000001,3.299,159.5,90.46000000000001,21,1010.0
2017,1,1,13,0,261,332,459,141,735,580,8,19,53.34,0,0.148,2.1,3.266,169.60000000000002,92.43,21,1010.0
2017,1,1,13,30,196,526,499,138,722,554,8,19,54.95,0,0.148,2.2,3.222,169.60000000000002,92.4,21,1000.0
2017,1,1,14,0,181,524,463,125,726,516,8,19,57.42,0,0.148,2.3000000000000003,3.178,168.9,93.91,21,1000.0
2017,1,1,14,30,192,379,378,119,696,460,8,19,60.65,0,0.148,2.3000000000000003,3.1470000000000002,168.9,93.88,21,1000.0
2017,1,1,15,0,186,96,228,98,695,397,6,20,64.53,0,0.148,2.3000000000000003,3.116,164.60000000000002,94.83,21,1000.0
2017,1,1,15,30,152,84,182,89,635,317,6,20,68.94,4,0.148,2.0,3.105,164.60000000000002,94.83,21,1000.0
2017,1,1,16,0,113,66,132,79,539,229,8,20,73.79,4,0.148,1.9000000000000001,3.094,162.70000000000002,95.54,21,1000.0
2017,1,1,16,30,72,42,80,61,413,140,8,19,78.99,4,0.148,1.7000000000000002,3.072,162.70000000000002,100.0,19,1000.0
2017,1,1,17,0,32,0,32,37,208,57,8,18,84.48,4,0.148,1.6,3.051,157.5,100.0,18,1000.0
2017,1,1,17,30,0,0,0,0,0,0,8,18,90.2,0,0.148,1.7000000000000002,3.021,157.5,100.0,18,1000.0
