Year,Month,Day,Hour,Minute,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s)
2012,1,1,0,0,1.899,212.388,10.604
2012,1,1,0,5,1.864,211.878,10.314
2012,1,1,0,10,1.682,211.676,9.499
2012,1,1,0,15,1.319,213.161,8.407
2012,1,1,0,20,0.883,217.541,7.257
2012,1,1,0,25,0.597,225.132,6.363
2012,1,1,0,30,0.48,233.193,5.951
2012,1,1,0,35,0.501,236.443,6.043
2012,1,1,0,40,0.608,235.992,6.397
2012,1,1,0,45,0.743,235.437,6.846
2012,1,1,0,50,0.905,234.284,7.312
2012,1,1,0,55,1.003,233.45,7.572
2012,1,1,1,0,1.069,233.521,7.743
2012,1,1,1,5,1.135,234.531,7.917
2012,1,1,1,10,1.268,234.613,8.268
2012,1,1,1,15,1.431,234.277,8.701
2012,1,1,1,20,1.574,233.349,9.085
2012,1,1,1,25,1.702,231.112,9.574
2012,1,1,1,30,1.802,227.575,9.952
2012,1,1,1,35,1.787,223.148,9.897
2012,1,1,1,40,1.641,219.937,9.341
2012,1,1,1,45,1.205,222.16,8.102
2012,1,1,1,50,0.681,230.654,6.64
2012,1,1,1,55,0.417,244.029,5.679
2012,1,1,2,0,0.347,257.792,5.371
2012,1,1,2,5,0.327,264.526,5.285
2012,1,1,2,10,0.331,263.905,5.301
2012,1,1,2,15,0.375,261.465,5.49
2012,1,1,2,20,0.45,257.806,5.82
2012,1,1,2,25,0.529,254.29,6.134
2012,1,1,2,30,0.574,254.554,6.281
2012,1,1,2,35,0.599,258.048,6.363
2012,1,1,2,40,0.664,260.761,6.577
2012,1,1,2,45,0.768,259.773,6.921
2012,1,1,2,50,0.836,256.917,7.126
2012,1,1,2,55,0.885,259.317,7.254
2012,1,1,3,0,0.895,263.04,7.281
2012,1,1,3,5,0.894,263.002,7.281
2012,1,1,3,10,1.096,262.038,7.809
2012,1,1,3,15,0.918,267.531,7.342
2012,1,1,3,20,0.949,265.055,7.425
2012,1,1,3,25,0.903,251.49,7.303
2012,1,1,3,30,0.934,276.678,7.382
2012,1,1,3,35,1.097,280.192,7.809
2012,1,1,3,40,1.325,282.056,8.413
2012,1,1,3,45,1.561,284.272,9.039
2012,1,1,3,50,1.583,272.91,9.118
2012,1,1,3,55,1.696,288.455,9.543
2012,1,1,4,0,1.812,289.026,9.982
2012,1,1,4,5,1.449,296.675,8.737
2012,1,1,4,10,0.971,305.63,7.477
2012,1,1,4,15,1.124,300.177,7.873
2012,1,1,4,20,0.987,300.459,7.513
2012,1,1,4,25,1.508,305.182,8.89
2012,1,1,4,30,1.337,303.341,8.435
2012,1,1,4,35,1.31,301.77,8.362
2012,1,1,4,40,1.227,303.254,8.142
2012,1,1,4,45,1.343,314.272,8.447
2012,1,1,4,50,1.249,318.738,8.194
2012,1,1,4,55,1.306,320.629,8.343
2012,1,1,5,0,1.56,323.601,9.012
2012,1,1,5,5,1.679,324.683,9.448
2012,1,1,5,10,1.688,326.21,9.475
2012,1,1,5,15,1.676,327.276,9.427
2012,1,1,5,20,1.726,331.017,9.613
2012,1,1,5,25,1.784,336.506,9.827
2012,1,1,5,30,1.827,345.251,9.988
2012,1,1,5,35,1.945,352.551,10.901
2012,1,1,5,40,1.973,354.429,11.361
2012,1,1,5,45,1.969,355.264,11.276
2012,1,1,5,50,1.975,354.694,11.398
2012,1,1,5,55,2,358.17,12.054
2012,1,1,6,0,2,359.983,12.365
2012,1,1,6,5,2,1.994,12.524
2012,1,1,6,10,2,3.081,12.271
2012,1,1,6,15,2,2.785,12.304
2012,1,1,6,20,2,2.373,12.692
2012,1,1,6,25,2,2.845,12.612
2012,1,1,6,30,2,3.466,12.325
2012,1,1,6,35,2,3.521,12.206
2012,1,1,6,40,2,3.114,12.118
2012,1,1,6,45,1.988,2.587,11.691
2012,1,1,6,50,1.972,2.537,11.297
2012,1,1,6,55,1.968,2.884,11.212
2012,1,1,7,0,1.973,2.499,11.315
2012,1,1,7,5,1.982,2.659,11.544
2012,1,1,7,10,1.99,3.466,11.749
2012,1,1,7,15,1.989,4.471,11.703
2012,1,1,7,20,1.983,5.037,11.551
2012,1,1,7,25,1.98,5.317,11.474
2012,1,1,7,30,1.975,5.614,11.355
2012,1,1,7,35,1.968,6.026,11.178
2012,1,1,7,40,1.969,6.454,11.212
2012,1,1,7,45,1.967,6.833,11.163
2012,1,1,7,50,1.961,7.031,11.02
2012,1,1,7,55,1.962,7.223,11.041
2012,1,1,8,0,1.963,7.701,11.053
2012,1,1,8,5,1.957,8.421,10.937
2012,1,1,8,10,1.952,9.129,10.901
2012,1,1,8,15,1.937,9.855,10.779
2012,1,1,8,20,1.94,10.096,10.803
2012,1,1,8,25,1.954,9.783,10.916
2012,1,1,8,30,1.962,9.761,11.035
2012,1,1,8,35,1.962,9.789,11.038
2012,1,1,8,40,1.962,9.909,11.029
2012,1,1,8,45,1.969,9.432,11.191
2012,1,1,8,50,1.974,8.536,11.322
2012,1,1,8,55,1.973,7.707,11.306
2012,1,1,9,0,1.962,7.734,11.026
2012,1,1,9,5,1.931,8.866,10.724
2012,1,1,9,10,1.91,9.799,10.556
2012,1,1,9,15,1.905,9.371,10.513
2012,1,1,9,20,1.901,8.712,10.483
2012,1,1,9,25,1.884,8.794,10.351
2012,1,1,9,30,1.867,9.509,10.211
2012,1,1,9,35,1.859,9.838,10.15
2012,1,1,9,40,1.864,9.349,10.187
2012,1,1,9,45,1.874,8.866,10.266
2012,1,1,9,50,1.873,8.437,10.266
2012,1,1,9,55,1.86,8.673,10.159
2012,1,1,10,0,1.844,9.53,10.034
2012,1,1,10,5,1.824,9.926,9.918
2012,1,1,10,10,1.806,9.327,9.851
2012,1,1,10,15,1.81,8.251,9.866
2012,1,1,10,20,1.785,7.465,9.772
2012,1,1,10,25,1.767,6.894,9.707
2012,1,1,10,30,1.759,6.498,9.677
2012,1,1,10,35,1.753,6.586,9.656
2012,1,1,10,40,1.729,7.097,9.564
2012,1,1,10,45,1.713,7.295,9.506
2012,1,1,10,50,1.711,6.746,9.5
2012,1,1,10,55,1.691,6.07,9.424
2012,1,1,11,0,1.661,6.097,9.314
2012,1,1,11,5,1.649,6.152,9.268
2012,1,1,11,10,1.669,5.471,9.344
2012,1,1,11,15,1.688,5.092,9.417
2012,1,1,11,20,1.683,5.713,9.399
2012,1,1,11,25,1.669,6.476,9.347
2012,1,1,11,30,1.645,6.674,9.259
2012,1,1,11,35,1.618,6.614,9.158
2012,1,1,11,40,1.59,6.553,9.054
2012,1,1,11,45,1.605,6.938,9.109
2012,1,1,11,50,1.622,7.108,9.173
2012,1,1,11,55,1.632,6.982,9.213
2012,1,1,12,0,1.62,6.938,9.17
2012,1,1,12,5,1.609,7.07,9.128
2012,1,1,12,10,1.654,6.707,9.298
2012,1,1,12,15,1.725,5.9,9.567
2012,1,1,12,20,1.768,5.608,9.729
2012,1,1,12,25,1.764,5.817,9.714
2012,1,1,12,30,1.722,6.136,9.558
2012,1,1,12,35,1.687,6.191,9.427
2012,1,1,12,40,1.716,5.51,9.537
2012,1,1,12,45,1.787,4.307,9.802
2012,1,1,12,50,1.84,3.433,10.028
2012,1,1,12,55,1.844,3.768,10.055
2012,1,1,13,0,1.784,4.845,9.793
2012,1,1,13,5,1.709,5.96,9.512
2012,1,1,13,10,1.712,5.933,9.524
2012,1,1,13,15,1.796,4.872,9.842
2012,1,1,13,20,1.847,3.993,10.086
2012,1,1,13,25,1.831,4.191,9.973
2012,1,1,13,30,1.78,5.026,9.781
2012,1,1,13,35,1.773,5.043,9.756
2012,1,1,13,40,1.792,4.449,9.827
2012,1,1,13,45,1.792,4.142,9.827
2012,1,1,13,50,1.783,4.197,9.793
2012,1,1,13,55,1.808,3.802,9.888
2012,1,1,14,0,1.853,3.192,10.135
2012,1,1,14,5,1.873,2.884,10.3
2012,1,1,14,10,1.871,3.098,10.278
2012,1,1,14,15,1.863,3.401,10.214
2012,1,1,14,20,1.863,3.274,10.217
2012,1,1,14,25,1.878,2.846,10.342
2012,1,1,14,30,1.901,2.428,10.525
2012,1,1,14,35,1.915,2.686,10.635
2012,1,1,14,40,1.904,3.477,10.553
2012,1,1,14,45,1.89,4.065,10.44
2012,1,1,14,50,1.896,3.719,10.482
2012,1,1,14,55,1.918,2.972,10.665
2012,1,1,15,0,1.935,2.686,10.8
2012,1,1,15,5,1.932,3.104,10.775
2012,1,1,15,10,1.93,3.735,10.757
2012,1,1,15,15,1.943,3.73,10.864
2012,1,1,15,20,1.961,3.17,11.053
2012,1,1,15,25,1.965,2.686,11.135
2012,1,1,15,30,1.96,2.62,11.031
2012,1,1,15,35,1.952,2.961,10.934
2012,1,1,15,40,1.953,3.016,10.943
2012,1,1,15,45,1.961,2.587,11.038
2012,1,1,15,50,1.963,2.159,11.105
2012,1,1,15,55,1.962,2.071,11.071
2012,1,1,16,0,1.959,2.367,10.998
2012,1,1,16,5,1.948,2.439,10.9
2012,1,1,16,10,1.94,2.175,10.836
2012,1,1,16,15,1.939,1.78,10.827
2012,1,1,16,20,1.951,1.549,10.921
2012,1,1,16,25,1.961,1.521,11.044
2012,1,1,16,30,1.965,1.598,11.126
2012,1,1,16,35,1.966,1.615,11.153
2012,1,1,16,40,1.965,1.686,11.132
2012,1,1,16,45,1.964,1.999,11.117
2012,1,1,16,50,1.963,2.351,11.083
2012,1,1,16,55,1.962,2.73,11.053
2012,1,1,17,0,1.956,3.142,10.958
2012,1,1,17,5,1.929,3.488,10.738
2012,1,1,17,10,1.917,3.565,10.635
2012,1,1,17,15,1.933,2.818,10.763
2012,1,1,17,20,1.956,2.038,10.949
2012,1,1,17,25,1.961,1.763,11.019
2012,1,1,17,30,1.943,2.236,10.842
2012,1,1,17,35,1.935,2.79,10.778
2012,1,1,17,40,1.918,2.708,10.644
2012,1,1,17,45,1.92,2.653,10.659
2012,1,1,17,50,1.912,2.784,10.592
2012,1,1,17,55,1.898,2.675,10.476
2012,1,1,18,0,1.896,1.653,10.454
2012,1,1,18,5,1.961,0.813,11.016
2012,1,1,18,10,1.981,0.319,11.51
2012,1,1,18,15,1.994,359.775,11.824
2012,1,1,18,20,1.987,358.895,11.648
2012,1,1,18,25,1.963,357.862,11.062
2012,1,1,18,30,1.854,357.406,10.113
2012,1,1,18,35,1.622,356.972,9.161
2012,1,1,18,40,1.495,356.291,8.768
2012,1,1,18,45,1.511,356.012,8.808
2012,1,1,18,50,1.632,356.424,9.192
2012,1,1,18,55,1.8,356.879,9.824
2012,1,1,19,0,1.893,357.258,10.419
2012,1,1,19,5,1.94,357.967,10.8
2012,1,1,19,10,1.969,358.439,11.2
2012,1,1,19,15,1.982,358.472,11.52
2012,1,1,19,20,1.994,358.566,11.816
2012,1,1,19,25,2,358.813,11.981
2012,1,1,19,30,2,359.093,12.268
2012,1,1,19,35,2,359.313,12.506
2012,1,1,19,40,2,359.934,12.359
2012,1,1,19,45,2,0.977,12.088
2012,1,1,19,50,1.998,1.57,11.899
2012,1,1,19,55,1.993,1.477,11.767
2012,1,1,20,0,1.982,1.274,11.496
2012,1,1,20,5,1.971,1.367,11.227
2012,1,1,20,10,1.966,1.647,11.099
2012,1,1,20,15,1.966,1.532,11.099
2012,1,1,20,20,1.949,1.312,10.849
2012,1,1,20,25,1.911,1.581,10.547
2012,1,1,20,30,1.913,2.125,10.562
2012,1,1,20,35,1.926,2.312,10.663
2012,1,1,20,40,1.929,2.131,10.687
2012,1,1,20,45,1.933,2.263,10.721
2012,1,1,20,50,1.943,2.636,10.8
2012,1,1,20,55,1.958,2.949,10.922
2012,1,1,21,0,1.963,3.092,11.017
2012,1,1,21,5,1.966,3.164,11.096
2012,1,1,21,10,1.97,3.114,11.2
2012,1,1,21,15,1.972,3.026,11.243
2012,1,1,21,20,1.973,3.026,11.267
2012,1,1,21,25,1.976,3.032,11.34
2012,1,1,21,30,1.981,3.098,11.45
2012,1,1,21,35,1.98,3.383,11.432
2012,1,1,21,40,1.977,3.455,11.349
2012,1,1,21,45,1.977,3.356,11.362
2012,1,1,21,50,1.982,3.592,11.487
2012,1,1,21,55,1.987,4.015,11.597
2012,1,1,22,0,1.991,4.284,11.697
2012,1,1,22,5,1.994,4.51,11.761
2012,1,1,22,10,1.989,5.048,11.649
2012,1,1,22,15,1.982,5.553,11.465
2012,1,1,22,20,1.981,5.685,11.447
2012,1,1,22,25,1.982,5.658,11.465
2012,1,1,22,30,1.978,5.96,11.38
2012,1,1,22,35,1.976,6.465,11.328
2012,1,1,22,40,1.981,6.613,11.438
2012,1,1,22,45,1.986,6.438,11.572
2012,1,1,22,50,1.984,6.366,11.526
2012,1,1,22,55,1.98,6.559,11.423
2012,1,1,23,0,1.981,6.652,11.441
2012,1,1,23,5,1.98,6.833,11.423
2012,1,1,23,10,1.982,7.02,11.471
2012,1,1,23,15,1.987,6.899,11.587
2012,1,1,23,20,1.994,6.608,11.746
2012,1,1,23,25,1.994,6.74,11.758
2012,1,1,23,30,1.99,7.339,11.667
2012,1,1,23,35,1.983,7.844,11.496
2012,1,1,23,40,1.98,8.24,11.407
