"Time stamp","System power before grid curtailment | (kW)"
"Jan 1, 12:00 am",-0.00116655
"Jan 1, 12:30 am",-0.00116655
"Jan 1, 01:00 am",-0.00116655
"Jan 1, 01:30 am",-0.00116655
"Jan 1, 02:00 am",-0.00116655
"Jan 1, 02:30 am",-0.00116655
"Jan 1, 03:00 am",-0.00116655
"Jan 1, 03:30 am",-0.00116655
"Jan 1, 04:00 am",-0.00116655
"Jan 1, 04:30 am",-0.00116655
"Jan 1, 05:00 am",-0.00116655
"Jan 1, 05:30 am",-0.00116655
"Jan 1, 06:00 am",-0.00116655
"Jan 1, 06:30 am",-0.00116655
"Jan 1, 07:00 am",-0.00116655
"Jan 1, 07:30 am",-0.00116655
"Jan 1, 08:00 am",0.45685
"Jan 1, 08:30 am",1.11638
"Jan 1, 09:00 am",1.70238
"Jan 1, 09:30 am",2.21381
"Jan 1, 10:00 am",2.64318
"Jan 1, 10:30 am",2.99898
"Jan 1, 11:00 am",3.25974
"Jan 1, 11:30 am",3.45061
"Jan 1, 12:00 pm",3.55024
"Jan 1, 12:30 pm",3.58637
"Jan 1, 01:00 pm",3.53561
"Jan 1, 01:30 pm",3.42016
"Jan 1, 02:00 pm",3.22742
"Jan 1, 02:30 pm",2.96074
"Jan 1, 03:00 pm",2.59837
"Jan 1, 03:30 pm",2.17968
"Jan 1, 04:00 pm",1.6717
"Jan 1, 04:30 pm",1.09793
"Jan 1, 05:00 pm",0.469116
"Jan 1, 05:30 pm",-0.00116655
"Jan 1, 06:00 pm",-0.00116655
"Jan 1, 06:30 pm",-0.00116655
"Jan 1, 07:00 pm",-0.00116655
"Jan 1, 07:30 pm",-0.00116655
"Jan 1, 08:00 pm",-0.00116655
"Jan 1, 08:30 pm",-0.00116655
"Jan 1, 09:00 pm",-0.00116655
"Jan 1, 09:30 pm",-0.00116655
"Jan 1, 10:00 pm",-0.00116655
"Jan 1, 10:30 pm",-0.00116655
"Jan 1, 11:00 pm",-0.00116655
"Jan 1, 11:30 pm",-0.00116655
"Jan 2, 12:00 am",-0.00116655
"Jan 2, 12:30 am",-0.00116655
"Jan 2, 01:00 am",-0.00116655
"Jan 2, 01:30 am",-0.00116655
"Jan 2, 02:00 am",-0.00116655
"Jan 2, 02:30 am",-0.00116655
"Jan 2, 03:00 am",-0.00116655
"Jan 2, 03:30 am",-0.00116655
