Year,Month,Day,Hour,Minute,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s)
2012,1,1,0,0,4,348.112,14.154
2012,1,1,0,5,4,347.667,13.855
2012,1,1,0,10,4,347.7,13.617
2012,1,1,0,15,4,348.002,13.434
2012,1,1,0,20,4,347.887,13.183
2012,1,1,0,25,4,346.673,12.97
2012,1,1,0,30,4,346.03,12.912
2012,1,1,0,35,4,345.7,12.823
2012,1,1,0,40,4,344.651,12.661
2012,1,1,0,45,4,343.8,12.448
2012,1,1,0,50,4,343.778,12.5
2012,1,1,0,55,4,344.657,12.646
2012,1,1,1,0,4,345.178,12.716
2012,1,1,1,5,4,344.513,12.588
2012,1,1,1,10,4,343.679,12.673
2012,1,1,1,15,4,343.871,12.896
2012,1,1,1,20,4,344.14,12.902
2012,1,1,1,25,4,343.492,12.716
2012,1,1,1,30,4,342.685,12.554
2012,1,1,1,35,4,342.801,12.475
2012,1,1,1,40,4,343.971,12.488
2012,1,1,1,45,4,344.965,12.424
2012,1,1,1,50,4,345.526,12.415
2012,1,1,1,55,4,346.108,12.528
2012,1,1,2,0,4,346.976,12.647
2012,1,1,2,5,4,347.794,12.671
2012,1,1,2,10,4,348.431,12.555
2012,1,1,2,15,4,348.667,12.311
2012,1,1,2,20,3.998,348.618,12.009
2012,1,1,2,25,3.969,348.606,11.655
2012,1,1,2,30,3.932,348.315,11.194
2012,1,1,2,35,3.839,347.161,10.702
2012,1,1,2,40,3.732,345.238,10.266
2012,1,1,2,45,3.669,343.24,10.016
2012,1,1,2,50,3.687,342.165,10.084
2012,1,1,2,55,3.816,342.791,10.606
2012,1,1,3,0,3.954,344.329,11.457
2012,1,1,3,5,4,345.009,12.063
2012,1,1,3,10,4,344.442,12.158
2012,1,1,3,15,3.988,343.311,11.877
2012,1,1,3,20,3.949,341.789,11.398
2012,1,1,3,25,3.883,339.839,10.867
2012,1,1,3,30,3.795,338.208,10.51
2012,1,1,3,35,3.753,337.698,10.339
2012,1,1,3,40,3.75,338.231,10.327
2012,1,1,3,45,3.802,339.495,10.535
2012,1,1,3,50,3.912,341.396,10.981
2012,1,1,3,55,3.953,343.203,11.432
2012,1,1,4,0,3.975,344.054,11.701
2012,1,1,4,5,3.986,344.021,11.838
2012,1,1,4,10,3.996,343.707,11.96
2012,1,1,4,15,4,343.608,12.058
2012,1,1,4,20,4,343.933,12.112
2012,1,1,4,25,4,344.114,12.085
2012,1,1,4,30,4,344.108,12.048
2012,1,1,4,35,3.996,344.102,11.957
2012,1,1,4,40,3.991,344.218,11.895
2012,1,1,4,45,3.987,344.24,11.84
2012,1,1,4,50,3.987,344.185,11.844
2012,1,1,4,55,3.987,343.96,11.844
2012,1,1,5,0,3.988,343.592,11.853
2012,1,1,5,5,3.989,343.317,11.862
2012,1,1,5,10,3.989,343.257,11.865
2012,1,1,5,15,3.988,343.284,11.85
2012,1,1,5,20,3.984,343.02,11.804
2012,1,1,5,25,3.976,342.311,11.703
2012,1,1,5,30,3.972,341.894,11.654
2012,1,1,5,35,3.974,342.092,11.67
2012,1,1,5,40,3.979,342.433,11.737
2012,1,1,5,45,3.985,342.499,11.807
2012,1,1,5,50,3.986,342.356,11.819
2012,1,1,5,55,3.986,342.24,11.816
2012,1,1,6,0,3.982,342.103,11.764
2012,1,1,6,5,3.969,341.411,11.602
2012,1,1,6,10,3.959,340.73,11.48
