"Time stamp","System power before grid curtailment | (kW)"
"Jan 1, 12:00 am",-587.4
"Jan 1, 01:00 am",-587.4
"Jan 1, 02:00 am",-587.4
"Jan 1, 03:00 am",-587.4
"Jan 1, 04:00 am",-587.4
"Jan 1, 05:00 am",-587.4
"Jan 1, 06:00 am",-587.4
"Jan 1, 07:00 am",-587.4
"Jan 1, 08:00 am",-587.4
"Jan 1, 09:00 am",-587.4
"Jan 1, 10:00 am",-587.4
"Jan 1, 11:00 am",-587.4
"Jan 1, 12:00 pm",-587.4
"Jan 1, 01:00 pm",-587.4
"Jan 1, 02:00 pm",-587.4
"Jan 1, 03:00 pm",-587.4
"Jan 1, 04:00 pm",-1006.04
"Jan 1, 05:00 pm",-1006.04
"Jan 1, 06:00 pm",-1006.04
"Jan 1, 07:00 pm",-3508.11
"Jan 1, 08:00 pm",-3524.85
"Jan 1, 09:00 pm",65996.9
"Jan 1, 10:00 pm",67598
"Jan 1, 11:00 pm",82725.4
"Jan 2, 12:00 am",107318
"Jan 2, 01:00 am",107333
"Jan 2, 02:00 am",107333
"Jan 2, 03:00 am",107333
"Jan 2, 04:00 am",107322
"Jan 2, 05:00 am",107317
"Jan 2, 06:00 am",107325
"Jan 2, 07:00 am",107347
"Jan 2, 08:00 am",104164
"Jan 2, 09:00 am",73714.2
"Jan 2, 10:00 am",-875.213
"Jan 2, 11:00 am",-1006.04
"Jan 2, 12:00 pm",-587.4
"Jan 2, 01:00 pm",-587.4
"Jan 2, 02:00 pm",-587.4
"Jan 2, 03:00 pm",-587.4
"Jan 2, 04:00 pm",-587.4
"Jan 2, 05:00 pm",-587.4
"Jan 2, 06:00 pm",-587.4
"Jan 2, 07:00 pm",-587.4
"Jan 2, 08:00 pm",-587.4
"Jan 2, 09:00 pm",-587.4
"Jan 2, 10:00 pm",-587.4
"Jan 2, 11:00 pm",-587.4
"Jan 3, 12:00 am",-587.4
"Jan 3, 01:00 am",-587.4
"Jan 3, 02:00 am",-587.4
"Jan 3, 03:00 am",-587.4
"Jan 3, 04:00 am",-587.4
"Jan 3, 05:00 am",-587.4
"Jan 3, 06:00 am",-587.4
"Jan 3, 07:00 am",-587.4
"Jan 3, 08:00 am",-587.4
"Jan 3, 09:00 am",-587.4
"Jan 3, 10:00 am",-587.4
"Jan 3, 11:00 am",-587.4
"Jan 3, 12:00 pm",-587.4
"Jan 3, 01:00 pm",-587.4
"Jan 3, 02:00 pm",-587.4
"Jan 3, 03:00 pm",-587.4
"Jan 3, 04:00 pm",-1006.04
"Jan 3, 05:00 pm",-1006.04
"Jan 3, 06:00 pm",-3680.51
"Jan 3, 07:00 pm",58379
"Jan 3, 08:00 pm",107358
"Jan 3, 09:00 pm",107349
"Jan 3, 10:00 pm",107451
"Jan 3, 11:00 pm",107464
"Jan 4, 12:00 am",107485
"Jan 4, 01:00 am",107484
"Jan 4, 02:00 am",107495
"Jan 4, 03:00 am",107495
"Jan 4, 04:00 am",107495
"Jan 4, 05:00 am",107473
"Jan 4, 06:00 am",107462
"Jan 4, 07:00 am",107410
"Jan 4, 08:00 am",105958
"Jan 4, 09:00 am",76012
"Jan 4, 10:00 am",-875.213
"Jan 4, 11:00 am",-1006.04
"Jan 4, 12:00 pm",-587.4
"Jan 4, 01:00 pm",-587.4
"Jan 4, 02:00 pm",-587.4
"Jan 4, 03:00 pm",-587.4
"Jan 4, 04:00 pm",-587.4
"Jan 4, 05:00 pm",-587.4
"Jan 4, 06:00 pm",-587.4
"Jan 4, 07:00 pm",-587.4
"Jan 4, 08:00 pm",-587.4
"Jan 4, 09:00 pm",-587.4
"Jan 4, 10:00 pm",-587.4
"Jan 4, 11:00 pm",-587.4
"Jan 5, 12:00 am",-587.4
"Jan 5, 01:00 am",-587.4
"Jan 5, 02:00 am",-587.4
"Jan 5, 03:00 am",-587.4
"Jan 5, 04:00 am",-587.4
"Jan 5, 05:00 am",-587.4
"Jan 5, 06:00 am",-587.4
"Jan 5, 07:00 am",-587.4
"Jan 5, 08:00 am",-587.4
"Jan 5, 09:00 am",-587.4
"Jan 5, 10:00 am",-587.4
"Jan 5, 11:00 am",-587.4
"Jan 5, 12:00 pm",-587.4
"Jan 5, 01:00 pm",-587.4
"Jan 5, 02:00 pm",-587.4
"Jan 5, 03:00 pm",-587.4
"Jan 5, 04:00 pm",-1006.04
"Jan 5, 05:00 pm",-1006.04
"Jan 5, 06:00 pm",-1006.04
"Jan 5, 07:00 pm",-2329.48
"Jan 5, 08:00 pm",107581
"Jan 5, 09:00 pm",107566
"Jan 5, 10:00 pm",107552
"Jan 5, 11:00 pm",107533
"Jan 6, 12:00 am",105989
"Jan 6, 01:00 am",105823
"Jan 6, 02:00 am",105774
"Jan 6, 03:00 am",105368
"Jan 6, 04:00 am",105101
"Jan 6, 05:00 am",105097
"Jan 6, 06:00 am",105054
"Jan 6, 07:00 am",105424
"Jan 6, 08:00 am",105394
"Jan 6, 09:00 am",79083.4
"Jan 6, 10:00 am",-875.213
"Jan 6, 11:00 am",-1006.04
"Jan 6, 12:00 pm",-587.4
"Jan 6, 01:00 pm",-587.4
"Jan 6, 02:00 pm",-587.4
"Jan 6, 03:00 pm",-587.4
"Jan 6, 04:00 pm",-587.4
"Jan 6, 05:00 pm",-587.4
"Jan 6, 06:00 pm",-587.4
"Jan 6, 07:00 pm",-587.4
"Jan 6, 08:00 pm",-587.4
"Jan 6, 09:00 pm",-587.4
"Jan 6, 10:00 pm",-587.4
"Jan 6, 11:00 pm",-587.4
"Jan 7, 12:00 am",-587.4
"Jan 7, 01:00 am",-587.4
"Jan 7, 02:00 am",-587.4
"Jan 7, 03:00 am",-587.4
"Jan 7, 04:00 am",-587.4
"Jan 7, 05:00 am",-587.4
"Jan 7, 06:00 am",-587.4
"Jan 7, 07:00 am",-587.4
"Jan 7, 08:00 am",-587.4
"Jan 7, 09:00 am",-587.4
"Jan 7, 10:00 am",-587.4
"Jan 7, 11:00 am",-587.4
"Jan 7, 12:00 pm",-587.4
"Jan 7, 01:00 pm",-587.4
"Jan 7, 02:00 pm",-587.4
"Jan 7, 03:00 pm",-587.4
"Jan 7, 04:00 pm",-1006.04
"Jan 7, 05:00 pm",-1006.04
"Jan 7, 06:00 pm",-1006.04
"Jan 7, 07:00 pm",-3684.51
"Jan 7, 08:00 pm",105282
"Jan 7, 09:00 pm",107340
"Jan 7, 10:00 pm",107509
"Jan 7, 11:00 pm",107456
"Jan 8, 12:00 am",107471
"Jan 8, 01:00 am",107447
"Jan 8, 02:00 am",106051
"Jan 8, 03:00 am",106022
"Jan 8, 04:00 am",105880
"Jan 8, 05:00 am",105854
"Jan 8, 06:00 am",105857
"Jan 8, 07:00 am",105934
"Jan 8, 08:00 am",107786
"Jan 8, 09:00 am",81602.1
"Jan 8, 10:00 am",-875.213
"Jan 8, 11:00 am",-1006.04
"Jan 8, 12:00 pm",-587.4
"Jan 8, 01:00 pm",-587.4
"Jan 8, 02:00 pm",-587.4
"Jan 8, 03:00 pm",-587.4
"Jan 8, 04:00 pm",-587.4
"Jan 8, 05:00 pm",-587.4
"Jan 8, 06:00 pm",-587.4
"Jan 8, 07:00 pm",-587.4
"Jan 8, 08:00 pm",-587.4
"Jan 8, 09:00 pm",-587.4
"Jan 8, 10:00 pm",-587.4
"Jan 8, 11:00 pm",-587.4
"Jan 9, 12:00 am",-587.4
"Jan 9, 01:00 am",-587.4
