Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,657595,-,-,-,29.41,-98.46,-6,212,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2018,1,1,0,0,0,0,0,0,0,0,4,-8.9,169.48,0,0.13,5.800000000000001,1.8,17,57.550000000000004,-1.6,1009
2018,1,1,0,30,0,0,0,0,0,0,4,-8.9,173.39000000000001,0,0.13,5.7,1.8,17,58.4,-1.8,1009
2018,1,1,1,0,0,0,0,0,0,0,7,-9.5,171.82,0,0.13,5.6000000000000005,1.8,17,56.5,-2.0,1009
2018,1,1,1,30,0,0,0,0,0,0,4,-9.5,166.56,0,0.13,5.4,1.8,18,57.34,-2.2,1009
2018,1,1,2,0,0,0,0,0,0,0,4,-10.0,160.41,0,0.13,5.300000000000001,1.8,19,56.120000000000005,-2.4000000000000004,1009
2018,1,1,2,30,0,0,0,0,0,0,4,-10.0,153.99,0,0.13,5.300000000000001,1.8,18,56.53,-2.5,1009
2018,1,1,3,0,0,0,0,0,0,0,4,-10.3,147.49,0,0.13,5.2,1.8,18,55.65,-2.6,1010
2018,1,1,3,30,0,0,0,0,0,0,4,-10.3,140.96,0,0.13,5.2,1.8,17,56.06,-2.7,1010
2018,1,1,4,0,0,0,0,0,0,0,7,-10.5,134.43,0,0.13,5.1000000000000005,1.8,17,55.300000000000004,-2.8000000000000003,1010
2018,1,1,4,30,0,0,0,0,0,0,7,-10.5,127.93,0,0.13,5.1000000000000005,1.8,18,55.300000000000004,-2.8000000000000003,1010
