"Time stamp","System power before grid curtailment | (kW)"
"Jan 1, 12:00 am",-587.4
"Jan 1, 01:00 am",-587.4
"Jan 1, 02:00 am",-587.4
"Jan 1, 03:00 am",-587.4
"Jan 1, 04:00 am",-587.4
"Jan 1, 05:00 am",-587.4
"Jan 1, 06:00 am",-587.4
"Jan 1, 07:00 am",-587.4
"Jan 1, 08:00 am",-587.4
"Jan 1, 09:00 am",-587.4
"Jan 1, 10:00 am",-587.4
"Jan 1, 11:00 am",-587.4
"Jan 1, 12:00 pm",-587.4
"Jan 1, 01:00 pm",-587.4
"Jan 1, 02:00 pm",-587.4
"Jan 1, 03:00 pm",-1006.04
"Jan 1, 04:00 pm",-1006.04
"Jan 1, 05:00 pm",-3743.14
"Jan 1, 06:00 pm",45588.7
"Jan 1, 07:00 pm",107246
"Jan 1, 08:00 pm",106155
"Jan 1, 09:00 pm",106027
"Jan 1, 10:00 pm",105865
"Jan 1, 11:00 pm",105638
"Jan 2, 12:00 am",105427
"Jan 2, 01:00 am",105421
"Jan 2, 02:00 am",105416
"Jan 2, 03:00 am",105419
"Jan 2, 04:00 am",105176
"Jan 2, 05:00 am",105413
"Jan 2, 06:00 am",105411
"Jan 2, 07:00 am",105418
"Jan 2, 08:00 am",104293
"Jan 2, 09:00 am",77878.8
"Jan 2, 10:00 am",44109.4
"Jan 2, 11:00 am",-875.213
"Jan 2, 12:00 pm",-587.4
"Jan 2, 01:00 pm",-587.4
"Jan 2, 02:00 pm",-587.4
"Jan 2, 03:00 pm",-587.4
"Jan 2, 04:00 pm",-587.4
"Jan 2, 05:00 pm",-587.4
"Jan 2, 06:00 pm",-587.4
"Jan 2, 07:00 pm",-587.4
"Jan 2, 08:00 pm",-587.4
"Jan 2, 09:00 pm",-587.4
"Jan 2, 10:00 pm",-587.4
"Jan 2, 11:00 pm",-587.4
"Jan 3, 12:00 am",-587.4
"Jan 3, 01:00 am",-587.4
"Jan 3, 02:00 am",-587.4
"Jan 3, 03:00 am",-587.4
"Jan 3, 04:00 am",-587.4
"Jan 3, 05:00 am",-587.4
"Jan 3, 06:00 am",-587.4
"Jan 3, 07:00 am",-587.4
"Jan 3, 08:00 am",-587.4
"Jan 3, 09:00 am",-587.4
"Jan 3, 10:00 am",-587.4
"Jan 3, 11:00 am",-587.4
"Jan 3, 12:00 pm",-587.4
"Jan 3, 01:00 pm",-587.4
"Jan 3, 02:00 pm",-587.4
"Jan 3, 03:00 pm",-587.4
"Jan 3, 04:00 pm",-1006.04
"Jan 3, 05:00 pm",-3738.31
"Jan 3, 06:00 pm",64283.2
"Jan 3, 07:00 pm",107290
"Jan 3, 08:00 pm",107506
"Jan 3, 09:00 pm",106106
"Jan 3, 10:00 pm",105945
"Jan 3, 11:00 pm",105929
"Jan 4, 12:00 am",105767
"Jan 4, 01:00 am",105726
"Jan 4, 02:00 am",105508
"Jan 4, 03:00 am",105482
"Jan 4, 04:00 am",105477
"Jan 4, 05:00 am",105461
"Jan 4, 06:00 am",105448
"Jan 4, 07:00 am",105573
"Jan 4, 08:00 am",101090
"Jan 4, 09:00 am",72761
"Jan 4, 10:00 am",38676.8
"Jan 4, 11:00 am",-875.213
"Jan 4, 12:00 pm",-587.4
"Jan 4, 01:00 pm",-587.4
"Jan 4, 02:00 pm",-587.4
"Jan 4, 03:00 pm",-587.4
"Jan 4, 04:00 pm",-587.4
"Jan 4, 05:00 pm",-587.4
"Jan 4, 06:00 pm",-587.4
"Jan 4, 07:00 pm",-587.4
"Jan 4, 08:00 pm",-587.4
"Jan 4, 09:00 pm",-587.4
"Jan 4, 10:00 pm",-587.4
"Jan 4, 11:00 pm",-587.4
"Jan 5, 12:00 am",-587.4
"Jan 5, 01:00 am",-587.4
"Jan 5, 02:00 am",-587.4
"Jan 5, 03:00 am",-587.4
"Jan 5, 04:00 am",-587.4
"Jan 5, 05:00 am",-587.4
"Jan 5, 06:00 am",-587.4
"Jan 5, 07:00 am",-587.4
"Jan 5, 08:00 am",-587.4
"Jan 5, 09:00 am",-587.4
"Jan 5, 10:00 am",-587.4
"Jan 5, 11:00 am",-587.4
"Jan 5, 12:00 pm",-587.4
"Jan 5, 01:00 pm",-587.4
"Jan 5, 02:00 pm",-587.4
"Jan 5, 03:00 pm",-587.4
"Jan 5, 04:00 pm",-1006.04
"Jan 5, 05:00 pm",-3727.25
"Jan 5, 06:00 pm",55076
"Jan 5, 07:00 pm",107690
"Jan 5, 08:00 pm",107409
"Jan 5, 09:00 pm",107443
"Jan 5, 10:00 pm",105968
"Jan 5, 11:00 pm",105919
"Jan 6, 12:00 am",105776
"Jan 6, 01:00 am",105789
"Jan 6, 02:00 am",105602
"Jan 6, 03:00 am",105602
"Jan 6, 04:00 am",105601
"Jan 6, 05:00 am",105599
"Jan 6, 06:00 am",105603
"Jan 6, 07:00 am",105733
"Jan 6, 08:00 am",102070
"Jan 6, 09:00 am",74894.1
"Jan 6, 10:00 am",40636.1
"Jan 6, 11:00 am",-875.213
"Jan 6, 12:00 pm",-587.4
"Jan 6, 01:00 pm",-587.4
"Jan 6, 02:00 pm",-587.4
"Jan 6, 03:00 pm",-587.4
"Jan 6, 04:00 pm",-587.4
"Jan 6, 05:00 pm",-587.4
"Jan 6, 06:00 pm",-587.4
"Jan 6, 07:00 pm",-587.4
"Jan 6, 08:00 pm",-587.4
"Jan 6, 09:00 pm",-587.4
"Jan 6, 10:00 pm",-587.4
"Jan 6, 11:00 pm",-587.4
"Jan 7, 12:00 am",-587.4
"Jan 7, 01:00 am",-587.4
"Jan 7, 02:00 am",-587.4
"Jan 7, 03:00 am",-587.4
"Jan 7, 04:00 am",-587.4
"Jan 7, 05:00 am",-587.4
"Jan 7, 06:00 am",-587.4
"Jan 7, 07:00 am",-587.4
"Jan 7, 08:00 am",-587.4
"Jan 7, 09:00 am",-587.4
"Jan 7, 10:00 am",-587.4
"Jan 7, 11:00 am",-587.4
"Jan 7, 12:00 pm",-587.4
"Jan 7, 01:00 pm",-587.4
"Jan 7, 02:00 pm",-587.4
"Jan 7, 03:00 pm",-587.4
"Jan 7, 04:00 pm",-1006.04
"Jan 7, 05:00 pm",-3721.21
"Jan 7, 06:00 pm",28810.2
"Jan 7, 07:00 pm",97685.5
"Jan 7, 08:00 pm",105706
"Jan 7, 09:00 pm",105661
"Jan 7, 10:00 pm",105237
"Jan 7, 11:00 pm",104993
"Jan 8, 12:00 am",104711
"Jan 8, 01:00 am",104698
"Jan 8, 02:00 am",104398
"Jan 8, 03:00 am",104393
"Jan 8, 04:00 am",104091
"Jan 8, 05:00 am",104093
"Jan 8, 06:00 am",103916
"Jan 8, 07:00 am",39021.5
"Jan 8, 08:00 am",86125.7
"Jan 8, 09:00 am",58978.7
"Jan 8, 10:00 am",29817.6
"Jan 8, 11:00 am",-875.213
"Jan 8, 12:00 pm",-587.4
"Jan 8, 01:00 pm",-587.4
"Jan 8, 02:00 pm",-587.4
"Jan 8, 03:00 pm",-587.4
"Jan 8, 04:00 pm",-587.4
"Jan 8, 05:00 pm",-587.4
"Jan 8, 06:00 pm",-587.4
"Jan 8, 07:00 pm",-587.4
"Jan 8, 08:00 pm",-587.4
"Jan 8, 09:00 pm",-587.4
"Jan 8, 10:00 pm",-587.4
"Jan 8, 11:00 pm",-587.4
"Jan 9, 12:00 am",-587.4
"Jan 9, 01:00 am",-587.4
"Jan 9, 02:00 am",-587.4
