"Time stamp","Array DC power | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 12:30 am",0
"Jan 1, 01:00 am",0
"Jan 1, 01:30 am",0
"Jan 1, 02:00 am",0
"Jan 1, 02:30 am",0
"Jan 1, 03:00 am",0
"Jan 1, 03:30 am",0
"Jan 1, 04:00 am",0
"Jan 1, 04:30 am",0
"Jan 1, 05:00 am",0
"Jan 1, 05:30 am",0
"Jan 1, 06:00 am",0
"Jan 1, 06:30 am",0
"Jan 1, 07:00 am",0
"Jan 1, 07:30 am",0
"Jan 1, 08:00 am",0.062435
"Jan 1, 08:30 am",0.145081
"Jan 1, 09:00 am",0.383493
"Jan 1, 09:30 am",0.351492
"Jan 1, 10:00 am",0.967242
"Jan 1, 10:30 am",0.371597
"Jan 1, 11:00 am",0.504662
"Jan 1, 11:30 am",0.909055
"Jan 1, 12:00 pm",0.981591
"Jan 1, 12:30 pm",0.974255
"Jan 1, 01:00 pm",0.559227
"Jan 1, 01:30 pm",0.37578
"Jan 1, 02:00 pm",0.890327
"Jan 1, 02:30 pm",1.23246
"Jan 1, 03:00 pm",1.14537
"Jan 1, 03:30 pm",0.998927
"Jan 1, 04:00 pm",0.426276
"Jan 1, 04:30 pm",0.211482
"Jan 1, 05:00 pm",0.102056
"Jan 1, 05:30 pm",0.0171022
"Jan 1, 06:00 pm",0
"Jan 1, 06:30 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 07:30 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 08:30 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 09:30 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 10:30 pm",0
"Jan 1, 11:00 pm",0
"Jan 1, 11:30 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 12:30 am",0
"Jan 2, 01:00 am",0
"Jan 2, 01:30 am",0
"Jan 2, 02:00 am",0
"Jan 2, 02:30 am",0
"Jan 2, 03:00 am",0
"Jan 2, 03:30 am",0
"Jan 2, 04:00 am",0
"Jan 2, 04:30 am",0
"Jan 2, 05:00 am",0
"Jan 2, 05:30 am",0
"Jan 2, 06:00 am",0
"Jan 2, 06:30 am",0
"Jan 2, 07:00 am",0
"Jan 2, 07:30 am",0
"Jan 2, 08:00 am",0.442538
"Jan 2, 08:30 am",1.06506
"Jan 2, 09:00 am",0.791162
"Jan 2, 09:30 am",0.508274
"Jan 2, 10:00 am",0.605123
"Jan 2, 10:30 am",0.635583
"Jan 2, 11:00 am",0.789155
"Jan 2, 11:30 am",0.879492
"Jan 2, 12:00 pm",0.946394
"Jan 2, 12:30 pm",0.945099
"Jan 2, 01:00 pm",0.897524
"Jan 2, 01:30 pm",0.881174
"Jan 2, 02:00 pm",0.989347
"Jan 2, 02:30 pm",0.715805
"Jan 2, 03:00 pm",0.495973
"Jan 2, 03:30 pm",0.448482
"Jan 2, 04:00 pm",0.3874
"Jan 2, 04:30 pm",0.209426
"Jan 2, 05:00 pm",0.192815
"Jan 2, 05:30 pm",0.120153
"Jan 2, 06:00 pm",0
"Jan 2, 06:30 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 07:30 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 08:30 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 09:30 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 10:30 pm",0
"Jan 2, 11:00 pm",0
"Jan 2, 11:30 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 12:30 am",0
"Jan 3, 01:00 am",0
"Jan 3, 01:30 am",0
"Jan 3, 02:00 am",0
"Jan 3, 02:30 am",0
"Jan 3, 03:00 am",0
"Jan 3, 03:30 am",0
"Jan 3, 04:00 am",0
"Jan 3, 04:30 am",0
"Jan 3, 05:00 am",0
"Jan 3, 05:30 am",0
"Jan 3, 06:00 am",0
"Jan 3, 06:30 am",0
"Jan 3, 07:00 am",0
"Jan 3, 07:30 am",0
"Jan 3, 08:00 am",0.393662
"Jan 3, 08:30 am",1.11983
"Jan 3, 09:00 am",1.90564
"Jan 3, 09:30 am",2.45557
"Jan 3, 10:00 am",2.90917
"Jan 3, 10:30 am",3.26001
"Jan 3, 11:00 am",3.55166
"Jan 3, 11:30 am",3.73765
"Jan 3, 12:00 pm",3.84548
"Jan 3, 12:30 pm",3.89439
"Jan 3, 01:00 pm",3.84422
"Jan 3, 01:30 pm",3.73989
"Jan 3, 02:00 pm",3.5659
"Jan 3, 02:30 pm",3.30612
"Jan 3, 03:00 pm",2.97236
"Jan 3, 03:30 pm",2.55638
"Jan 3, 04:00 pm",2.05732
"Jan 3, 04:30 pm",1.51831
"Jan 3, 05:00 pm",0.898804
"Jan 3, 05:30 pm",0.218108
"Jan 3, 06:00 pm",0
"Jan 3, 06:30 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 07:30 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 08:30 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 09:30 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 10:30 pm",0
"Jan 3, 11:00 pm",0
"Jan 3, 11:30 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 12:30 am",0
"Jan 4, 01:00 am",0
"Jan 4, 01:30 am",0
"Jan 4, 02:00 am",0
"Jan 4, 02:30 am",0
"Jan 4, 03:00 am",0
"Jan 4, 03:30 am",0
"Jan 4, 04:00 am",0
"Jan 4, 04:30 am",0
"Jan 4, 05:00 am",0
"Jan 4, 05:30 am",0
"Jan 4, 06:00 am",0
"Jan 4, 06:30 am",0
"Jan 4, 07:00 am",0
"Jan 4, 07:30 am",0
"Jan 4, 08:00 am",0.506323
"Jan 4, 08:30 am",1.18586
"Jan 4, 09:00 am",1.79674
"Jan 4, 09:30 am",2.32017
"Jan 4, 10:00 am",2.3679
"Jan 4, 10:30 am",2.89331
"Jan 4, 11:00 am",3.40219
"Jan 4, 11:30 am",3.39579
"Jan 4, 12:00 pm",3.62383
"Jan 4, 12:30 pm",3.55899
"Jan 4, 01:00 pm",2.66979
"Jan 4, 01:30 pm",2.06341
"Jan 4, 02:00 pm",1.63703
"Jan 4, 02:30 pm",1.24823
"Jan 4, 03:00 pm",1.12654
"Jan 4, 03:30 pm",0.821676
"Jan 4, 04:00 pm",0.860804
"Jan 4, 04:30 pm",0.925992
"Jan 4, 05:00 pm",0.516528
"Jan 4, 05:30 pm",0.114954
"Jan 4, 06:00 pm",0
"Jan 4, 06:30 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 07:30 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 08:30 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 09:30 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 10:30 pm",0
"Jan 4, 11:00 pm",0
"Jan 4, 11:30 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 12:30 am",0
"Jan 5, 01:00 am",0
"Jan 5, 01:30 am",0
"Jan 5, 02:00 am",0
"Jan 5, 02:30 am",0
"Jan 5, 03:00 am",0
"Jan 5, 03:30 am",0
"Jan 5, 04:00 am",0
"Jan 5, 04:30 am",0
"Jan 5, 05:00 am",0
