Year,Month,Day,Hour,Minute,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s)
2012,1,1,0,0,0.334,246.293,3.552
2012,1,1,0,5,0.2,253.555,3.363
2012,1,1,0,10,0.086,264.092,3.201
2012,1,1,0,15,0.083,274.051,3.17
2012,1,1,0,20,0.157,278.825,3.301
2012,1,1,0,25,0.255,274.288,3.439
2012,1,1,0,30,0.328,268.086,3.543
2012,1,1,0,35,0.365,273.139,3.594
2012,1,1,0,40,0.518,287.076,3.808
2012,1,1,0,45,0.723,293.47,4.095
2012,1,1,0,50,0.819,293.844,4.229
2012,1,1,0,55,0.762,292.73,4.15
2012,1,1,1,0,0.731,295.13,4.107
2012,1,1,1,5,1.162,304.062,4.525
2012,1,1,1,10,1.327,305.386,4.66
2012,1,1,1,15,1.059,302.255,4.443
2012,1,1,1,20,0.942,302.782,4.348
2012,1,1,1,25,0.817,300.568,4.229
2012,1,1,1,30,1.069,300.128,4.452
2012,1,1,1,35,1.749,306.798,5.004
2012,1,1,1,40,2.613,314.598,5.6
2012,1,1,1,45,5.13,322.832,6.894
2012,1,1,1,50,7.907,328.254,7.977
2012,1,1,1,55,9.302,331.611,8.459
2012,1,1,2,0,7.919,330.924,7.98
2012,1,1,2,5,6.633,329.65,7.535
2012,1,1,2,10,8.194,332.748,8.075
2012,1,1,2,15,13.085,337.395,9.863
2012,1,1,2,20,16,340.641,15.86
2012,1,1,2,25,16,341.075,15.066
2012,1,1,2,30,16,346.749,14.554
2012,1,1,2,35,16,350.727,14.914
2012,1,1,2,40,16,357.391,14.929
2012,1,1,2,45,16,357.061,14.267
2012,1,1,2,50,16,358.165,14.472
2012,1,1,2,55,16,1.916,15.738
2012,1,1,3,0,16,6.772,16.601
2012,1,1,3,5,16,13.172,17.709
2012,1,1,3,10,16,15.166,18.506
2012,1,1,3,15,16,15.869,19.247
2012,1,1,3,20,16,16.188,19.327
2012,1,1,3,25,16,16.529,19.305
2012,1,1,3,30,16,18.171,19.235
2012,1,1,3,35,16,19.841,19.339
2012,1,1,3,40,16,19.836,18.915
2012,1,1,3,45,16,20.819,18.784
2012,1,1,3,50,16,20.369,18.039
2012,1,1,3,55,16,19.138,17.718
2012,1,1,4,0,16,18.886,17.496
2012,1,1,4,5,16,18.045,17.111
2012,1,1,4,10,16,17.177,16.87
2012,1,1,4,15,16,16.694,16.833
2012,1,1,4,20,16,16.749,16.827
2012,1,1,4,25,16,17.6,16.885
