time,year,ercot
"Jan 1, 12:00 am",2012,0
"Jan 1, 01:00 am",2012,0
"Jan 1, 02:00 am",2012,0
"Jan 1, 03:00 am",2012,0
"Jan 1, 04:00 am",2012,0
"Jan 1, 05:00 am",2012,0
"Jan 1, 06:00 am",2012,0
"Jan 1, 07:00 am",2012,0
"Jan 1, 08:00 am",2012,0.14388834434263797
"Jan 1, 09:00 am",2012,0.3962433411463883
"Jan 1, 10:00 am",2012,0.5893117408906884
"Jan 1, 11:00 am",2012,0.7156935861922012
"Jan 1, 12:00 pm",2012,0.7763690603025784
"Jan 1, 01:00 pm",2012,0.7756531003622418
"Jan 1, 02:00 pm",2012,0.707924568506286
"Jan 1, 03:00 pm",2012,0.5732623055614746
"Jan 1, 04:00 pm",2012,0.371073939910505
"Jan 1, 05:00 pm",2012,0.11176646068612828
"Jan 1, 06:00 pm",2012,0
"Jan 1, 07:00 pm",2012,0
"Jan 1, 08:00 pm",2012,0
"Jan 1, 09:00 pm",2012,0
"Jan 1, 10:00 pm",2012,0
"Jan 1, 11:00 pm",2012,0
"Jan 2, 12:00 am",2012,0
"Jan 2, 01:00 am",2012,0
"Jan 2, 02:00 am",2012,0
"Jan 2, 03:00 am",2012,0
"Jan 2, 04:00 am",2012,0
"Jan 2, 05:00 am",2012,0
"Jan 2, 06:00 am",2012,0
"Jan 2, 07:00 am",2012,0
"Jan 2, 08:00 am",2012,0.1509776262518645
"Jan 2, 09:00 am",2012,0.40624973364585554
"Jan 2, 10:00 am",2012,0.596859151928404
"Jan 2, 11:00 am",2012,0.7226741956104837
"Jan 2, 12:00 pm",2012,0.7816684423609632
"Jan 2, 01:00 pm",2012,0.7748860004261667
"Jan 2, 02:00 pm",2012,0.7042020029831665
"Jan 2, 03:00 pm",2012,0.5688919667590028
"Jan 2, 04:00 pm",2012,0.3616471340294055
"Jan 2, 05:00 pm",2012,0.10654741103771576
"Jan 2, 06:00 pm",2012,0
"Jan 2, 07:00 pm",2012,0
"Jan 2, 08:00 pm",2012,0
"Jan 2, 09:00 pm",2012,0
"Jan 2, 10:00 pm",2012,0
"Jan 2, 11:00 pm",2012,0
"Jan 3, 12:00 am",2012,0
"Jan 3, 01:00 am",2012,0
"Jan 3, 02:00 am",2012,0
"Jan 3, 03:00 am",2012,0
"Jan 3, 04:00 am",2012,0
"Jan 3, 05:00 am",2012,0
"Jan 3, 06:00 am",2012,0
"Jan 3, 07:00 am",2012,0
"Jan 3, 08:00 am",2012,0.15544832729597272
"Jan 3, 09:00 am",2012,0.4146409546132538
"Jan 3, 10:00 am",2012,0.60711272107394
"Jan 3, 11:00 am",2012,0.7248881312593224
"Jan 3, 12:00 pm",2012,0.775416577881952
"Jan 3, 01:00 pm",2012,0.7647730662689113
"Jan 3, 02:00 pm",2012,0.695126784572768
"Jan 3, 03:00 pm",2012,0.56324952056254
"Jan 3, 04:00 pm",2012,0.35865970594502455
"Jan 3, 05:00 pm",2012,0.10844470487960794
"Jan 3, 06:00 pm",2012,0
"Jan 3, 07:00 pm",2012,0
"Jan 3, 08:00 pm",2012,0
"Jan 3, 09:00 pm",2012,0
"Jan 3, 10:00 pm",2012,0
"Jan 3, 11:00 pm",2012,0
"Jan 4, 12:00 am",2012,0
"Jan 4, 01:00 am",2012,0
"Jan 4, 02:00 am",2012,0
"Jan 4, 03:00 am",2012,0
"Jan 4, 04:00 am",2012,0
"Jan 4, 05:00 am",2012,0
"Jan 4, 06:00 am",2012,0
"Jan 4, 07:00 am",2012,0
"Jan 4, 08:00 am",2012,0.11970466652461113
"Jan 4, 09:00 am",2012,0.35222245898146176
"Jan 4, 10:00 am",2012,0.530451736629022
"Jan 4, 11:00 am",2012,0.64913488173876
"Jan 4, 12:00 pm",2012,0.707464308544641
"Jan 4, 01:00 pm",2012,0.6948007670999361
"Jan 4, 02:00 pm",2012,0.6251779245685063
"Jan 4, 03:00 pm",2012,0.49457276795226934
"Jan 4, 04:00 pm",2012,0.03711122949073088
"Jan 4, 05:00 pm",2012,0.08332644363946304
"Jan 4, 06:00 pm",2012,0
"Jan 4, 07:00 pm",2012,0
"Jan 4, 08:00 pm",2012,0
"Jan 4, 09:00 pm",2012,0
"Jan 4, 10:00 pm",2012,0
"Jan 4, 11:00 pm",2012,0
"Jan 5, 12:00 am",2012,0
"Jan 5, 01:00 am",2012,0
"Jan 5, 02:00 am",2012,0
"Jan 5, 03:00 am",2012,0
"Jan 5, 04:00 am",2012,0
"Jan 5, 05:00 am",2012,0
"Jan 5, 06:00 am",2012,0
"Jan 5, 07:00 am",2012,0
"Jan 5, 08:00 am",2012,0.11492307692307693
"Jan 5, 09:00 am",2012,0.3407628382697635
"Jan 5, 10:00 am",2012,0.5165267419561048
"Jan 5, 11:00 am",2012,0.6353206903899425
"Jan 5, 12:00 pm",2012,0.6995333475388877
"Jan 5, 01:00 pm",2012,0.6914915832090348
"Jan 5, 02:00 pm",2012,0.6246132537822289
"Jan 5, 03:00 pm",2012,0.49056040911996596
"Jan 5, 04:00 pm",2012,0.3055252503728958
"Jan 5, 05:00 pm",2012,0.08675815043682081
"Jan 5, 06:00 pm",2012,0
"Jan 5, 07:00 pm",2012,0
"Jan 5, 08:00 pm",2012,0
"Jan 5, 09:00 pm",2012,0
"Jan 5, 10:00 pm",2012,0
"Jan 5, 11:00 pm",2012,0
"Jan 6, 12:00 am",2012,0
"Jan 6, 01:00 am",2012,0
"Jan 6, 02:00 am",2012,0
"Jan 6, 03:00 am",2012,0
"Jan 6, 04:00 am",2012,0
"Jan 6, 05:00 am",2012,0
"Jan 6, 06:00 am",2012,0
"Jan 6, 07:00 am",2012,0
"Jan 6, 08:00 am",2012,0.03440848071595994
"Jan 6, 09:00 am",2012,0.2991540592371617
"Jan 6, 10:00 am",2012,0.3378244193479651
"Jan 6, 11:00 am",2012,0.5214404432132964
"Jan 6, 12:00 pm",2012,0.701642872363094
"Jan 6, 01:00 pm",2012,0.6230982314084808
"Jan 6, 02:00 pm",2012,0.6353675687193694
"Jan 6, 03:00 pm",2012,0.5083763051353078
"Jan 6, 04:00 pm",2012,0.3272533560622204
"Jan 6, 05:00 pm",2012,0.10056637545280205
"Jan 6, 06:00 pm",2012,0
"Jan 6, 07:00 pm",2012,0
"Jan 6, 08:00 pm",2012,0
"Jan 6, 09:00 pm",2012,0
"Jan 6, 10:00 pm",2012,0
"Jan 6, 11:00 pm",2012,0
"Jan 7, 12:00 am",2012,0
"Jan 7, 01:00 am",2012,0
"Jan 7, 02:00 am",2012,0
"Jan 7, 03:00 am",2012,0
"Jan 7, 04:00 am",2012,0
"Jan 7, 05:00 am",2012,0
"Jan 7, 06:00 am",2012,0
"Jan 7, 07:00 am",2012,0
"Jan 7, 08:00 am",2012,0.1081427658214362
"Jan 7, 09:00 am",2012,0.3410760707436608
"Jan 7, 10:00 am",2012,0.526588536117622
"Jan 7, 11:00 am",2012,0.6480076709993609
"Jan 7, 12:00 pm",2012,0.70736415938632
"Jan 7, 01:00 pm",2012,0.7017728531855956
"Jan 7, 02:00 pm",2012,0.6358256978478586
"Jan 7, 03:00 pm",2012,0.5103238866396762
"Jan 7, 04:00 pm",2012,0.32337950138504157
"Jan 7, 05:00 pm",2012,0.09723353931387174
"Jan 7, 06:00 pm",2012,0
"Jan 7, 07:00 pm",2012,0
"Jan 7, 08:00 pm",2012,0
"Jan 7, 09:00 pm",2012,0
"Jan 7, 10:00 pm",2012,0
"Jan 7, 11:00 pm",2012,0
"Jan 8, 12:00 am",2012,0
"Jan 8, 01:00 am",2012,0
"Jan 8, 02:00 am",2012,0
"Jan 8, 03:00 am",2012,0
"Jan 8, 04:00 am",2012,0
"Jan 8, 05:00 am",2012,0
"Jan 8, 06:00 am",2012,0
"Jan 8, 07:00 am",2012,0
"Jan 8, 08:00 am",2012,0.003965501811208183
"Jan 8, 09:00 am",2012,0.1285859791178351
"Jan 8, 10:00 am",2012,0.21306158107820158
"Jan 8, 11:00 am",2012,0.13337886213509484
"Jan 8, 12:00 pm",2012,0.13851374387385468
"Jan 8, 01:00 pm",2012,0.15029341572554872
"Jan 8, 02:00 pm",2012,0.012969422544214787
"Jan 8, 03:00 pm",2012,0.47846153846153855
"Jan 8, 04:00 pm",2012,0.23667590027700836
"Jan 8, 05:00 pm",2012,0.08246281696143193
"Jan 8, 06:00 pm",2012,0
"Jan 8, 07:00 pm",2012,0
"Jan 8, 08:00 pm",2012,0
"Jan 8, 09:00 pm",2012,0
"Jan 8, 10:00 pm",2012,0
"Jan 8, 11:00 pm",2012,0
"Jan 9, 12:00 am",2012,0
"Jan 9, 01:00 am",2012,0
"Jan 9, 02:00 am",2012,0
"Jan 9, 03:00 am",2012,0
"Jan 9, 04:00 am",2012,0
"Jan 9, 05:00 am",2012,0
"Jan 9, 06:00 am",2012,0
"Jan 9, 07:00 am",2012,0
"Jan 9, 08:00 am",2012,0.00033659279778393357
"Jan 9, 09:00 am",2012,0.006515810782015769
"Jan 9, 10:00 am",2012,0.011753419987215004
"Jan 9, 11:00 am",2012,0.03484956317920307
"Jan 9, 12:00 pm",2012,0.1112934157255487
"Jan 9, 01:00 pm",2012,0.12065523119539742
"Jan 9, 02:00 pm",2012,0.04351800554016621
"Jan 9, 03:00 pm",2012,0.030492435542297042
"Jan 9, 04:00 pm",2012,0.16891029192414234
"Jan 9, 05:00 pm",2012,0.08127594289367145
"Jan 9, 06:00 pm",2012,0
"Jan 9, 07:00 pm",2012,0
"Jan 9, 08:00 pm",2012,0
"Jan 9, 09:00 pm",2012,0
"Jan 9, 10:00 pm",2012,0
"Jan 9, 11:00 pm",2012,0
"Jan 10, 12:00 am",2012,0
"Jan 10, 01:00 am",2012,0
"Jan 10, 02:00 am",2012,0
"Jan 10, 03:00 am",2012,0
"Jan 10, 04:00 am",2012,0
"Jan 10, 05:00 am",2012,0
"Jan 10, 06:00 am",2012,0
"Jan 10, 07:00 am",2012,0
"Jan 10, 08:00 am",2012,0.12323993181333903
"Jan 10, 09:00 am",2012,0.07471830385680801
"Jan 10, 10:00 am",2012,0.1239062433411464
"Jan 10, 11:00 am",2012,0.16141551246537397
"Jan 10, 12:00 pm",2012,0.10291263584061368
"Jan 10, 01:00 pm",2012,0.16093394417217133
"Jan 10, 02:00 pm",2012,0.11961048369912636
"Jan 10, 03:00 pm",2012,0.14802578308118475
"Jan 10, 04:00 pm",2012,0.33790539100788414
"Jan 10, 05:00 pm",2012,0.10893415725548691
"Jan 10, 06:00 pm",2012,0
"Jan 10, 07:00 pm",2012,0
"Jan 10, 08:00 pm",2012,0
"Jan 10, 09:00 pm",2012,0
"Jan 10, 10:00 pm",2012,0
"Jan 10, 11:00 pm",2012,0
"Jan 11, 12:00 am",2012,0
"Jan 11, 01:00 am",2012,0
"Jan 11, 02:00 am",2012,0
"Jan 11, 03:00 am",2012,0
"Jan 11, 04:00 am",2012,0
"Jan 11, 05:00 am",2012,0
"Jan 11, 06:00 am",2012,0
"Jan 11, 07:00 am",2012,0
"Jan 11, 08:00 am",2012,0.1409171105902408
"Jan 11, 09:00 am",2012,0.39481568293202646
"Jan 11, 10:00 am",2012,0.5841146388237801
"Jan 11, 11:00 am",2012,0.7076773918602174
"Jan 11, 12:00 pm",2012,0.7671297677391861
"Jan 11, 01:00 pm",2012,0.7627871297677392
"Jan 11, 02:00 pm",2012,0.6967376944385255
"Jan 11, 03:00 pm",2012,0.567202216066482
"Jan 11, 04:00 pm",2012,0.37062220328148304
"Jan 11, 05:00 pm",2012,0.12735861922011507
"Jan 11, 06:00 pm",2012,0
"Jan 11, 07:00 pm",2012,0
"Jan 11, 08:00 pm",2012,0
"Jan 11, 09:00 pm",2012,0
"Jan 11, 10:00 pm",2012,0
"Jan 11, 11:00 pm",2012,0
"Jan 12, 12:00 am",2012,0
"Jan 12, 01:00 am",2012,0
"Jan 12, 02:00 am",2012,0
"Jan 12, 03:00 am",2012,0
"Jan 12, 04:00 am",2012,0
"Jan 12, 05:00 am",2012,0
"Jan 12, 06:00 am",2012,0
"Jan 12, 07:00 am",2012,0
"Jan 12, 08:00 am",2012,0.10478414660132113
"Jan 12, 09:00 am",2012,0.23110803324099724
"Jan 12, 10:00 am",2012,0.4417110590240785
"Jan 12, 11:00 am",2012,0.6031472405710634
"Jan 12, 12:00 pm",2012,0.8043085446409546
"Jan 12, 01:00 pm",2012,0.4500063924994673
"Jan 12, 02:00 pm",2012,0.5858597911783509
"Jan 12, 03:00 pm",2012,0.3646771787769018
"Jan 12, 04:00 pm",2012,0.29043682079693167
"Jan 12, 05:00 pm",2012,0.14564159386320052
"Jan 12, 06:00 pm",2012,0
"Jan 12, 07:00 pm",2012,0
"Jan 12, 08:00 pm",2012,0
"Jan 12, 09:00 pm",2012,0
"Jan 12, 10:00 pm",2012,0
"Jan 12, 11:00 pm",2012,0
"Jan 13, 12:00 am",2012,0
"Jan 13, 01:00 am",2012,0
"Jan 13, 02:00 am",2012,0
"Jan 13, 03:00 am",2012,0
"Jan 13, 04:00 am",2012,0
"Jan 13, 05:00 am",2012,0
"Jan 13, 06:00 am",2012,0
"Jan 13, 07:00 am",2012,0
"Jan 13, 08:00 am",2012,0.10632516513956959
"Jan 13, 09:00 am",2012,0.28823780098018326
"Jan 13, 10:00 am",2012,0.315930108672491
"Jan 13, 11:00 am",2012,0.3024355422970382
"Jan 13, 12:00 pm",2012,0.4115917323673557
"Jan 13, 01:00 pm",2012,0.7475431493714042
"Jan 13, 02:00 pm",2012,0.690326017472832
"Jan 13, 03:00 pm",2012,0.568917536756872
"Jan 13, 04:00 pm",2012,0.37943746004687834
"Jan 13, 05:00 pm",2012,0.14101662049861496
"Jan 13, 06:00 pm",2012,0
"Jan 13, 07:00 pm",2012,0
"Jan 13, 08:00 pm",2012,0
"Jan 13, 09:00 pm",2012,0
"Jan 13, 10:00 pm",2012,0
"Jan 13, 11:00 pm",2012,0
"Jan 14, 12:00 am",2012,0
"Jan 14, 01:00 am",2012,0
"Jan 14, 02:00 am",2012,0
"Jan 14, 03:00 am",2012,0
"Jan 14, 04:00 am",2012,0
"Jan 14, 05:00 am",2012,0
"Jan 14, 06:00 am",2012,0
"Jan 14, 07:00 am",2012,0
"Jan 14, 08:00 am",2012,0.14139910505007458
