time,year,ercot
"Jan 1, 12:00 am",2012,0
"Jan 1, 01:00 am",2012,0
"Jan 1, 02:00 am",2012,0
"Jan 1, 03:00 am",2012,0
"Jan 1, 04:00 am",2012,0
"Jan 1, 05:00 am",2012,0
"Jan 1, 06:00 am",2012,0
"Jan 1, 07:00 am",2012,0
"Jan 1, 08:00 am",2012,0.09897016833581931
"Jan 1, 09:00 am",2012,0.3598849350095888
"Jan 1, 10:00 am",2012,0.5727274664393778
"Jan 1, 11:00 am",2012,0.7093010867249094
"Jan 1, 12:00 pm",2012,0.779522693373109
"Jan 1, 01:00 pm",2012,0.7878947368421053
"Jan 1, 02:00 pm",2012,0.7279096526741957
"Jan 1, 03:00 pm",2012,0.6052375878968678
"Jan 1, 04:00 pm",2012,0.41821223098231414
"Jan 1, 05:00 pm",2012,0.1708320903473258
"Jan 1, 06:00 pm",2012,0
"Jan 1, 07:00 pm",2012,0
"Jan 1, 08:00 pm",2012,0
"Jan 1, 09:00 pm",2012,0
"Jan 1, 10:00 pm",2012,0
"Jan 1, 11:00 pm",2012,0
"Jan 2, 12:00 am",2012,0
"Jan 2, 01:00 am",2012,0
"Jan 2, 02:00 am",2012,0
"Jan 2, 03:00 am",2012,0
"Jan 2, 04:00 am",2012,0
"Jan 2, 05:00 am",2012,0
"Jan 2, 06:00 am",2012,0
"Jan 2, 07:00 am",2012,0
"Jan 2, 08:00 am",2012,0.1026633283613893
"Jan 2, 09:00 am",2012,0.3690837417430215
"Jan 2, 10:00 am",2012,0.5752269337310889
"Jan 2, 11:00 am",2012,0.7097549541870873
"Jan 2, 12:00 pm",2012,0.7735648838695931
"Jan 2, 01:00 pm",2012,0.7752226720647774
"Jan 2, 02:00 pm",2012,0.7145471979544001
"Jan 2, 03:00 pm",2012,0.591497975708502
"Jan 2, 04:00 pm",2012,0.40351161304069894
"Jan 2, 05:00 pm",2012,0.16496185808651184
"Jan 2, 06:00 pm",2012,0
"Jan 2, 07:00 pm",2012,0
"Jan 2, 08:00 pm",2012,0
"Jan 2, 09:00 pm",2012,0
"Jan 2, 10:00 pm",2012,0
"Jan 2, 11:00 pm",2012,0
"Jan 3, 12:00 am",2012,0
"Jan 3, 01:00 am",2012,0
"Jan 3, 02:00 am",2012,0
"Jan 3, 03:00 am",2012,0
"Jan 3, 04:00 am",2012,0
"Jan 3, 05:00 am",2012,0
"Jan 3, 06:00 am",2012,0
"Jan 3, 07:00 am",2012,0
"Jan 3, 08:00 am",2012,0.095404432132964
"Jan 3, 09:00 am",2012,0.3548838695930109
"Jan 3, 10:00 am",2012,0.5631855955678671
"Jan 3, 11:00 am",2012,0.6978372043468997
"Jan 3, 12:00 pm",2012,0.7776923076923077
"Jan 3, 01:00 pm",2012,0.7838482846793097
"Jan 3, 02:00 pm",2012,0.7263605369699553
"Jan 3, 03:00 pm",2012,0.6066204986149585
"Jan 3, 04:00 pm",2012,0.41485616876198594
"Jan 3, 05:00 pm",2012,0.17079480076709994
"Jan 3, 06:00 pm",2012,0
"Jan 3, 07:00 pm",2012,0
"Jan 3, 08:00 pm",2012,0
"Jan 3, 09:00 pm",2012,0
"Jan 3, 10:00 pm",2012,0
"Jan 3, 11:00 pm",2012,0
"Jan 4, 12:00 am",2012,0
"Jan 4, 01:00 am",2012,0
"Jan 4, 02:00 am",2012,0
"Jan 4, 03:00 am",2012,0
"Jan 4, 04:00 am",2012,0
"Jan 4, 05:00 am",2012,0
"Jan 4, 06:00 am",2012,0
"Jan 4, 07:00 am",2012,0
"Jan 4, 08:00 am",2012,0.0787636906030258
"Jan 4, 09:00 am",2012,0.32347538887705096
"Jan 4, 10:00 am",2012,0.5236352013637332
"Jan 4, 11:00 am",2012,0.6536884721926274
"Jan 4, 12:00 pm",2012,0.7186383976134668
"Jan 4, 01:00 pm",2012,0.7147773279352228
"Jan 4, 02:00 pm",2012,0.6552610270615812
"Jan 4, 03:00 pm",2012,0.5442382271468144
"Jan 4, 04:00 pm",2012,0.37208182399318135
"Jan 4, 05:00 pm",2012,0.14609524824206266
"Jan 4, 06:00 pm",2012,0
"Jan 4, 07:00 pm",2012,0
"Jan 4, 08:00 pm",2012,0
"Jan 4, 09:00 pm",2012,0
"Jan 4, 10:00 pm",2012,0
"Jan 4, 11:00 pm",2012,0
"Jan 5, 12:00 am",2012,0
"Jan 5, 01:00 am",2012,0
"Jan 5, 02:00 am",2012,0
"Jan 5, 03:00 am",2012,0
"Jan 5, 04:00 am",2012,0
"Jan 5, 05:00 am",2012,0
"Jan 5, 06:00 am",2012,0
"Jan 5, 07:00 am",2012,0
"Jan 5, 08:00 am",2012,0
"Jan 5, 09:00 am",2012,0
"Jan 5, 10:00 am",2012,0.4876411676965694
"Jan 5, 11:00 am",2012,0.4785361176219903
"Jan 5, 12:00 pm",2012,0.537707223524398
"Jan 5, 01:00 pm",2012,0.5761304069891328
"Jan 5, 02:00 pm",2012,0.4536927338589388
"Jan 5, 03:00 pm",2012,0.516083528659706
"Jan 5, 04:00 pm",2012,0.1055514596207117
"Jan 5, 05:00 pm",2012,0.005616407415299382
"Jan 5, 06:00 pm",2012,0
"Jan 5, 07:00 pm",2012,0
"Jan 5, 08:00 pm",2012,0
"Jan 5, 09:00 pm",2012,0
"Jan 5, 10:00 pm",2012,0
"Jan 5, 11:00 pm",2012,0
"Jan 6, 12:00 am",2012,0
"Jan 6, 01:00 am",2012,0
"Jan 6, 02:00 am",2012,0
"Jan 6, 03:00 am",2012,0
"Jan 6, 04:00 am",2012,0
"Jan 6, 05:00 am",2012,0
"Jan 6, 06:00 am",2012,0
"Jan 6, 07:00 am",2012,0
"Jan 6, 08:00 am",2012,0.07725548689537609
"Jan 6, 09:00 am",2012,0.32037715746857026
"Jan 6, 10:00 am",2012,0.5186298742808438
"Jan 6, 11:00 am",2012,0.6526933731088856
"Jan 6, 12:00 pm",2012,0.7285190709567442
"Jan 6, 01:00 pm",2012,0.734387385467718
"Jan 6, 02:00 pm",2012,0.67815896015342
"Jan 6, 03:00 pm",2012,0.561480929043256
"Jan 6, 04:00 pm",2012,0.38480502876624767
"Jan 6, 05:00 pm",2012,0.15515853398678886
"Jan 6, 06:00 pm",2012,0
"Jan 6, 07:00 pm",2012,0
"Jan 6, 08:00 pm",2012,0
"Jan 6, 09:00 pm",2012,0
"Jan 6, 10:00 pm",2012,0
"Jan 6, 11:00 pm",2012,0
"Jan 7, 12:00 am",2012,0
"Jan 7, 01:00 am",2012,0
"Jan 7, 02:00 am",2012,0
"Jan 7, 03:00 am",2012,0
"Jan 7, 04:00 am",2012,0
"Jan 7, 05:00 am",2012,0
"Jan 7, 06:00 am",2012,0
"Jan 7, 07:00 am",2012,0
"Jan 7, 08:00 am",2012,0.078987428084381
"Jan 7, 09:00 am",2012,0.3309418282548477
"Jan 7, 10:00 am",2012,0.5329171105902408
"Jan 7, 11:00 am",2012,0.665352652887279
"Jan 7, 12:00 pm",2012,0.7252865970594502
"Jan 7, 01:00 pm",2012,0.7253952695503944
"Jan 7, 02:00 pm",2012,0.6709716599190284
"Jan 7, 03:00 pm",2012,0.5597762625186449
"Jan 7, 04:00 pm",2012,0.38785851267845733
"Jan 7, 05:00 pm",2012,0.1625668016194332
"Jan 7, 06:00 pm",2012,0
"Jan 7, 07:00 pm",2012,0
"Jan 7, 08:00 pm",2012,0
"Jan 7, 09:00 pm",2012,0
"Jan 7, 10:00 pm",2012,0
"Jan 7, 11:00 pm",2012,0
"Jan 8, 12:00 am",2012,0
"Jan 8, 01:00 am",2012,0
"Jan 8, 02:00 am",2012,0
"Jan 8, 03:00 am",2012,0
"Jan 8, 04:00 am",2012,0
"Jan 8, 05:00 am",2012,0
"Jan 8, 06:00 am",2012,0
"Jan 8, 07:00 am",2012,0
"Jan 8, 08:00 am",2012,0.07367590027700831
"Jan 8, 09:00 am",2012,0.3141508629874281
"Jan 8, 10:00 am",2012,0.14694182825484764
"Jan 8, 11:00 am",2012,0.1468936714255274
"Jan 8, 12:00 pm",2012,0.10738887705092692
"Jan 8, 01:00 pm",2012,0.12086703601108034
"Jan 8, 02:00 pm",2012,0.2032546345621138
"Jan 8, 03:00 pm",2012,0.320839548263371
"Jan 8, 04:00 pm",2012,0.08309610057532496
"Jan 8, 05:00 pm",2012,0.03774089068825911
"Jan 8, 06:00 pm",2012,0
"Jan 8, 07:00 pm",2012,0
"Jan 8, 08:00 pm",2012,0
"Jan 8, 09:00 pm",2012,0
"Jan 8, 10:00 pm",2012,0
"Jan 8, 11:00 pm",2012,0
"Jan 9, 12:00 am",2012,0
"Jan 9, 01:00 am",2012,0
"Jan 9, 02:00 am",2012,0
"Jan 9, 03:00 am",2012,0
"Jan 9, 04:00 am",2012,0
"Jan 9, 05:00 am",2012,0
"Jan 9, 06:00 am",2012,0
"Jan 9, 07:00 am",2012,0
"Jan 9, 08:00 am",2012,0
"Jan 9, 09:00 am",2012,0
"Jan 9, 10:00 am",2012,0.008329320264223311
"Jan 9, 11:00 am",2012,0.17654996803750267
"Jan 9, 12:00 pm",2012,0.12005284466226296
"Jan 9, 01:00 pm",2012,0.1342480289793309
"Jan 9, 02:00 pm",2012,0.10354400170466653
"Jan 9, 03:00 pm",2012,0.2272682718943107
"Jan 9, 04:00 pm",2012,0.03393202642233113
"Jan 9, 05:00 pm",2012,0.004265267419561049
"Jan 9, 06:00 pm",2012,0
"Jan 9, 07:00 pm",2012,0
"Jan 9, 08:00 pm",2012,0
"Jan 9, 09:00 pm",2012,0
"Jan 9, 10:00 pm",2012,0
"Jan 9, 11:00 pm",2012,0
"Jan 10, 12:00 am",2012,0
"Jan 10, 01:00 am",2012,0
"Jan 10, 02:00 am",2012,0
"Jan 10, 03:00 am",2012,0
"Jan 10, 04:00 am",2012,0
"Jan 10, 05:00 am",2012,0
"Jan 10, 06:00 am",2012,0
"Jan 10, 07:00 am",2012,0
"Jan 10, 08:00 am",2012,0.08113829107180909
"Jan 10, 09:00 am",2012,0.337464308544641
"Jan 10, 10:00 am",2012,0.5458065203494566
"Jan 10, 11:00 am",2012,0.6857447261879396
"Jan 10, 12:00 pm",2012,0.754856168761986
"Jan 10, 01:00 pm",2012,0.7639846580012786
"Jan 10, 02:00 pm",2012,0.7133347538887707
"Jan 10, 03:00 pm",2012,0.5985361176219903
"Jan 10, 04:00 pm",2012,0.41490943959088006
"Jan 10, 05:00 pm",2012,0.17970274877477097
"Jan 10, 06:00 pm",2012,0
"Jan 10, 07:00 pm",2012,0
"Jan 10, 08:00 pm",2012,0
"Jan 10, 09:00 pm",2012,0
"Jan 10, 10:00 pm",2012,0
"Jan 10, 11:00 pm",2012,0
"Jan 11, 12:00 am",2012,0
"Jan 11, 01:00 am",2012,0
"Jan 11, 02:00 am",2012,0
"Jan 11, 03:00 am",2012,0
"Jan 11, 04:00 am",2012,0
"Jan 11, 05:00 am",2012,0
"Jan 11, 06:00 am",2012,0
"Jan 11, 07:00 am",2012,0
"Jan 11, 08:00 am",2012,0.09155849137012573
"Jan 11, 09:00 am",2012,0.35363733219688903
"Jan 11, 10:00 am",2012,0.5559194545067122
"Jan 11, 11:00 am",2012,0.6953036437246963
"Jan 11, 12:00 pm",2012,0.7702194758150438
"Jan 11, 01:00 pm",2012,0.7793969742169188
"Jan 11, 02:00 pm",2012,0.7231131472405711
"Jan 11, 03:00 pm",2012,0.6082910718090774
"Jan 11, 04:00 pm",2012,0.42501385041551254
"Jan 11, 05:00 pm",2012,0.18721798423183464
"Jan 11, 06:00 pm",2012,0
"Jan 11, 07:00 pm",2012,0
"Jan 11, 08:00 pm",2012,0
"Jan 11, 09:00 pm",2012,0
"Jan 11, 10:00 pm",2012,0
"Jan 11, 11:00 pm",2012,0
"Jan 12, 12:00 am",2012,0
"Jan 12, 01:00 am",2012,0
"Jan 12, 02:00 am",2012,0
"Jan 12, 03:00 am",2012,0
"Jan 12, 04:00 am",2012,0
"Jan 12, 05:00 am",2012,0
"Jan 12, 06:00 am",2012,0
"Jan 12, 07:00 am",2012,0
"Jan 12, 08:00 am",2012,0.04395994033667164
"Jan 12, 09:00 am",2012,0.24401235883230343
"Jan 12, 10:00 am",2012,0.45269763477519714
"Jan 12, 11:00 am",2012,0.5814596207116983
"Jan 12, 12:00 pm",2012,0.47826976347751976
"Jan 12, 01:00 pm",2012,0.5417707223524398
"Jan 12, 02:00 pm",2012,0.37042403579799704
"Jan 12, 03:00 pm",2012,0.37270615810782015
"Jan 12, 04:00 pm",2012,0.15647347112721077
"Jan 12, 05:00 pm",2012,0.030627317281056894
"Jan 12, 06:00 pm",2012,0
"Jan 12, 07:00 pm",2012,0
"Jan 12, 08:00 pm",2012,0
"Jan 12, 09:00 pm",2012,0
"Jan 12, 10:00 pm",2012,0
"Jan 12, 11:00 pm",2012,0
"Jan 13, 12:00 am",2012,0
"Jan 13, 01:00 am",2012,0
"Jan 13, 02:00 am",2012,0
"Jan 13, 03:00 am",2012,0
"Jan 13, 04:00 am",2012,0
"Jan 13, 05:00 am",2012,0
"Jan 13, 06:00 am",2012,0
"Jan 13, 07:00 am",2012,0
"Jan 13, 08:00 am",2012,0.07926784572767953
"Jan 13, 09:00 am",2012,0.32981248668229285
"Jan 13, 10:00 am",2012,0.5261495844875347
"Jan 13, 11:00 am",2012,0.6639633496697209
"Jan 13, 12:00 pm",2012,0.7430662689111442
"Jan 13, 01:00 pm",2012,0.7446004687832943
"Jan 13, 02:00 pm",2012,0.6902599616450033
"Jan 13, 03:00 pm",2012,0.6040315363307054
"Jan 13, 04:00 pm",2012,0.4224121031323248
"Jan 13, 05:00 pm",2012,0.1854287236309397
"Jan 13, 06:00 pm",2012,0
"Jan 13, 07:00 pm",2012,0
"Jan 13, 08:00 pm",2012,0
"Jan 13, 09:00 pm",2012,0
"Jan 13, 10:00 pm",2012,0
"Jan 13, 11:00 pm",2012,0
"Jan 14, 12:00 am",2012,0
"Jan 14, 01:00 am",2012,0
"Jan 14, 02:00 am",2012,0
"Jan 14, 03:00 am",2012,0
"Jan 14, 04:00 am",2012,0
"Jan 14, 05:00 am",2012,0
"Jan 14, 06:00 am",2012,0
"Jan 14, 07:00 am",2012,0
"Jan 14, 08:00 am",2012,0.09244449179629236
"Jan 14, 09:00 am",2012,0.3549179629235031
