time,year,ercot
"Jan 1, 12:00 am",2012,0
"Jan 1, 01:00 am",2012,0
"Jan 1, 02:00 am",2012,0
"Jan 1, 03:00 am",2012,0
"Jan 1, 04:00 am",2012,0
"Jan 1, 05:00 am",2012,0
"Jan 1, 06:00 am",2012,0
"Jan 1, 07:00 am",2012,0
"Jan 1, 08:00 am",2012,0.028578308118474328
"Jan 1, 09:00 am",2012,0.29904964841252935
"Jan 1, 10:00 am",2012,0.5261751544854039
"Jan 1, 11:00 am",2012,0.6816918815256766
"Jan 1, 12:00 pm",2012,0.761706797357767
"Jan 1, 01:00 pm",2012,0.7785275942893672
"Jan 1, 02:00 pm",2012,0.7349605795866183
"Jan 1, 03:00 pm",2012,0.6267717877690178
"Jan 1, 04:00 pm",2012,0.45262731728105693
"Jan 1, 05:00 pm",2012,0.21364159386320053
"Jan 1, 06:00 pm",2012,0
"Jan 1, 07:00 pm",2012,0
"Jan 1, 08:00 pm",2012,0
"Jan 1, 09:00 pm",2012,0
"Jan 1, 10:00 pm",2012,0
"Jan 1, 11:00 pm",2012,0
"Jan 2, 12:00 am",2012,0
"Jan 2, 01:00 am",2012,0
"Jan 2, 02:00 am",2012,0
"Jan 2, 03:00 am",2012,0
"Jan 2, 04:00 am",2012,0
"Jan 2, 05:00 am",2012,0
"Jan 2, 06:00 am",2012,0
"Jan 2, 07:00 am",2012,0
"Jan 2, 08:00 am",2012,0.022619646281696146
"Jan 2, 09:00 am",2012,0.28661410611549115
"Jan 2, 10:00 am",2012,0.5098444491796292
"Jan 2, 11:00 am",2012,0.6611655657362029
"Jan 2, 12:00 pm",2012,0.7408651182612402
"Jan 2, 01:00 pm",2012,0.7585979117835073
"Jan 2, 02:00 pm",2012,0.7149754954187089
"Jan 2, 03:00 pm",2012,0.6112593223950565
"Jan 2, 04:00 pm",2012,0.44455145962071174
"Jan 2, 05:00 pm",2012,0.20966013211165568
"Jan 2, 06:00 pm",2012,0
"Jan 2, 07:00 pm",2012,0
"Jan 2, 08:00 pm",2012,0
"Jan 2, 09:00 pm",2012,0
"Jan 2, 10:00 pm",2012,0
"Jan 2, 11:00 pm",2012,0
"Jan 3, 12:00 am",2012,0
"Jan 3, 01:00 am",2012,0
"Jan 3, 02:00 am",2012,0
"Jan 3, 03:00 am",2012,0
"Jan 3, 04:00 am",2012,0
"Jan 3, 05:00 am",2012,0
"Jan 3, 06:00 am",2012,0
"Jan 3, 07:00 am",2012,0
"Jan 3, 08:00 am",2012,0.021373535052205413
"Jan 3, 09:00 am",2012,0.2840400596633284
"Jan 3, 10:00 am",2012,0.5101044108246325
"Jan 3, 11:00 am",2012,0.666398891966759
"Jan 3, 12:00 pm",2012,0.7458832303430643
"Jan 3, 01:00 pm",2012,0.7674046452162796
"Jan 3, 02:00 pm",2012,0.72294268058811
"Jan 3, 03:00 pm",2012,0.6179245685062861
"Jan 3, 04:00 pm",2012,0.4428958022586831
"Jan 3, 05:00 pm",2012,0.20841743021521417
"Jan 3, 06:00 pm",2012,0
"Jan 3, 07:00 pm",2012,0
"Jan 3, 08:00 pm",2012,0
"Jan 3, 09:00 pm",2012,0
"Jan 3, 10:00 pm",2012,0
"Jan 3, 11:00 pm",2012,0
"Jan 4, 12:00 am",2012,0
"Jan 4, 01:00 am",2012,0
"Jan 4, 02:00 am",2012,0
"Jan 4, 03:00 am",2012,0
"Jan 4, 04:00 am",2012,0
"Jan 4, 05:00 am",2012,0
"Jan 4, 06:00 am",2012,0
"Jan 4, 07:00 am",2012,0
"Jan 4, 08:00 am",2012,0.002342446196462817
"Jan 4, 09:00 am",2012,0.22015768165352653
"Jan 4, 10:00 am",2012,0.2715746857021095
"Jan 4, 11:00 am",2012,0.6528361389303218
"Jan 4, 12:00 pm",2012,0.7427466439377797
"Jan 4, 01:00 pm",2012,0.7635968463669295
"Jan 4, 02:00 pm",2012,0.7212401448966547
"Jan 4, 03:00 pm",2012,0.6120328148305988
"Jan 4, 04:00 pm",2012,0.44165139569571704
"Jan 4, 05:00 pm",2012,0.20869806094182827
"Jan 4, 06:00 pm",2012,0
"Jan 4, 07:00 pm",2012,0
"Jan 4, 08:00 pm",2012,0
"Jan 4, 09:00 pm",2012,0
"Jan 4, 10:00 pm",2012,0
"Jan 4, 11:00 pm",2012,0
"Jan 5, 12:00 am",2012,0
"Jan 5, 01:00 am",2012,0
"Jan 5, 02:00 am",2012,0
"Jan 5, 03:00 am",2012,0
"Jan 5, 04:00 am",2012,0
"Jan 5, 05:00 am",2012,0
"Jan 5, 06:00 am",2012,0
"Jan 5, 07:00 am",2012,0
"Jan 5, 08:00 am",2012,0.021943106754741107
"Jan 5, 09:00 am",2012,0.2834966972086086
"Jan 5, 10:00 am",2012,0.5076326443639464
"Jan 5, 11:00 am",2012,0.6612230982314086
"Jan 5, 12:00 pm",2012,0.7495205625399533
"Jan 5, 01:00 pm",2012,0.7733922863839763
"Jan 5, 02:00 pm",2012,0.7309950990837417
"Jan 5, 03:00 pm",2012,0.6259471553377371
"Jan 5, 04:00 pm",2012,0.45660558278286817
"Jan 5, 05:00 pm",2012,0.22361815469848711
"Jan 5, 06:00 pm",2012,0
"Jan 5, 07:00 pm",2012,0
"Jan 5, 08:00 pm",2012,0
"Jan 5, 09:00 pm",2012,0
"Jan 5, 10:00 pm",2012,0
"Jan 5, 11:00 pm",2012,0
"Jan 6, 12:00 am",2012,0
"Jan 6, 01:00 am",2012,0
"Jan 6, 02:00 am",2012,0
"Jan 6, 03:00 am",2012,0
"Jan 6, 04:00 am",2012,0
"Jan 6, 05:00 am",2012,0
"Jan 6, 06:00 am",2012,0
"Jan 6, 07:00 am",2012,0
"Jan 6, 08:00 am",2012,0.022072235243980397
"Jan 6, 09:00 am",2012,0.28385893884508845
"Jan 6, 10:00 am",2012,0.5068357127636907
"Jan 6, 11:00 am",2012,0.663439164713403
"Jan 6, 12:00 pm",2012,0.7514915832090348
"Jan 6, 01:00 pm",2012,0.7717302365224804
"Jan 6, 02:00 pm",2012,0.7287662476028128
"Jan 6, 03:00 pm",2012,0.6214510973790752
"Jan 6, 04:00 pm",2012,0.4485169401235884
"Jan 6, 05:00 pm",2012,0.22135947155337737
"Jan 6, 06:00 pm",2012,0
"Jan 6, 07:00 pm",2012,0
"Jan 6, 08:00 pm",2012,0
"Jan 6, 09:00 pm",2012,0
"Jan 6, 10:00 pm",2012,0
"Jan 6, 11:00 pm",2012,0
"Jan 7, 12:00 am",2012,0
"Jan 7, 01:00 am",2012,0
"Jan 7, 02:00 am",2012,0
"Jan 7, 03:00 am",2012,0
"Jan 7, 04:00 am",2012,0
"Jan 7, 05:00 am",2012,0
"Jan 7, 06:00 am",2012,0
"Jan 7, 07:00 am",2012,0
"Jan 7, 08:00 am",2012,0.021498614958448754
"Jan 7, 09:00 am",2012,0.28159386320051144
"Jan 7, 10:00 am",2012,0.5041380779884935
"Jan 7, 11:00 am",2012,0.6526464947794589
"Jan 7, 12:00 pm",2012,0.6779032601747284
"Jan 7, 01:00 pm",2012,0.7403750266354147
"Jan 7, 02:00 pm",2012,0.705587044534413
"Jan 7, 03:00 pm",2012,0.6077327935222673
"Jan 7, 04:00 pm",2012,0.43873854677178786
"Jan 7, 05:00 pm",2012,0.21079096526741956
"Jan 7, 06:00 pm",2012,0
"Jan 7, 07:00 pm",2012,0
"Jan 7, 08:00 pm",2012,0
"Jan 7, 09:00 pm",2012,0
"Jan 7, 10:00 pm",2012,0
"Jan 7, 11:00 pm",2012,0
"Jan 8, 12:00 am",2012,0
"Jan 8, 01:00 am",2012,0
"Jan 8, 02:00 am",2012,0
"Jan 8, 03:00 am",2012,0
"Jan 8, 04:00 am",2012,0
"Jan 8, 05:00 am",2012,0
"Jan 8, 06:00 am",2012,0
"Jan 8, 07:00 am",2012,0
"Jan 8, 08:00 am",2012,0
"Jan 8, 09:00 am",2012,0.05556211378649052
"Jan 8, 10:00 am",2012,0.27199445983379505
"Jan 8, 11:00 am",2012,0.2990155550820371
"Jan 8, 12:00 pm",2012,0.4147453654378862
"Jan 8, 01:00 pm",2012,0.5636309396974217
"Jan 8, 02:00 pm",2012,0.7154570637119114
"Jan 8, 03:00 pm",2012,0.6094651608779033
"Jan 8, 04:00 pm",2012,0.4369550394204134
"Jan 8, 05:00 pm",2012,0.11525122522906457
"Jan 8, 06:00 pm",2012,0
"Jan 8, 07:00 pm",2012,0
"Jan 8, 08:00 pm",2012,0
"Jan 8, 09:00 pm",2012,0
"Jan 8, 10:00 pm",2012,0
"Jan 8, 11:00 pm",2012,0
"Jan 9, 12:00 am",2012,0
"Jan 9, 01:00 am",2012,0
"Jan 9, 02:00 am",2012,0
"Jan 9, 03:00 am",2012,0
"Jan 9, 04:00 am",2012,0
"Jan 9, 05:00 am",2012,0
"Jan 9, 06:00 am",2012,0
"Jan 9, 07:00 am",2012,0
"Jan 9, 08:00 am",2012,0.0024628169614319202
"Jan 9, 09:00 am",2012,0.020499680375026638
"Jan 9, 10:00 am",2012,0.07305177924568508
"Jan 9, 11:00 am",2012,0.08843383763051353
"Jan 9, 12:00 pm",2012,0.0646552311953974
"Jan 9, 01:00 pm",2012,0.1349088003409333
"Jan 9, 02:00 pm",2012,0.10470360110803324
"Jan 9, 03:00 pm",2012,0.11558683145109738
"Jan 9, 04:00 pm",2012,0.02636799488600043
"Jan 9, 05:00 pm",2012,0.014564670786277436
"Jan 9, 06:00 pm",2012,0
"Jan 9, 07:00 pm",2012,0
"Jan 9, 08:00 pm",2012,0
"Jan 9, 09:00 pm",2012,0
"Jan 9, 10:00 pm",2012,0
"Jan 9, 11:00 pm",2012,0
"Jan 10, 12:00 am",2012,0
"Jan 10, 01:00 am",2012,0
"Jan 10, 02:00 am",2012,0
"Jan 10, 03:00 am",2012,0
"Jan 10, 04:00 am",2012,0
"Jan 10, 05:00 am",2012,0
"Jan 10, 06:00 am",2012,0
"Jan 10, 07:00 am",2012,0
"Jan 10, 08:00 am",2012,0.01687583635201364
"Jan 10, 09:00 am",2012,0.2809013424248882
"Jan 10, 10:00 am",2012,0.5217195823567016
"Jan 10, 11:00 am",2012,0.6899680375026637
"Jan 10, 12:00 pm",2012,0.7855849137012573
"Jan 10, 01:00 pm",2012,0.809215853398679
"Jan 10, 02:00 pm",2012,0.7695802258683145
"Jan 10, 03:00 pm",2012,0.6661027061581078
"Jan 10, 04:00 pm",2012,0.4867590027700831
"Jan 10, 05:00 pm",2012,0.2467675261027062
"Jan 10, 06:00 pm",2012,0
"Jan 10, 07:00 pm",2012,0
"Jan 10, 08:00 pm",2012,0
"Jan 10, 09:00 pm",2012,0
"Jan 10, 10:00 pm",2012,0
"Jan 10, 11:00 pm",2012,0
"Jan 11, 12:00 am",2012,0
"Jan 11, 01:00 am",2012,0
"Jan 11, 02:00 am",2012,0
"Jan 11, 03:00 am",2012,0
"Jan 11, 04:00 am",2012,0
"Jan 11, 05:00 am",2012,0
"Jan 11, 06:00 am",2012,0
"Jan 11, 07:00 am",2012,0
"Jan 11, 08:00 am",2012,0.01929252077562327
"Jan 11, 09:00 am",2012,0.281679096526742
"Jan 11, 10:00 am",2012,0.5145514596207117
"Jan 11, 11:00 am",2012,0.6664606861282762
"Jan 11, 12:00 pm",2012,0.7507670999360752
"Jan 11, 01:00 pm",2012,0.7734029405497551
"Jan 11, 02:00 pm",2012,0.7328808864265928
"Jan 11, 03:00 pm",2012,0.5409673982527169
"Jan 11, 04:00 pm",2012,0.46473258043895166
"Jan 11, 05:00 pm",2012,0.16459514170040485
"Jan 11, 06:00 pm",2012,0
"Jan 11, 07:00 pm",2012,0
"Jan 11, 08:00 pm",2012,0
"Jan 11, 09:00 pm",2012,0
"Jan 11, 10:00 pm",2012,0
"Jan 11, 11:00 pm",2012,0
"Jan 12, 12:00 am",2012,0
"Jan 12, 01:00 am",2012,0
"Jan 12, 02:00 am",2012,0
"Jan 12, 03:00 am",2012,0
"Jan 12, 04:00 am",2012,0
"Jan 12, 05:00 am",2012,0
"Jan 12, 06:00 am",2012,0
"Jan 12, 07:00 am",2012,0
"Jan 12, 08:00 am",2012,0.003183592584700618
"Jan 12, 09:00 am",2012,0.28289580225868316
"Jan 12, 10:00 am",2012,0.44682505859791183
"Jan 12, 11:00 am",2012,0.619612188365651
"Jan 12, 12:00 pm",2012,0.6988578734285107
"Jan 12, 01:00 pm",2012,0.742772213935649
"Jan 12, 02:00 pm",2012,0.7628190922650757
"Jan 12, 03:00 pm",2012,0.6578542510121458
"Jan 12, 04:00 pm",2012,0.36909865757511184
"Jan 12, 05:00 pm",2012,0.2457617728531856
"Jan 12, 06:00 pm",2012,0
"Jan 12, 07:00 pm",2012,0
"Jan 12, 08:00 pm",2012,0
"Jan 12, 09:00 pm",2012,0
"Jan 12, 10:00 pm",2012,0
"Jan 12, 11:00 pm",2012,0
"Jan 13, 12:00 am",2012,0
"Jan 13, 01:00 am",2012,0
"Jan 13, 02:00 am",2012,0
"Jan 13, 03:00 am",2012,0
"Jan 13, 04:00 am",2012,0
"Jan 13, 05:00 am",2012,0
"Jan 13, 06:00 am",2012,0
"Jan 13, 07:00 am",2012,0
"Jan 13, 08:00 am",2012,0.014394246750479437
"Jan 13, 09:00 am",2012,0.27218836565096954
"Jan 13, 10:00 am",2012,0.5101853824845515
"Jan 13, 11:00 am",2012,0.675425101214575
"Jan 13, 12:00 pm",2012,0.7676134668655444
"Jan 13, 01:00 pm",2012,0.7996569358619221
"Jan 13, 02:00 pm",2012,0.761796292350309
"Jan 13, 03:00 pm",2012,0.6579735776688687
"Jan 13, 04:00 pm",2012,0.48723630939697427
"Jan 13, 05:00 pm",2012,0.255099083741743
"Jan 13, 06:00 pm",2012,0
"Jan 13, 07:00 pm",2012,0
"Jan 13, 08:00 pm",2012,0
"Jan 13, 09:00 pm",2012,0
"Jan 13, 10:00 pm",2012,0
"Jan 13, 11:00 pm",2012,0
"Jan 14, 12:00 am",2012,0
"Jan 14, 01:00 am",2012,0
"Jan 14, 02:00 am",2012,0
"Jan 14, 03:00 am",2012,0
"Jan 14, 04:00 am",2012,0
"Jan 14, 05:00 am",2012,0
"Jan 14, 06:00 am",2012,0
"Jan 14, 07:00 am",2012,0
"Jan 14, 08:00 am",2012,0.02257788195184317
