Hour_End,Northeast,Coastal,West,South
1/1/12 0:00,10498.04639,8013.8913,2143.92784,6547.86713
1/1/12 1:00,10179.58086,7748.1605,2138.747705,6267.541452
1/1/12 2:00,10035.78914,7559.728089,2139.369608,6118.172128
1/1/12 3:00,9911.254598,7337.789042,2137.394194,5908.90415
1/1/12 4:00,9885.09026,7161.895539,2142.869551,5778.077485
1/1/12 5:00,10050.27849,6984.460743,2171.904297,5778.968663
1/1/12 6:00,10426.35891,6852.747302,2222.018627,5911.225819
1/1/12 7:00,10997.36624,6822.569456,2281.00109,6138.863652
1/1/12 8:00,11459.72838,6687.260065,2346.737934,6372.094339
1/1/12 9:00,11788.96119,6855.46745,2395.179502,6658.254594
1/1/12 10:00,11908.98219,7196.259305,2396.621474,6947.38687
1/1/12 11:00,11762.15684,7499.546028,2359.667479,7077.66405
1/1/12 12:00,11567.01833,7693.585339,2326.7542,7072.384189
1/1/12 13:00,11370.50004,7803.425802,2281.666528,7039.418099
1/1/12 14:00,11164.98809,7770.546997,2242.803068,6917.055777
1/1/12 15:00,10914.3083,7700.107915,2197.987068,6786.653312
1/1/12 16:00,10766.99495,7664.169909,2178.380348,6744.603857
1/1/12 17:00,10909.09701,7634.36733,2183.477704,6761.188476
1/1/12 18:00,11814.62646,8037.422457,2260.057084,7143.04076
1/1/12 19:00,13060.08986,8611.390355,2436.089909,8005.680535
1/1/12 20:00,13268.37721,8599.124388,2494.812701,8177.476864
1/1/12 21:00,13290.0947,8531.163998,2502.892149,8174.073418
1/1/12 22:00,13248.64696,8401.721743,2513.446683,8059.635935
1/1/12 23:00,12865.46061,8143.236405,2479.485742,7772.656361
1/2/12 0:00,12330.28642,7811.3472,2434.0291,7388.22286
1/2/12 1:00,11951.35062,7499.953671,2383.708483,7104.356278
1/2/12 2:00,11854.59871,7375.156178,2387.959185,6958.830861
1/2/12 3:00,11914.04616,7327.744211,2408.014184,6939.743343
1/2/12 4:00,12139.7968,7375.51743,2440.534937,7016.293026
1/2/12 5:00,12583.45986,7538.139141,2494.418266,7301.49541
1/2/12 6:00,13424.31347,7966.274102,2597.279333,7816.281439
1/2/12 7:00,14521.46109,8500.102437,2725.81779,8598.699969
1/2/12 8:00,15169.52581,8735.693266,2812.123654,9006.411252
1/2/12 9:00,15234.57122,8885.962343,2797.747884,9013.493538
1/2/12 10:00,15061.8353,9086.508092,2735.624892,8980.943339
1/2/12 11:00,14889.88666,9235.44944,2652.206712,8758.465214
1/2/12 12:00,14383.6583,9264.687826,2565.707625,8402.376551
1/2/12 13:00,13948.7737,9119.892123,2489.811407,8038.002301
1/2/12 14:00,13432.93233,8913.477329,2426.628847,7675.23686
1/2/12 15:00,12930.93547,8755.593666,2360.795349,7442.545199
1/2/12 16:00,12687.82679,8631.198551,2321.297284,7349.11142
1/2/12 17:00,12823.07267,8643.392981,2321.879116,7399.03992
1/2/12 18:00,14036.96662,9111.792317,2411.755704,7856.911383
1/2/12 19:00,15476.16115,9740.102226,2598.26117,8869.582829
1/2/12 20:00,15796.33041,9796.699486,2648.447102,9131.851236
1/2/12 21:00,15915.63156,9744.59423,2663.948298,9254.168408
1/2/12 22:00,15750.38903,9516.564005,2648.791613,9141.612046
1/2/12 23:00,15013.75599,9104.926697,2572.942082,8768.083573
1/3/12 0:00,14309.5447,8695.2505,2499.93664,8270.01708
1/3/12 1:00,13907.03048,8413.654754,2466.473575,8043.077552
1/3/12 2:00,13893.42443,8290.579213,2439.771477,7989.455076
1/3/12 3:00,14051.93811,8313.043173,2427.975602,8063.884844
1/3/12 4:00,14385.145,8458.916608,2481.466207,8225.51499
1/3/12 5:00,15036.67623,8797.584832,2528.667658,8670.887559
1/3/12 6:00,16431.13825,9588.659311,2659.436597,9594.203396
1/3/12 7:00,18490.94329,10654.21979,2850.255129,10881.39179
1/3/12 8:00,19158.42797,10901.27754,2950.448181,11238.05625
1/3/12 9:00,18181.79455,10762.10556,2886.468769,10660.28404
1/3/12 10:00,17079.31319,10595.43037,2784.780128,9886.17478
1/3/12 11:00,16173.48496,10381.17293,2675.884627,9221.181708
1/3/12 12:00,15346.20751,10151.16016,2571.575175,8639.128978
1/3/12 13:00,14660.96077,9878.529896,2480.217379,8190.58126
1/3/12 14:00,14063.12015,9685.884996,2404.774808,7909.435804
1/3/12 15:00,13563.11606,9473.179235,2348.061009,7701.900574
1/3/12 16:00,13241.1127,9398.616627,2307.506636,7590.100177
1/3/12 17:00,13352.96886,9414.664292,2294.362997,7614.01147
1/3/12 18:00,14343.43321,9954.971922,2353.007474,8106.852549
1/3/12 19:00,15649.08566,10672.02672,2535.705096,9097.094771
1/3/12 20:00,15790.30384,10706.4918,2588.653901,9358.936958
1/3/12 21:00,15761.96643,10569.15067,2594.063487,9393.075637
1/3/12 22:00,15335.5611,10227.48447,2552.917991,9102.221401
1/3/12 23:00,14309.41952,9628.488566,2462.999898,8533.396368
1/4/12 0:00,13307.5564,9060.1179,2357.75549,7859.85375
1/4/12 1:00,12887.7792,8582.569195,2339.292076,7331.894266
1/4/12 2:00,12681.32274,8375.184616,2324.033819,7167.747146
1/4/12 3:00,12632.07251,8283.782448,2327.251425,7132.075671
1/4/12 4:00,12818.48655,8267.908243,2347.718335,7186.913871
1/4/12 5:00,13324.37373,8516.826853,2389.826455,7503.315509
1/4/12 6:00,14534.01089,9223.540319,2516.577829,8263.31067
1/4/12 7:00,16487.14742,10233.1439,2702.492043,9368.654122
1/4/12 8:00,17161.69503,10340.75475,2780.373851,9593.624619
1/4/12 9:00,16474.15878,9996.539923,2717.26853,9060.076073
1/4/12 10:00,15824.502,9690.675961,2638.011814,8521.737787
1/4/12 11:00,15153.98745,9508.9213,2571.094037,8083.723884
1/4/12 12:00,14462.17887,9368.106819,2498.723471,7772.97889
1/4/12 13:00,13914.73029,9260.982096,2413.038774,7591.123826
1/4/12 14:00,13448.84292,9248.72396,2357.311226,7487.732203
1/4/12 15:00,13034.2799,9205.170385,2311.44819,7441.182618
1/4/12 16:00,12682.15468,9194.894676,2278.200899,7427.316214
1/4/12 17:00,12734.26748,9162.364638,2288.465304,7454.211533
1/4/12 18:00,13553.20676,9407.551655,2332.428678,7697.109614
1/4/12 19:00,14747.64789,9724.215231,2493.728334,8485.89463
1/4/12 20:00,14908.64774,9633.352914,2532.139388,8509.215553
1/4/12 21:00,14923.88057,9391.830079,2537.470436,8413.200973
1/4/12 22:00,14632.30574,8981.971383,2515.988078,8049.911378
1/4/12 23:00,13841.18439,8379.909904,2449.099357,7504.842182
1/5/12 0:00,13007.61654,7794.2656,2375.51274,6827.08962
1/5/12 1:00,12652.36796,7294.863256,2346.283755,6422.275307
1/5/12 2:00,12570.20935,7087.839943,2348.238551,6243.006033
1/5/12 3:00,12574.22585,6974.902626,2368.11496,6198.193094
1/5/12 4:00,12829.55805,6937.606274,2411.215306,6243.787095
1/5/12 5:00,13498.44222,7081.84623,2478.705304,6475.678828
1/5/12 6:00,14895.93846,7696.697047,2611.266923,7154.858999
1/5/12 7:00,17000.18063,8613.587845,2809.599692,8258.665688
1/5/12 8:00,17680.37401,8847.355903,2888.699294,8575.660929
1/5/12 9:00,16749.56399,8820.327187,2785.132986,8262.903746
1/5/12 10:00,15716.02589,8945.324634,2667.242273,8083.824317
1/5/12 11:00,14844.30393,9169.694949,2565.917744,7880.764934
1/5/12 12:00,14087.63463,9345.687316,2474.317174,7656.479519
1/5/12 13:00,13482.5823,9384.484062,2378.386824,7575.314672
1/5/12 14:00,13036.87793,9440.829616,2320.504868,7544.74403
1/5/12 15:00,12620.37367,9452.772302,2274.541495,7511.532834
1/5/12 16:00,12385.84272,9422.756073,2251.634822,7478.801598
1/5/12 17:00,12364.62818,9351.897082,2255.712523,7498.74961
1/5/12 18:00,12931.12138,9583.74884,2284.243135,7790.772085
1/5/12 19:00,13997.45869,9904.696535,2430.637136,8473.617304
1/5/12 20:00,14062.05628,9789.543479,2474.434631,8489.025815
1/5/12 21:00,14075.43473,9517.147061,2484.577081,8319.862356
1/5/12 22:00,13649.41822,9085.972766,2452.764365,7926.977002
1/5/12 23:00,12757.32715,8491.752435,2382.477239,7323.66214
1/6/12 0:00,11927.0116,7879.2002,2303.13434,6638.25156
1/6/12 1:00,11331.82631,7481.543182,2251.332157,6176.25007
1/6/12 2:00,11024.1583,7222.455694,2238.551154,5937.691227
1/6/12 3:00,10912.73659,7092.281002,2244.757374,5818.566974
1/6/12 4:00,11017.52126,7078.216686,2268.532032,5828.638806
1/6/12 5:00,11397.07198,7209.258238,2318.042068,5998.112868
1/6/12 6:00,12392.7465,7744.504727,2428.265559,6572.779759
1/6/12 7:00,14086.70576,8590.867154,2618.570774,7642.053702
1/6/12 8:00,14699.08821,8871.094264,2710.871683,8016.839625
1/6/12 9:00,14059.07045,8845.356109,2624.689538,7784.123281
1/6/12 10:00,13620.08274,9002.4254,2529.609691,7659.812752
1/6/12 11:00,13352.42831,9244.164686,2456.889603,7580.060762
1/6/12 12:00,12961.19476,9380.713287,2392.627695,7526.255078
1/6/12 13:00,12713.04385,9402.133913,2325.108164,7481.609305
1/6/12 14:00,12532.98043,9480.889235,2294.247563,7534.275581
1/6/12 15:00,12298.30608,9529.899446,2262.704612,7505.670019
1/6/12 16:00,12104.86061,9524.311398,2243.92183,7486.284092
1/6/12 17:00,12002.66643,9474.730988,2232.548288,7483.179579
1/6/12 18:00,12249.66544,9518.288023,2225.493338,7557.659555
1/6/12 19:00,12916.54805,9795.91709,2330.130313,8050.926461
1/6/12 20:00,12750.50549,9573.633146,2339.117568,7950.795098
1/6/12 21:00,12485.80632,9289.327235,2317.914417,7705.549921
1/6/12 22:00,12133.62908,8949.106636,2299.333741,7399.073111
1/6/12 23:00,11601.79317,8517.574512,2263.028276,6990.067384
1/7/12 0:00,10857.39172,7993.6511,2205.19796,6473.89157
1/7/12 1:00,10246.19903,7584.552978,2163.223001,6034.589287
1/7/12 2:00,9873.797899,7268.292256,2146.460894,5764.305078
1/7/12 3:00,9650.136299,7070.717016,2148.23768,5596.272242
1/7/12 4:00,9604.297798,6988.837764,2169.315549,5572.574488
1/7/12 5:00,9840.367307,7002.721159,2210.279243,5641.461769
1/7/12 6:00,10362.06288,7148.005002,2276.883861,5854.226657
1/7/12 7:00,11154.48724,7438.279743,2367.121021,6205.696195
1/7/12 8:00,11847.27862,7647.129145,2461.794579,6549.951747
1/7/12 9:00,12437.49156,7976.266792,2510.66213,6879.306752
1/7/12 10:00,12942.13777,8426.956873,2520.690775,7151.468433
1/7/12 11:00,13051.1716,8800.020777,2491.659282,7263.993778
1/7/12 12:00,12953.55625,9015.072006,2437.584007,7222.906354
1/7/12 13:00,12629.20455,9069.659464,2370.184249,7257.423151
1/7/12 14:00,12165.38495,9118.596002,2307.881507,7208.709376
1/7/12 15:00,11785.34588,9179.20715,2269.821848,7221.557797
1/7/12 16:00,11588.93851,9203.432241,2248.721258,7259.772355
1/7/12 17:00,11640.86674,9093.95321,2245.535875,7255.031098
1/7/12 18:00,12298.15138,9201.758633,2289.699359,7318.568412
1/7/12 19:00,13101.94074,9490.314624,2405.963348,7850.048622
1/7/12 20:00,13091.9967,9386.861512,2433.447407,7814.629577
1/7/12 21:00,12981.26809,9146.463526,2414.904596,7602.108506
1/7/12 22:00,12746.95974,8805.496727,2378.824253,7305.277792
1/7/12 23:00,12257.22878,8440.911511,2327.150305,6921.411739
1/8/12 0:00,11677.13198,7997.5711,2270.67983,6495.32058
1/8/12 1:00,11102.56798,7628.641916,2223.032945,6121.485554
1/8/12 2:00,10791.14766,7361.066759,2199.921774,5902.275298
1/8/12 3:00,10648.07319,7192.761533,2199.747812,5759.928033
1/8/12 4:00,10693.65903,7083.489813,2219.559293,5707.982618
1/8/12 5:00,10880.17043,7040.687212,2241.773197,5746.832536
1/8/12 6:00,11287.33615,7106.178937,2290.670479,5880.884236
1/8/12 7:00,11889.01848,7292.804308,2351.713598,6151.998284
1/8/12 8:00,12457.42219,7413.90019,2422.393681,6475.267053
1/8/12 9:00,12911.19656,7616.279787,2477.610378,6817.046367
1/8/12 10:00,13127.20208,8031.776988,2500.605824,7184.891961
1/8/12 11:00,12932.90635,8406.216856,2468.989102,7324.033415
1/8/12 12:00,12633.17798,8712.767678,2428.775451,7340.109052
1/8/12 13:00,12428.04082,8920.163535,2399.693043,7411.979868
1/8/12 14:00,12193.28637,9034.221231,2357.262947,7400.706875
1/8/12 15:00,11933.17387,9103.933802,2303.728923,7350.382025
1/8/12 16:00,11849.19818,9165.111015,2281.951872,7352.983508
1/8/12 17:00,12072.25495,9145.785099,2292.986525,7406.207455
1/8/12 18:00,12879.28574,9462.418476,2363.943822,7780.460671
1/8/12 19:00,13637.65143,9911.809416,2492.78326,8332.648843
1/8/12 20:00,13598.22374,9892.487839,2530.635846,8341.059245
1/8/12 21:00,13395.86369,9666.543145,2521.912564,8100.608485
1/8/12 22:00,12872.61971,9294.125795,2473.463174,7709.841279
1/8/12 23:00,12049.15369,8769.375709,2384.42204,7188.123437
1/9/12 0:00,11191.60629,8181.4622,2293.00716,6504.14245
1/9/12 1:00,10732.69701,7689.429389,2237.429036,5975.171852
1/9/12 2:00,10522.48457,7424.738711,2215.015869,5732.511778
1/9/12 3:00,10580.38301,7291.645438,2226.832252,5637.861223
1/9/12 4:00,10769.76667,7244.057277,2244.204139,5640.90498
1/9/12 5:00,11298.58154,7445.432114,2298.849431,5804.617925
1/9/12 6:00,12495.08299,8009.717217,2423.420086,6433.22051
1/9/12 7:00,14366.74362,8968.430342,2628.543399,7518.401291
1/9/12 8:00,15226.54,9325.990046,2732.971271,7978.071527
1/9/12 9:00,15131.77193,9357.003599,2747.675498,7977.185153
1/9/12 10:00,15322.43091,9541.966292,2779.954908,8089.729406
1/9/12 11:00,15543.39047,9665.689295,2800.659314,8293.946863
1/9/12 12:00,15793.42906,9684.929167,2803.090061,8431.290942
1/9/12 13:00,15835.79995,9625.959111,2791.409905,8524.443853
1/9/12 14:00,15887.74073,9595.346173,2795.316994,8529.640599
1/9/12 15:00,15697.7368,9538.431412,2776.082927,8482.093756
1/9/12 16:00,15402.38032,9515.402688,2776.836409,8466.731738
1/9/12 17:00,15535.34157,9465.755129,2823.798413,8599.769634
1/9/12 18:00,16302.82755,9760.579712,2877.880253,8976.748766
1/9/12 19:00,16943.7191,10065.55365,2967.426994,9525.72196
1/9/12 20:00,16663.31791,9895.648853,2955.71442,9556.374934
1/9/12 21:00,16275.71359,9623.262576,2912.805009,9375.932863
