Year,coal-igcc-ccs-new,coal-igcc-new,csp-new,ng-cc-ccs-new,ng-cc-new,ng-ct-new,nuc-st-new,pv-new,wind-new
1,4.5,3,0,13.18,4,5,2,0,0
2,4.5,3,0,13.18,4,5,2,0,0
3,4.5,3,0,13.18,4,5,2,0,0
4,4.5,3,0,13.18,4,5,2,0,0
5,4.5,3,0,13.18,4,5,2,0,0
6,4.5,3,0,13.18,4,5,2,0,0
7,4.5,3,0,13.18,4,5,2,0,0
8,4.5,3,0,13.18,4,5,2,0,0
9,4.5,3,0,13.18,4,5,2,0,0
10,4.5,3,0,13.18,4,5,2,0,0
11,4.5,3,0,13.18,4,5,2,0,0
12,4.5,3,0,13.18,4,5,2,0,0
13,4.5,3,0,13.18,4,5,2,0,0
14,4.5,3,0,13.18,4,5,2,0,0
15,4.5,3,0,13.18,4,5,2,0,0
16,4.5,3,0,13.18,4,5,2,0,0
17,4.5,3,0,13.18,4,5,2,0,0
18,4.5,3,0,13.18,4,5,2,0,0
19,4.5,3,0,13.18,4,5,2,0,0
20,4.5,3,0,13.18,4,5,2,0,0
