Time,total_investment_cost,variable_operating_cost,fixed_operating_cost,startup_cost,thermal_generator_cost,extending_thermal_generator_cost,renewable_generator_cost,extending_renewable_generator_cost,storage_investment_cost,penalty_cost,renewable_capacity,thermal_capacity,transmission_line_cost,coal_capacity,natural_gas_capacity,nuclear_capacity,solar_capacity,wind_capacity,total_capacity,power_flow,solar_energy_generated,wind_energy_generated,nuclear_energy_generated,coal_energy_generated,natural_gas_energy_generated,total_energy_generated,Northeast coal,Northeast natural gas,Northeast nuc,Northeast solar,Northeast wind,West coal,West natural gas,West nuc,West solar,West wind,Coastal coal,Coastal natural gas,Coastal nuc,Coastal solar,Coastal wind,South coal,South natural gas,South nuc,South solar,South wind,Panhandle coal,Panhandle natural gas,Panhandle nuc,Panhandle solar,Panhandle wind
1,3.460624104,7.599238469,2.2341945,0.316694189,1.928257128,0.012368147,0.215324979,0.04966355,0,0.009935597,3532.475269,76223.7254,1.255010299,17397.0002,53662.7252,5164,663.1,20897.43513,79756.20067,"{'Northeast': {'Northeast': 0, 'West': 0.0, 'Coastal': 0.0, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 28.256743662126524, 'Panhandle': 0}, 'Coastal': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 2.4970200537957634, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 3.1023238760415928, 'Coastal': 7.863786319807962, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 35.08901561208604, 'West': 0.0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.270575296,99.64300393,43.4716194,113.4021568,122.0977575,379.8851129,8747.9997,19933.0108,2460,0,901.1002,650,3695.9001,0,399.4,10273.6972,2504,13717.025,2704,0,2047.4006,5495.0005,15957.7893,0,263.7,1768.8,0,359,0,0,5906.43713
2,1.646868637,12.31000419,2.183953337,0.246472117,0.34554222,0,1.100414701,0.007755602,0,0.00505658,4214.435269,76568.5004,0.193156114,17397.0002,54007.5002,5164,1407.2,22467.43513,80782.93567,"{'Northeast': {'Northeast': 0, 'West': 0.0, 'Coastal': 0.0, 'South': 0.0, 'Panhandle': 3.2008540774944594}, 'West': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 44.28418542451116, 'Panhandle': 1.776087216234374}, 'Coastal': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 2.1600206722691144, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 1.978328195751769, 'Coastal': 7.765223283346865, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 30.16908669554958, 'West': 19.222359632273474, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",2.75689307,108.9232236,45.01522039,15.22055671,213.2637737,385.1796675,8747.9997,19933.0108,2460,0,901.1002,650,3695.9001,0,1143.5,10273.6972,2504,14061.8,2704,0,2047.4006,5495.0005,15957.7893,0,263.7,1768.8,0,359,0,0,7476.43713
3,2.830876377,11.83643324,2.230225016,0.292836836,1.845196724,0,0.795153822,0.014549915,0,0.021589326,4896.395269,85368.5004,0.175975916,17397.0002,62807.5002,5164,2151.3,24037.43513,90264.89567,"{'Northeast': {'Northeast': 0, 'West': 5.250614068970908, 'Coastal': 0.0, 'South': 0.0, 'Panhandle': 2.232772837109543}, 'West': {'Northeast': 2.103400056171859, 'West': 0, 'Coastal': 0, 'South': 52.75826674384203, 'Panhandle': 0.23559946080662308}, 'Coastal': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 8.359135004322285, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.5595275267730829, 'Coastal': 4.46962028750292, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 30.274449643170346, 'West': 25.224478690445217, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",4.243210845,118.0670074,45.01281942,2.913610856,220.3642342,390.6008827,8747.9997,24333.0108,2460,0,980.622027,650,3695.9001,0,1887.6,10273.6972,2504,18461.8,2704,0,2047.4006,5495.0005,15957.7893,0,263.7,1768.8,0,359,0,0,8966.915303
4,1.779018758,11.49291947,2.240444489,0.355523965,0.543023096,0,1.021627439,0.013662756,0,0.009284409,6260.300269,87043.0504,0.200705467,17397.0002,64482.0502,5164,3639.5,27177.33513,93303.35067,"{'Northeast': {'Northeast': 0, 'West': 5.272828479778705, 'Coastal': 0.0, 'South': 0.0, 'Panhandle': 3.9329234345153266}, 'West': {'Northeast': 2.554032840096988, 'West': 0, 'Coastal': 0, 'South': 62.502518085252284, 'Panhandle': 0.08632431208355482}, 'Coastal': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 5.712700345294708, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.2105767723372943, 'Coastal': 6.999429899844084, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 22.027788511570872, 'West': 35.08799364021774, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",7.215846394,131.239723,44.22716848,0.437120053,212.7309557,395.8508136,8747.9997,26333.0108,2460,0,4120.522027,650,3080.9001,0,3375.8,10273.6972,2504,17151.35,2704,0,2047.4006,5495.0005,17557.7893,0,263.7,1768.8,0,359,0,0,8966.915303
5,0.240767354,12.03714389,2.142704481,0.320859862,0.079124306,0,0.155640545,0.006002503,0,0.002021737,7134.775695,88038.0504,0,17397.0002,65477.0502,5164,5127.7,27054.3713,95172.82609,"{'Northeast': {'Northeast': 0, 'West': 5.529220197060289, 'Coastal': 0.0, 'South': 0.0, 'Panhandle': 3.9003459770891697}, 'West': {'Northeast': 2.0288909224486873, 'West': 0, 'Coastal': 0, 'South': 66.0766822777514, 'Panhandle': 0.04850324313346066}, 'Coastal': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 4.954076795908823, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.09967639168990415, 'Coastal': 8.308904796804697, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 20.655293246880237, 'West': 36.38975003463465, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",10.18848194,130.6305046,44.4125348,0.131710738,215.7550791,401.1183111,8747.9997,27533.0108,2460,0,4120.522027,650,3080.9001,0,4864,10150.73337,2504,16946.35,2704,0,2047.4006,5495.0005,17557.7893,0,263.7,1768.8,0,359,0,0,8966.915303
1,Coastal,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,South,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,South,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,South,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,South,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
