Time,total_investment_cost,variable_operating_cost,fixed_operating_cost,startup_cost,thermal_generator_cost,extending_thermal_generator_cost,renewable_generator_cost,extending_renewable_generator_cost,storage_investment_cost,penalty_cost,renewable_capacity,thermal_capacity,transmission_line_cost,coal_capacity,natural_gas_capacity,nuclear_capacity,solar_capacity,wind_capacity,total_capacity,power_flow,solar_energy_generated,wind_energy_generated,nuclear_energy_generated,coal_energy_generated,natural_gas_energy_generated,total_energy_generated,Northeast coal,Northeast natural gas,Northeast nuc,Northeast solar,Northeast wind,West coal,West natural gas,West nuc,West solar,West wind,Coastal coal,Coastal natural gas,Coastal nuc,Coastal solar,Coastal wind,South coal,South natural gas,South nuc,South solar,South wind,Panhandle coal,Panhandle natural gas,Panhandle nuc,Panhandle solar,Panhandle wind
1,3016.604656,7696.294902,2224.121682,62.18726384,296.6549428,12.36814684,992.8548472,49.66355025,0,2.132536859,3747.604923,71823.7254,1665.063169,17397.0002,49262.7252,5164,717.3083055,22114.7996,75571.33032,"{'Northeast': {'Northeast': 0, 'West': 3.135491097009427, 'Coastal': 42.795826859925285, 'South': 0.0, 'Panhandle': 0.07787754165248564}, 'West': {'Northeast': 6.2928677543661555, 'West': 0, 'Coastal': 0, 'South': 30.784627244068066, 'Panhandle': 0.3668421999120089}, 'Coastal': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 1.2790321074220539, 'Coastal': 4.201865522190928e-16, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 31.51975893957199, 'West': 7.690092675195123, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.273142559,102.896223,44.77042437,128.5917375,106.3264776,383.8580051,8747.9997,19933.0108,2460,0,901.1002,650,3695.9001,0,399.4,10273.6972,2504,9317.025,2704,54.20830554,2047.4006,5495.0005,15957.7893,0,263.7,1768.8,0,359,0,0,7123.8016
2,5041.258572,11416.5827,2325.322543,62.57343458,4146.506641,0,742.1292442,7.755602112,0,0,3983.104923,85368.5004,144.8670851,17397.0002,62807.5002,5164,717.3083055,23684.7996,89351.60532,"{'Northeast': {'Northeast': 0, 'West': 1.8724780209836147, 'Coastal': 9.544587467411874, 'South': 0.0, 'Panhandle': 0.010751942080062495}, 'West': {'Northeast': 9.337728872801865, 'West': 0, 'Coastal': 0, 'South': 19.19383433578419, 'Panhandle': 0.9170367502923151}, 'Coastal': {'Northeast': 1.7940791204831468, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 3.013572423103622, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 43.84992269021108, 'West': 4.411578585506828, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.273142559,111.4236728,45.13615595,4.430958305,226.9548594,389.218789,8747.9997,19933.0108,2460,0,901.1002,650,3695.9001,0,399.4,10273.6972,2504,16061.8,2704,54.20830554,2047.4006,5495.0005,22757.7893,0,263.7,1768.8,0,359,0,0,8693.8016
3,1727.489984,11482.50967,2316.397036,86.98425413,1174.216097,0,538.7239724,14.54991485,0,9.665674032,4218.604923,90968.5004,0,17397.0002,68407.5002,5164,717.3083055,25254.7996,95187.10532,"{'Northeast': {'Northeast': 0, 'West': 1.7953429591620507, 'Coastal': 7.221886460519173, 'South': 0.0, 'Panhandle': 0.0012182703295542544}, 'West': {'Northeast': 6.732126133727072, 'West': 0, 'Coastal': 0, 'South': 26.805150329286676, 'Panhandle': 0.30490670783201507}, 'Coastal': {'Northeast': 7.85453130010025, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 1.7167603249813772, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 48.567165878577704, 'West': 7.509610435329007, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.273142559,119.9511225,45.12048988,0.375553797,227.9302373,394.650546,8747.9997,22333.0108,2460,0,901.1002,650,4495.9001,0,399.4,10273.6972,2504,18461.8,2704,54.20830554,2047.4006,5495.0005,22757.7893,0,263.7,1768.8,0,359,0,0,10263.8016
4,1172.134832,11293.45233,2278.00415,141.6587732,0,0,1021.627439,13.66275646,0,0,5582.509923,88643.0504,136.8446367,17397.0002,66082.0502,5164,2205.508306,28394.6996,94225.56032,"{'Northeast': {'Northeast': 0, 'West': 1.7072915008678007, 'Coastal': 13.192960816986918, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 5.682455876839963, 'West': 0, 'Coastal': 0, 'South': 28.542958987705443, 'Panhandle': 0.44847706101147833}, 'Coastal': {'Northeast': 5.352399943091676, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 1.432182960838123, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 65.87837114510789, 'West': 7.453041209223998, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",4.086993584,137.0054788,45.00346578,0,213.8705096,399.9664478,8747.9997,22333.0108,2460,0,901.1002,650,3880.9001,0,1887.6,10273.6972,2504,16751.35,2704,54.20830554,2047.4006,5495.0005,22757.7893,0,263.7,1768.8,0,359,0,0,13403.7016
5,531.7790596,11028.30818,2260.721304,207.0627042,0,0,492.3258868,12.84264549,0,34.45712588,6946.414923,88438.0504,26.61052732,17397.0002,65877.0502,5164,3693.708306,31534.5996,95384.46532,"{'Northeast': {'Northeast': 0, 'West': 1.617807331252212, 'Coastal': 14.464054133581172, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 3.270138458814783, 'West': 0, 'Coastal': 0, 'South': 35.47848234324169, 'Panhandle': 0.30817203066437987}, 'Coastal': {'Northeast': 4.093448779238693, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.9723519927438157, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 74.51742491695212, 'West': 11.075411722593806, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",6.900844608,152.827329,44.97447567,9.09E-17,200.8616468,405.5642961,8747.9997,22333.0108,2460,0,1714.34065,650,3880.9001,0,3375.8,10273.6972,2504,16546.35,2704,54.20830554,2047.4006,5495.0005,22757.7893,0,263.7,1768.8,0,359,0,0,15730.36115
1,Coastal,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Coastal,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Coastal,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,South,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,South,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
