Time,total_investment_cost,variable_operating_cost,fixed_operating_cost,startup_cost,thermal_generator_cost,extending_thermal_generator_cost,renewable_generator_cost,extending_renewable_generator_cost,storage_investment_cost,penalty_cost,renewable_capacity,thermal_capacity,transmission_line_cost,coal_capacity,natural_gas_capacity,nuclear_capacity,solar_capacity,wind_capacity,total_capacity,power_flow,solar_energy_generated,wind_energy_generated,nuclear_energy_generated,coal_energy_generated,natural_gas_energy_generated,total_energy_generated,Northeast coal,Northeast natural gas,Northeast nuc,Northeast solar,Northeast wind,West coal,West natural gas,West nuc,West solar,West wind,Coastal coal,Coastal natural gas,Coastal nuc,Coastal solar,Coastal wind,South coal,South natural gas,South nuc,South solar,South wind,Panhandle coal,Panhandle natural gas,Panhandle nuc,Panhandle solar,Panhandle wind
1,10.74700336,7.749301879,2.302066784,0.079547548,4.515878216,0.21705178,2.653358561,0.04966355,0,1.025070704,3715.07994,77796.7843,3.31105125,17397.0002,55235.7841,5164,663.1,22114.7996,81511.86424,"{'Northeast': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0.26698945364738974}, 'West': {'Northeast': 3.983586793765387e-14, 'West': 0, 'Coastal': 0, 'South': 36.365241423151524, 'Panhandle': 0.007657918460138492}, 'Coastal': {'Northeast': 3.983586793765387e-14, 'West': 0, 'Coastal': 0, 'South': 0.9408307742984664, 'Panhandle': 0}, 'South': {'Northeast': 3.983586793765387e-14, 'West': 0.12235446731320979, 'Coastal': 9.270652301566171, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 13.891428287286663, 'West': 16.004116218323336, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.188186982,101.5811761,45.13313667,127.1325106,113.8533978,388.8884082,8747.9997,20668.0325,2460,0,1768.803244,650,3695.9001,0,399.4,10273.6972,2504,13772.25,2704,0,2047.4006,5495.0005,16740.6015,0,263.7,1768.8,0,359,0,0,6256.098556
2,17.72972492,11.44903137,2.360891636,0.070403673,9.805892579,0,3.603216044,0.007755602,0,5.36E-05,4397.03994,87341.5593,4.312860691,17397.0002,64780.5591,5164,1407.2,23684.7996,91738.59924,"{'Northeast': {'Northeast': 0, 'West': 0, 'Coastal': 13.288933437010815, 'South': 0, 'Panhandle': 2.390152076259259e-14}, 'West': {'Northeast': 3.983586793765387e-14, 'West': 0, 'Coastal': 0, 'South': 17.1881266548441, 'Panhandle': 5.270717092310832}, 'Coastal': {'Northeast': 1.225239123043668, 'West': 0, 'Coastal': 0, 'South': 0.008219321632331618, 'Panhandle': 0}, 'South': {'Northeast': 3.983586793765387e-14, 'West': 1.8442551572765011, 'Coastal': 13.568598582825034, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 47.10260896994355, 'West': 0.7841051038748312, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",2.595112495,110.1086259,45.13821867,5.152461505,226.2246196,389.2190381,8747.9997,20668.0325,2460,0,1768.803244,650,3695.9001,0,1143.5,10273.6972,2504,14117.025,2704,0,2047.4006,5495.0005,25940.6015,0,263.7,1768.8,0,359,0,0,7826.098556
3,3.935299791,11.92754701,2.294825906,0.101870203,0,0,3.276494432,0.014549915,0,1.84E-05,5078.99994,87341.5593,0.644255444,17397.0002,64780.5591,5164,2151.3,25254.7996,92420.55924,"{'Northeast': {'Northeast': 0, 'West': 0, 'Coastal': 16.330803811306918, 'South': 0, 'Panhandle': 1.9917933968827194e-14}, 'West': {'Northeast': 3.983586793765387e-14, 'West': 0, 'Coastal': 0, 'South': 18.025696417062743, 'Panhandle': 5.402232292560025}, 'Coastal': {'Northeast': 0.7976391930159191, 'West': 0, 'Coastal': 0, 'South': 0.05582358958346652, 'Panhandle': 0}, 'South': {'Northeast': 3.983586793765387e-14, 'West': 1.5671821898157106, 'Coastal': 13.293751532314692, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 55.65612589709534, 'West': 0.9159910438236512, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",4.002038007,118.6360756,45.14827146,4.126067831,222.6802558,394.5927087,8747.9997,20668.0325,2460,0,1768.803244,650,3695.9001,0,1887.6,10273.6972,2504,14117.025,2704,0,2047.4006,5495.0005,25940.6015,0,263.7,1768.8,0,359,0,0,9396.098556
4,5.954943298,11.80718907,2.2571489,0.202807376,0,0,5.941280542,0.013662756,0,0.062993982,6442.90494,85016.1093,0,17397.0002,62455.1091,5164,3639.5,28394.6996,91459.01424,"{'Northeast': {'Northeast': 0, 'West': 0, 'Coastal': 22.291718747397447, 'South': 0, 'Panhandle': 1.9917933968827194e-14}, 'West': {'Northeast': 3.983586793765387e-14, 'West': 0, 'Coastal': 0, 'South': 23.50903628463076, 'Panhandle': 2.3770874195131113}, 'Coastal': {'Northeast': 0.26263922270293366, 'West': 0, 'Coastal': 0, 'South': 0.2607836273286877, 'Panhandle': 0}, 'South': {'Northeast': 3.983586793765387e-14, 'West': 0.8935096087846547, 'Coastal': 10.357734316822764, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 67.63440092233485, 'West': 2.674323927476148, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",6.815889031,135.6904319,45.07863357,3.772596062,208.9502108,400.3077614,8747.9997,20668.0325,2460,0,1768.803244,650,3080.9001,0,3375.8,10273.6972,2504,12406.575,2704,0,2047.4006,5495.0005,25940.6015,0,263.7,1768.8,0,359,0,0,12535.99856
5,17.67056426,10.38037484,2.385302584,0.271423943,10.55362601,0.005104275,5.369057953,0.012842645,0,0.001614155,7806.80994,90796.1093,1.729933373,17397.0002,68235.1091,5164,5127.7,31534.5996,98602.91924,"{'Northeast': {'Northeast': 0, 'West': 0, 'Coastal': 16.421586428455484, 'South': 0, 'Panhandle': 7.967173587530855e-15}, 'West': {'Northeast': 3.983586793765387e-14, 'West': 0, 'Coastal': 0, 'South': 21.257947745954997, 'Panhandle': 4.629825697909913}, 'Coastal': {'Northeast': 2.805012232125481, 'West': 0, 'Coastal': 0, 'South': 0.3160409948936114, 'Panhandle': 0}, 'South': {'Northeast': 3.983586793765387e-14, 'West': 1.2430142284101613, 'Coastal': 10.101741778040944, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 87.98515069263455, 'West': 1.8939390847595288, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",9.629740056,152.7447882,44.79574808,0.951583988,197.227173,405.3490333,8747.9997,21348.0325,2460,0,1768.803244,650,3080.9001,0,4864,10273.6972,2504,15466.575,2704,0,2047.4006,5495.0005,27980.6015,0,263.7,1768.8,0,359,0,0,15675.89856
6,8.137962329,9.488010376,2.394407502,0.347935705,2.81937982,0,4.833811032,0.04833291,0,0.005535045,9170.71494,92496.1093,0.436438568,17397.0002,69935.1091,5164,6615.9,34674.4996,101666.8242,"{'Northeast': {'Northeast': 0, 'West': 0, 'Coastal': 17.276704931470455, 'South': 0, 'Panhandle': 7.967173587530855e-15}, 'West': {'Northeast': 3.983586793765387e-14, 'West': 0, 'Coastal': 0, 'South': 28.3506674354573, 'Panhandle': 2.734003950952275}, 'Coastal': {'Northeast': 4.497878498555993, 'West': 0, 'Coastal': 0, 'South': 1.6465483894416697, 'Panhandle': 0}, 'South': {'Northeast': 3.983586793765387e-14, 'West': 0.8484379197384493, 'Coastal': 6.204408289044642, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 98.78477832252983, 'West': 6.204449249318632, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",12.44359108,169.7991446,44.48752883,0.358876604,183.6589134,410.7480544,8747.9997,21348.0325,2460,0,1768.803244,650,3080.9001,0,6352.2,10273.6972,2504,17166.575,2704,0,2047.4006,5495.0005,27980.6015,0,263.7,1768.8,0,359,0,0,18815.79856
7,7.386585865,8.689480197,2.362080626,0.404281694,1.530060533,0,4.333312151,0.078052361,0,0.018925463,10534.61994,91925.8626,1.44516082,17397.0002,69364.8624,5164,8104.1,37814.3996,102460.4825,"{'Northeast': {'Northeast': 0, 'West': 0, 'Coastal': 26.15803674840914, 'South': 0, 'Panhandle': 0}, 'West': {'Northeast': 3.983586793765387e-14, 'West': 0, 'Coastal': 0, 'South': 31.97192157173383, 'Panhandle': 2.4495959668837033}, 'Coastal': {'Northeast': 2.5767734361479895, 'West': 0, 'Coastal': 0, 'South': 1.5496236077481265, 'Panhandle': 0}, 'South': {'Northeast': 3.983586793765387e-14, 'West': 0.5066068626214625, 'Coastal': 5.2490459559707, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 113.23785073970002, 'West': 8.497148413260826, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",15.2574421,186.8535009,43.26800096,0.469858804,170.3737577,416.2225604,8747.9997,21633.0108,2460,0,1768.803244,650,3080.9001,0,7840.4,10273.6972,2504,16311.35,2704,0,2047.4006,5495.0005,27980.6015,0,263.7,1768.8,0,359,0,0,21955.69856
8,4.107419779,8.052497779,2.313299811,0.46209368,0.117567844,0,3.86546642,0.124385516,0,0.11874498,11898.52494,91629.1959,0,17397.0002,69068.1957,5164,9592.3,40954.2996,103527.7208,"{'Northeast': {'Northeast': 0, 'West': 0, 'Coastal': 32.72983569098047, 'South': 0, 'Panhandle': 0}, 'West': {'Northeast': 3.983586793765387e-14, 'West': 0, 'Coastal': 0, 'South': 35.34587454680327, 'Panhandle': 2.295311396487814}, 'Coastal': {'Northeast': 1.8641728811392615, 'West': 0, 'Coastal': 0, 'South': 1.1578789597689725, 'Panhandle': 0}, 'South': {'Northeast': 3.983586793765387e-14, 'West': 0.25282004581285633, 'Coastal': 5.382882228293548, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 127.82016356581447, 'West': 10.00684614631473, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",18.07129313,203.9078572,41.34745025,0.369168899,158.6486415,422.3444109,8747.9997,21843.0108,2460,0,1768.803244,650,3080.9001,0,9328.6,10273.6972,2504,16311.35,2704,0,2047.4006,5495.0005,27473.9348,0,263.7,1768.8,0,359,0,0,25095.59856
9,5.017940877,7.318402897,2.258863263,0.445661087,0,0,3.42830383,0.049756905,0,0.195938559,13262.42994,90974.7459,1.539880141,17397.0002,68413.7457,5164,11080.5,44094.1996,104237.1758,"{'Northeast': {'Northeast': 0, 'West': 0, 'Coastal': 32.0234045677436, 'South': 0, 'Panhandle': 0}, 'West': {'Northeast': 3.983586793765387e-14, 'West': 0, 'Coastal': 0, 'South': 48.69362449680176, 'Panhandle': 4.41592259227893}, 'Coastal': {'Northeast': 0.8575051069796816, 'West': 0, 'Coastal': 0, 'South': 0.27253467812052545, 'Panhandle': 0}, 'South': {'Northeast': 3.983586793765387e-14, 'West': 0.32755322543279813, 'Coastal': 6.631716099785356, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 130.6149072387103, 'West': 23.989572232789833, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",20.88514415,220.1392759,41.75431769,0.191873807,145.3972303,428.3678419,8747.9997,21843.0108,2460,0,2311.799435,650,3080.9001,0,10816.8,10273.6972,2504,16311.35,2704,0,2047.4006,5495.0005,26819.4848,0,263.7,1768.8,0,359,0,0,27692.50236
10,3.745205926,6.759146785,2.164465115,0.470516096,0,0,3.019971896,0.025950712,0,0.396638038,14626.33494,85951.1058,0.699283319,17397.0002,63390.1056,5164,12568.7,47234.0996,100577.4407,"{'Northeast': {'Northeast': 0, 'West': 0, 'Coastal': 36.759781429412484, 'South': 0, 'Panhandle': 0}, 'West': {'Northeast': 3.983586793765387e-14, 'West': 0, 'Coastal': 0, 'South': 55.24219213657673, 'Panhandle': 4.274172066871618}, 'Coastal': {'Northeast': 0.5603755918157513, 'West': 0, 'Coastal': 0, 'South': 0.029595187830825317, 'Panhandle': 0}, 'South': {'Northeast': 3.983586793765387e-14, 'West': 0.11228698991901376, 'Coastal': 9.012448543028466, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 140.14745291036652, 'West': 30.650606275600673, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",23.69899518,237.1936322,40.37646251,0.509023443,133.6585562,435.4366695,8747.9997,19637.9457,2460,0,2311.799435,650,3080.9001,0,12305,10273.6972,2504,15456.125,2704,0,2047.4006,5495.0005,24856.1348,0,263.7,1768.8,0,359,0,0,30832.40236
