Time,total_investment_cost,variable_operating_cost,fixed_operating_cost,startup_cost,thermal_generator_cost,extending_thermal_generator_cost,renewable_generator_cost,extending_renewable_generator_cost,storage_investment_cost,penalty_cost,renewable_capacity,thermal_capacity,transmission_line_cost,coal_capacity,natural_gas_capacity,nuclear_capacity,solar_capacity,wind_capacity,total_capacity,power_flow,solar_energy_generated,wind_energy_generated,nuclear_energy_generated,coal_energy_generated,natural_gas_energy_generated,total_energy_generated,Northeast coal,Northeast natural gas,Northeast nuc,Northeast solar,Northeast wind,West coal,West natural gas,West nuc,West solar,West wind,Coastal coal,Coastal natural gas,Coastal nuc,Coastal solar,Coastal wind,South coal,South natural gas,South nuc,South solar,South wind,Panhandle coal,Panhandle natural gas,Panhandle nuc,Panhandle solar,Panhandle wind
1,4504.504992,7478.598102,2290.952872,114.3683056,2224.912071,12.36814684,962.5509254,49.66355025,0,6.126745508,3718.774543,77023.7254,1255.010299,17397.0002,54462.7252,5164,669.2576719,22114.7996,80742.49994,"{'Northeast': {'Northeast': 0, 'West': 0.0, 'Coastal': 8.311774103912079, 'South': 0.0, 'Panhandle': 0.6261829413255402}, 'West': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 35.03326694496007, 'Panhandle': 0.7555133139565293}, 'Coastal': {'Northeast': 1.5709367770389073, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.21532833632017054, 'Coastal': 1.000444171950221e-17, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 29.435257055474434, 'West': 10.6511907017263, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.197837322,102.896223,44.94064507,117.2084134,117.6538373,383.8969561,8747.9997,19933.0108,2460,0,901.1002,650,4095.9001,0,399.4,10273.6972,2504,14117.025,2704,6.15767194,2047.4006,5495.0005,15957.7893,0,263.7,1768.8,0,359,0,0,7123.8016
2,3313.547472,11531.41687,2314.772773,90.95735567,2418.79554,0,742.1292442,7.755602112,0,0.858723832,3954.274543,84568.5004,144.8670851,17397.0002,62007.5002,5164,669.2576719,23684.7996,88522.77494,"{'Northeast': {'Northeast': 0, 'West': 0.0, 'Coastal': 3.125261034912394, 'South': 0.0, 'Panhandle': 0.058906045257011444}, 'West': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 41.11641539691777, 'Panhandle': 1.7511953452847235}, 'Coastal': {'Northeast': 6.672579873459539, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.5244156162193824, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 46.821719416398345, 'West': 8.281777589637967, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.197837322,111.4236728,45.16014125,4.834956846,226.6107129,389.2273211,8747.9997,19933.0108,2460,0,901.1002,650,5695.9001,0,399.4,10273.6972,2504,17661.8,2704,6.15767194,2047.4006,5495.0005,17557.7893,0,263.7,1768.8,0,1159,0,0,8693.8016
3,2089.505384,11468.8781,2316.597449,127.4075427,1174.216097,0,795.1538224,14.54991485,0,0,4636.234543,90168.5004,105.5855497,17397.0002,67607.5002,5164,1413.357672,25254.7996,94804.73494,"{'Northeast': {'Northeast': 0, 'West': 0.0, 'Coastal': 5.5437582062623, 'South': 0.0, 'Panhandle': 0.06035527714214402}, 'West': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 40.33599210464043, 'Panhandle': 1.8477044070057447}, 'Coastal': {'Northeast': 3.9007340755938635, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.3854720118898634, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 54.94400878080549, 'West': 8.259162597385346, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",2.604762834,119.9511225,45.09464285,0.645385448,226.2967048,394.5926184,8747.9997,23133.0108,2460,0,901.1002,650,5695.9001,0,1143.5,10273.6972,2504,17661.8,2704,6.15767194,2047.4006,5495.0005,19957.7893,0,263.7,1768.8,0,1159,0,0,10263.8016
4,1149.327393,11299.43934,2277.976606,173.9319724,0,0,1021.627439,13.66275646,0,0.416713692,6000.139543,87843.0504,114.0371973,17397.0002,65282.0502,5164,2901.557672,28394.6996,93843.18994,"{'Northeast': {'Northeast': 0, 'West': 0.0, 'Coastal': 12.041596956861714, 'South': 0.0, 'Panhandle': 0.02032743236365868}, 'West': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 42.41028938698546, 'Panhandle': 1.2212322141558098}, 'Coastal': {'Northeast': 2.2724397633390296, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.26550130814050427, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 69.43234615194594, 'West': 9.46598603712965, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",5.418613858,137.0054788,44.96182152,0.283640057,212.3013226,399.9708768,8747.9997,23133.0108,2460,0,901.1002,650,5080.9001,0,2631.7,10273.6972,2504,15951.35,2704,6.15767194,2047.4006,5495.0005,19957.7893,0,263.7,1768.8,0,1159,0,0,13403.7016
5,681.6290128,10844.46845,2277.153196,232.4385566,105.4990743,0,492.3258868,12.84264549,0,47.61717854,7364.044543,89238.0504,70.96140618,17397.0002,66677.0502,5164,4389.757672,31534.5996,96602.09494,"{'Northeast': {'Northeast': 0, 'West': 0.0, 'Coastal': 19.584332271064135, 'South': 0.0, 'Panhandle': 0.2822909712144582}, 'West': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 52.07786898510013, 'Panhandle': 0.6167879984258771}, 'Coastal': {'Northeast': 1.5121352338795762, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.08001690487133496, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 74.85345090619941, 'West': 20.185019011012944, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",8.232464883,154.0598351,44.98783559,0.163189301,198.4391506,405.8824755,8747.9997,24733.0108,2460,0,901.1002,650,5080.9001,0,4119.9,10273.6972,2504,15746.35,2704,6.15767194,2047.4006,5495.0005,19957.7893,0,263.7,1768.8,0,1159,0,0,16543.6016
1,Coastal,Northeast,,,5923.422783,12.36814684,4013.787318,98.47446916,0,55.01936157,25673.46772,428841.827,1690.461537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,South,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,South,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,South,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,West,Panhandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
